repo,2021,2022,2023,2024,2025
isaacs/once,0,0,0,0,0
isaacs/package-json-from-dist,0,0,0,1,0
isaacs/path-scurry,0,0,10,8,0
isaacs/rimraf,2,5,88,15,5
isaacs/sax-js,1,0,2,2,3
isaacs/yallist,0,0,0,5,0
istanbuljs/babel-plugin-istanbul,0,0,0,1,2
istanbuljs/istanbuljs,15,5,8,7,1
istanbuljs/schema,1,0,0,0,0
istanbuljs/test-exclude,1,0,0,1,0
jamesmunns/postcard,4,15,6,16,27
jaraco/jaraco.develop,1,1,4,7,2
jaraco/keyring,35,28,24,15,9
jaraco/pytest-perf,1,2,1,3,0
jaraco/zipp,11,5,12,10,9
jaredhanson/utils-merge,0,0,0,0,0
jaredwray/cacheable,31,37,33,61,83
jaredwray/keyv,31,90,42,50,85
jawah/charset_normalizer,28,21,25,19,17
jbgutierrez/path-parse,2,0,0,1,0
jd/tenacity,17,5,17,17,8
jensyt/imurmurhash-js,1,0,0,1,0
jestjs/jest,365,1236,959,378,278
jimp-dev/jimp,10,9,158,85,0
jmespath/jmespath.py,1,15,9,1,2
joblib/joblib,28,41,51,30,69
joblib/threadpoolctl,4,4,5,6,2
jonathanong/ee-first,0,0,0,0,0
jonschlinkert/assign-symbols,0,0,0,0,0
jonschlinkert/define-property,0,0,0,0,0
jonschlinkert/extend-shallow,2,0,1,0,0
jonschlinkert/fill-range,0,0,0,0,0
jonschlinkert/get-value,2,0,0,0,6
jonschlinkert/global-prefix,0,0,0,2,0
jonschlinkert/has-value,0,0,0,0,0
jonschlinkert/has-values,0,0,0,0,0
jonschlinkert/is-extendable,0,0,0,0,0
jonschlinkert/is-number,0,0,1,0,0
jonschlinkert/is-plain-object,0,0,0,0,0
jonschlinkert/isobject,0,0,0,0,0
jonschlinkert/kind-of,0,0,1,0,0
jonschlinkert/map-cache,0,0,0,0,0
jonschlinkert/normalize-path,0,0,0,0,0
jonschlinkert/object-visit,0,0,0,0,0
jonschlinkert/word-wrap,0,0,10,0,0
jorgebucaran/colorette,16,3,0,2,2
joshuakgoldberg/ts-api-utils,0,0,54,26,12
jpadilla/pyjwt,43,104,35,28,19
jprichardson/node-fs-extra,57,37,29,9,12
jprichardson/node-jsonfile,2,2,1,1,4
jquast/wcwidth,1,0,17,3,4
jquery/esprima,21,2,0,1,0
jridgewell/resolve-uri,0,1,1,0,0
jridgewell/sourcemaps,0,0,0,22,9
jsdom/tr46,2,0,2,10,3
jsdom/webidl-conversions,4,0,0,0,0
jsdom/whatwg-mimetype,1,0,3,0,1
jsdom/whatwg-url,16,7,2,9,9
jsdom/xml-name-validator,0,0,0,0,0
jshttp/accepts,0,1,0,0,0
jshttp/content-disposition,4,4,0,0,2
jshttp/content-type,1,0,1,1,0
jshttp/cookie,11,7,3,25,6
jshttp/etag,0,1,0,0,0
jshttp/forwarded,2,0,0,0,0
jshttp/fresh,0,1,0,1,0
jshttp/http-errors,1,0,1,6,2
jshttp/media-typer,0,0,0,1,1
jshttp/methods,0,0,0,3,0
jshttp/mime-db,7,10,3,5,6
jshttp/mime-types,1,1,3,4,9
jshttp/negotiator,0,1,3,1,2
jshttp/on-finished,1,2,1,2,0
jshttp/range-parser,1,2,0,0,0
jshttp/statuses,1,0,0,0,1
jshttp/type-is,1,0,0,0,1
jshttp/vary,0,0,0,0,0
jslicense/spdx-correct.js,3,0,1,1,0
jslicense/spdx-expression-parse.js,0,0,2,2,0
jslicense/spdx-license-ids,2,0,3,0,0
json5/json5,6,21,5,3,1
juliangruber/balanced-match,3,1,1,0,0
juliangruber/brace-expansion,2,0,0,1,10
juliangruber/isarray,1,2,4,0,0
justmoon/node-extend,0,2,2,1,0
jviereck/regjsparser,7,0,2,1,0
ka-weihe/fastest-levenshtein,1,2,3,0,0
kaelzhang/node-ignore,4,10,3,5,11
kemitchell/validate-npm-package-license.js,1,0,0,0,0
kevinbeaty/any-promise,0,0,0,0,0
kevva/dir-glob,0,0,0,0,0
kevva/shebang-command,0,0,0,0,0
kilian/electron-to-chromium,2,2,2,1,1
kjd/idna,10,8,13,12,5
kludex/starlette,82,150,54,50,24
knurling-rs/defmt,100,18,17,35,22
kpdecker/jsdiff,0,3,50,110,24
krb5/krb5,0,0,0,0,0
kriskowal/asap,0,0,0,0,0
kriszyp/json-schema,6,0,1,0,0
langchain-ai/langchain,0,54,3708,3841,1124
laurent-laporte-pro/deprecated,6,0,11,1,4
legrandin/pycryptodome,59,70,51,23,32
libevent/libevent,43,80,40,123,15
libexpat/libexpat,36,43,16,38,24
libffi/libffi,14,33,11,15,34
libidn/libidn2,0,0,0,0,0
libjpeg-turbo/libjpeg-turbo,56,49,82,43,33
libjxl/libjxl,158,181,109,160,109
libpixman/pixman,0,0,0,0,0
libsdl-org/libtiff,0,0,1,1,1
libuv/libuv,98,126,115,110,86
linusu/buffer-from,1,0,0,0,2
linux-audit/audit-userspace,27,17,45,30,40
linux-pam/linux-pam,21,20,32,62,29
litejs/natural-compare-lite,1,0,1,1,1
ljharb/call-bind,1,0,2,1,0
ljharb/call-bind-apply-helpers,0,0,0,1,0
ljharb/call-bound,0,0,0,1,0
ljharb/concat-map,0,0,0,0,0
ljharb/define-data-property,0,0,0,0,0
ljharb/define-properties,1,0,2,0,0
ljharb/es-abstract,14,1,6,2,3
ljharb/es-define-property,0,0,0,0,0
ljharb/es-errors,0,0,0,2,0
ljharb/es-shim-unscopables,0,0,0,0,0
ljharb/es-to-primitive,0,0,0,0,0
ljharb/get-intrinsic,4,6,1,1,6
ljharb/get-proto,0,0,0,0,0
ljharb/gopd,0,0,0,0,0
