repo,repo_id,year,metric,value,fetched_at
andialbrecht/sqlparse,gh/4067434,2021,opened_issues,34,
andialbrecht/sqlparse,gh/4067434,2022,closed_issues,14,
andialbrecht/sqlparse,gh/4067434,2022,opened_issues,30,
andialbrecht/sqlparse,gh/4067434,2023,closed_issues,11,
andialbrecht/sqlparse,gh/4067434,2023,opened_issues,38,
andialbrecht/sqlparse,gh/4067434,2024,closed_issues,20,
andialbrecht/sqlparse,gh/4067434,2024,opened_issues,24,
andialbrecht/sqlparse,gh/4067434,2025,closed_issues,10,
andialbrecht/sqlparse,gh/4067434,2025,opened_issues,14,
andrewrk/node-pend,gh/11836813,2021,closed_issues,0,
andrewrk/node-pend,gh/11836813,2021,opened_issues,0,
andrewrk/node-pend,gh/11836813,2022,closed_issues,0,
andrewrk/node-pend,gh/11836813,2022,opened_issues,0,
andrewrk/node-pend,gh/11836813,2023,closed_issues,0,
andrewrk/node-pend,gh/11836813,2023,opened_issues,0,
andrewrk/node-pend,gh/11836813,2024,closed_issues,0,
andrewrk/node-pend,gh/11836813,2024,opened_issues,0,
andrewrk/node-pend,gh/11836813,2025,closed_issues,0,
andrewrk/node-pend,gh/11836813,2025,opened_issues,0,
andyperlitch/jsbn,gh/9710533,2021,closed_issues,0,
andyperlitch/jsbn,gh/9710533,2021,opened_issues,2,
andyperlitch/jsbn,gh/9710533,2022,closed_issues,1,
andyperlitch/jsbn,gh/9710533,2022,opened_issues,1,
andyperlitch/jsbn,gh/9710533,2023,closed_issues,0,
andyperlitch/jsbn,gh/9710533,2023,opened_issues,0,
andyperlitch/jsbn,gh/9710533,2024,closed_issues,0,
andyperlitch/jsbn,gh/9710533,2024,opened_issues,0,
andyperlitch/jsbn,gh/9710533,2025,closed_issues,0,
andyperlitch/jsbn,gh/9710533,2025,opened_issues,1,
angular/angular-cli,gh/36891867,2021,closed_issues,1136,
angular/angular-cli,gh/36891867,2021,opened_issues,1038,
angular/angular-cli,gh/36891867,2022,closed_issues,677,
angular/angular-cli,gh/36891867,2022,opened_issues,612,
angular/angular-cli,gh/36891867,2023,closed_issues,782,
angular/angular-cli,gh/36891867,2023,opened_issues,814,
angular/angular-cli,gh/36891867,2024,closed_issues,782,
angular/angular-cli,gh/36891867,2024,opened_issues,826,
angular/angular-cli,gh/36891867,2025,closed_issues,707,
angular/angular-cli,gh/36891867,2025,opened_issues,676,
annotated-types/annotated-types,gh/487934134,2021,closed_issues,0,
annotated-types/annotated-types,gh/487934134,2021,opened_issues,0,
annotated-types/annotated-types,gh/487934134,2022,closed_issues,9,
annotated-types/annotated-types,gh/487934134,2022,opened_issues,9,
annotated-types/annotated-types,gh/487934134,2023,closed_issues,6,
annotated-types/annotated-types,gh/487934134,2023,opened_issues,12,
annotated-types/annotated-types,gh/487934134,2024,closed_issues,14,
annotated-types/annotated-types,gh/487934134,2024,opened_issues,13,
annotated-types/annotated-types,gh/487934134,2025,closed_issues,3,
annotated-types/annotated-types,gh/487934134,2025,opened_issues,6,
antonk52/lilconfig,gh/238967485,2021,closed_issues,1,
antonk52/lilconfig,gh/238967485,2021,opened_issues,1,
antonk52/lilconfig,gh/238967485,2022,closed_issues,5,
antonk52/lilconfig,gh/238967485,2022,opened_issues,6,
antonk52/lilconfig,gh/238967485,2023,closed_issues,2,
antonk52/lilconfig,gh/238967485,2023,opened_issues,3,
antonk52/lilconfig,gh/238967485,2024,closed_issues,3,
antonk52/lilconfig,gh/238967485,2024,opened_issues,3,
antonk52/lilconfig,gh/238967485,2025,closed_issues,1,
antonk52/lilconfig,gh/238967485,2025,opened_issues,2,
apache/airflow,gh/33884891,2021,closed_issues,2103,
apache/airflow,gh/33884891,2021,opened_issues,2154,
apache/airflow,gh/33884891,2022,closed_issues,2008,
apache/airflow,gh/33884891,2022,opened_issues,1931,
apache/airflow,gh/33884891,2023,closed_issues,1767,
apache/airflow,gh/33884891,2023,opened_issues,1796,
apache/airflow,gh/33884891,2024,closed_issues,1628,
apache/airflow,gh/33884891,2024,opened_issues,1935,
apache/airflow,gh/33884891,2025,closed_issues,2717,
apache/airflow,gh/33884891,2025,opened_issues,3074,
apache/arrow,gh/51905353,2021,closed_issues,3697,
apache/arrow,gh/51905353,2021,opened_issues,4231,
apache/arrow,gh/51905353,2022,closed_issues,2927,
apache/arrow,gh/51905353,2022,opened_issues,3576,
apache/arrow,gh/51905353,2023,closed_issues,2541,
apache/arrow,gh/51905353,2023,opened_issues,3207,
apache/arrow,gh/51905353,2024,closed_issues,1963,
apache/arrow,gh/51905353,2024,opened_issues,2434,
apache/arrow,gh/51905353,2025,closed_issues,1951,
apache/arrow,gh/51905353,2025,opened_issues,1832,
apache/arrow-rs,gh/358917250,2021,closed_issues,265,
apache/arrow-rs,gh/358917250,2021,opened_issues,537,
apache/arrow-rs,gh/358917250,2022,closed_issues,919,
apache/arrow-rs,gh/358917250,2022,opened_issues,901,
apache/arrow-rs,gh/358917250,2023,closed_issues,579,
apache/arrow-rs,gh/358917250,2023,opened_issues,563,
apache/arrow-rs,gh/358917250,2024,closed_issues,484,
apache/arrow-rs,gh/358917250,2024,opened_issues,563,
apache/arrow-rs,gh/358917250,2025,closed_issues,602,
apache/arrow-rs,gh/358917250,2025,opened_issues,768,
arcanis/jest-pnp-resolver,gh/150139187,2021,closed_issues,0,
arcanis/jest-pnp-resolver,gh/150139187,2021,opened_issues,0,
arcanis/jest-pnp-resolver,gh/150139187,2022,closed_issues,0,
arcanis/jest-pnp-resolver,gh/150139187,2022,opened_issues,0,
arcanis/jest-pnp-resolver,gh/150139187,2023,closed_issues,0,
arcanis/jest-pnp-resolver,gh/150139187,2023,opened_issues,0,
arcanis/jest-pnp-resolver,gh/150139187,2024,closed_issues,0,
arcanis/jest-pnp-resolver,gh/150139187,2024,opened_issues,1,
arcanis/jest-pnp-resolver,gh/150139187,2025,closed_issues,0,
arcanis/jest-pnp-resolver,gh/150139187,2025,opened_issues,0,
archlinux/linux,gh/142707813,2021,closed_issues,0,
archlinux/linux,gh/142707813,2021,opened_issues,0,
archlinux/linux,gh/142707813,2022,closed_issues,0,
archlinux/linux,gh/142707813,2022,opened_issues,0,
archlinux/linux,gh/142707813,2023,closed_issues,0,
archlinux/linux,gh/142707813,2023,opened_issues,0,
archlinux/linux,gh/142707813,2024,closed_issues,0,
archlinux/linux,gh/142707813,2024,opened_issues,0,
archlinux/linux,gh/142707813,2025,closed_issues,0,
archlinux/linux,gh/142707813,2025,opened_issues,0,
ardatan/graphql-tools,gh/54432168,2021,closed_issues,194,
ardatan/graphql-tools,gh/54432168,2021,opened_issues,197,
ardatan/graphql-tools,gh/54432168,2022,closed_issues,65,
ardatan/graphql-tools,gh/54432168,2022,opened_issues,126,
ardatan/graphql-tools,gh/54432168,2023,closed_issues,57,
ardatan/graphql-tools,gh/54432168,2023,opened_issues,67,
ardatan/graphql-tools,gh/54432168,2024,closed_issues,41,
ardatan/graphql-tools,gh/54432168,2024,opened_issues,64,
ardatan/graphql-tools,gh/54432168,2025,closed_issues,28,
