login,sponsoring_count,sponsoring_status,fetched_at
python-jsonschema,0,ok,2026-06-29T23:54:20+00:00
python-pillow,0,ok,2026-06-29T23:54:21+00:00
python-poetry,0,ok,2026-06-29T23:54:21+00:00
python-trio,0,ok,2026-06-29T23:54:21+00:00
qix-,0,ok,2026-06-29T23:54:21+00:00
qt,0,ok,2026-05-31T18:21:24+00:00
radix-ui,0,ok,2026-06-29T23:54:21+00:00
raszi,4,ok,2026-06-29T23:54:21+00:00
raynos,0,ok,2026-06-29T23:54:21+00:00
rayon-rs,0,ok,2026-06-29T23:54:21+00:00
react,0,ok,2026-07-13T16:59:59+00:00
reactivex,0,ok,2026-06-29T23:54:21+00:00
realpython,0,ok,2026-06-29T23:54:21+00:00
remix-run,2,ok,2026-06-29T23:54:21+00:00
remusao,0,ok,2026-06-29T23:54:21+00:00
requests,0,ok,2026-06-29T23:54:21+00:00
retep998,0,ok,2026-06-29T23:54:21+00:00
rich-harris,0,ok,2026-06-29T23:54:21+00:00
rob--w,0,ok,2026-06-29T23:54:22+00:00
rogdham,0,ok,2026-06-29T23:54:22+00:00
rollup,0,ok,2026-06-29T23:54:22+00:00
ronaldoussoren,0,ok,2026-06-29T23:54:22+00:00
rust-cli,0,ok,2026-06-29T23:54:22+00:00
rust-embedded,0,ok,2026-06-29T23:54:22+00:00
rust-fuzz,0,ok,2026-06-29T23:54:22+00:00
rust-itertools,0,ok,2026-06-29T23:54:22+00:00
rust-lang,0,ok,2026-06-29T23:54:22+00:00
rust-lang-deprecated,0,ok,2026-07-13T16:59:59+00:00
rust-lang-nursery,0,ok,2026-06-29T23:54:22+00:00
rust-num,0,ok,2026-06-29T23:54:22+00:00
rust-phf,0,ok,2026-06-29T23:54:22+00:00
rust-random,0,ok,2026-06-29T23:54:22+00:00
rustcrypto,0,ok,2026-06-29T23:54:23+00:00
rvagg,0,ok,2026-06-29T23:54:23+00:00
ryanzim,0,ok,2026-06-29T23:54:23+00:00
sailfishos-mirror,0,ok,2026-07-13T20:12:58+00:00
salesforce,0,ok,2026-06-29T23:54:23+00:00
samn,0,ok,2026-06-29T23:54:23+00:00
samverschueren,0,ok,2026-06-29T23:54:23+00:00
sboudrias,0,ok,2026-06-29T23:54:23+00:00
scikit-build,0,ok,2026-06-29T23:54:23+00:00
scikit-learn,0,ok,2026-06-29T23:54:23+00:00
scipy,0,ok,2026-06-29T23:54:23+00:00
seanmonstar,0,ok,2026-06-29T23:54:23+00:00
sec-ant,0,ok,2026-06-29T23:54:23+00:00
