repo,repo_id,gh_sponsorships_in,gh_sponsors_enabled,sponsors_status,fetched_at
gkz/levn,gh/13287279,0,False,ok,2026-06-30T10:25:24+00:00
gkz/optionator,gh/13435927,0,False,ok,2026-06-30T10:25:25+00:00
gkz/prelude-ls,gh/4457759,0,False,ok,2026-06-30T10:25:25+00:00
gkz/type-check,gh/13182168,0,False,ok,2026-06-30T10:25:25+00:00
gmp-mirror/gmp,gh/681340775,0,False,ok,2026-06-30T10:25:25+00:00
gnome/gdk-pixbuf,gh/4533539,0,False,ok,2026-07-06T11:10:41+00:00
gnome/glib,gh/4537082,0,False,ok,2026-07-06T11:10:40+00:00
gnome/libxml2,gh/4537118,0,False,ok,2026-07-06T11:10:40+00:00
gnome/pango,gh/4537144,0,False,ok,2026-06-30T10:25:26+00:00
gnutls/gnutls,gh/58873704,0,False,ok,2026-07-06T11:10:40+00:00
gnutls/libtasn1,gh/59017205,0,False,ok,2026-07-06T11:10:41+00:00
gnutls/nettle,gh/59017402,,,ok,2026-05-19T11:11:11+00:00
google/brotli,gh/24993138,0,False,ok,2026-06-30T10:25:26+00:00
google/highway,gh/206791328,0,False,ok,2026-07-06T11:10:41+00:00
google/zerocopy,gh/534354967,0,False,ok,2026-06-30T10:25:26+00:00
googleapis/google-auth-library-python,gh/69199387,,,ok,2026-04-28T00:16:11+00:00
googleapis/google-cloud-node-core,gh/1052931509,,,ok,2026-04-28T00:16:11+00:00
googleapis/google-cloud-python,gh/16316451,0,False,ok,2026-06-30T10:25:26+00:00
googleapis/google-resumable-media-python,gh/88091939,,,ok,2026-04-28T00:16:12+00:00
googleapis/python-api-core,gh/226992456,,,ok,2026-04-28T00:16:12+00:00
googleapis/python-cloud-core,gh/226992462,0,False,ok,2026-07-06T11:10:41+00:00
googleapis/python-crc32c,gh/159736041,0,False,ok,2026-07-06T11:10:41+00:00
googleapis/python-storage,gh/226992639,,,ok,2026-04-28T00:16:13+00:00
googlechrome/workbox,gh/55424670,0,False,ok,2026-06-30T10:25:27+00:00
gpg/libgpg-error,gh/42075984,,,ok,2026-05-19T11:11:15+00:00
grahamdumpleton/wrapt,gh/10357291,0,True,ok,2026-06-30T10:25:27+00:00
grantjenks/python-sortedcontainers,gh/17144859,0,False,ok,2026-06-30T10:25:27+00:00
graydon/exhaustigen-rs,gh/432630522,0,False,ok,2026-06-30T10:25:28+00:00
gregberge/svgr,gh/102155012,2,True,ok,2026-06-30T10:25:28+00:00
grncdr/merge-stream,gh/10579821,0,False,ok,2026-06-30T10:25:28+00:00
grpc/grpc,gh/27729880,0,False,ok,2026-06-30T10:25:28+00:00
gsnedders/python-webencodings,gh/7043404,0,False,ok,2026-06-30T10:25:29+00:00
guillaumegomez/doc-comment,gh/127254922,11,True,ok,2026-06-30T10:25:29+00:00
gulpjs/glob-parent,gh/29154915,8,True,ok,2026-06-30T10:25:29+00:00
gweis/isodate,gh/6449370,0,False,ok,2026-06-30T10:25:29+00:00
gyscos/zstd-rs,gh/52115335,0,False,ok,2026-06-30T10:25:30+00:00
hapijs/hoek,gh/5831189,0,False,ok,2026-06-30T10:25:30+00:00
harfbuzz/harfbuzz,gh/5050525,0,False,ok,2026-06-30T10:25:30+00:00
hiddentao/fast-levenshtein,gh/9490451,0,False,ok,2026-06-30T10:25:30+00:00
holmgren/nettle,,0,False,ok,2026-07-06T11:10:40+00:00
httplib2/httplib2,gh/53002916,0,False,ok,2026-06-30T10:25:31+00:00
huggingface/huggingface_hub,gh/323591830,0,False,ok,2026-06-30T10:25:31+00:00
hukkin/tomli,gh/370616797,0,False,ok,2026-06-30T10:25:31+00:00
hyperium/http,gh/84983058,0,False,ok,2026-06-30T10:25:32+00:00
hyperium/http-body,gh/183281612,0,False,ok,2026-06-30T10:25:32+00:00
iarna/aproba,gh/31432421,0,False,ok,2026-06-30T10:25:32+00:00
import-js/eslint-plugin-import,gh/32238354,0,False,ok,2026-06-30T10:25:32+00:00
indexmap-rs/indexmap,gh/68294628,0,False,ok,2026-06-30T10:25:33+00:00
indutny/bn.js,gh/19176350,6,True,ok,2026-06-30T10:25:33+00:00
indygreg/python-zstandard,gh/67307930,8,True,ok,2026-06-30T10:25:33+00:00
inikulin/parse5,gh/8862593,0,False,ok,2026-06-30T10:25:33+00:00
inspect-js/array-buffer-byte-length,gh/607836784,0,False,ok,2026-06-30T10:25:34+00:00
inspect-js/available-typed-arrays,gh/235965505,0,False,ok,2026-06-30T10:25:34+00:00
inspect-js/functions-have-names,gh/198357138,0,False,ok,2026-06-30T10:25:34+00:00
inspect-js/has-bigints,gh/201714166,0,False,ok,2026-06-30T10:25:35+00:00
inspect-js/has-property-descriptors,gh/481834578,0,False,ok,2026-06-30T10:25:35+00:00
inspect-js/has-proto,gh/577580747,0,False,ok,2026-06-30T10:25:35+00:00
inspect-js/has-symbols,gh/68573418,0,False,ok,2026-06-30T10:25:35+00:00
inspect-js/has-tostringtag,gh/392913710,0,False,ok,2026-06-30T10:25:36+00:00
inspect-js/hasown,gh/703350811,0,False,ok,2026-06-30T10:25:36+00:00
inspect-js/is-accessor-descriptor,gh/41658954,0,False,ok,2026-06-30T10:25:13+00:00
inspect-js/is-arguments,gh/15725461,0,False,ok,2026-06-30T10:25:13+00:00
