user_id,login,has_sponsors_listing,status,fetched_at
329822,julian,True,ok,2026-07-05T18:36:58+00:00
330628,ralfjung,False,ok,2026-07-05T18:36:51+00:00
332036,oli-obk,False,ok,2026-07-05T18:36:57+00:00
332363,owlstronaut,False,ok,2026-07-05T18:36:58+00:00
335383,larsmans,False,ok,2026-07-05T18:36:55+00:00
335567,carreau,True,ok,2026-07-05T18:36:52+00:00
340349,msullivan,False,ok,2026-07-05T18:36:53+00:00
342993,indygreg,True,ok,2026-07-05T18:36:56+00:00
347870,sebmaster,False,ok,2026-07-05T18:36:54+00:00
349618,keszybz,False,ok,2026-07-05T18:37:00+00:00
352304,kaelzhang,False,ok,2026-07-05T18:36:59+00:00
356399,asvetlov,True,ok,2026-07-05T18:36:58+00:00
363802,hazat,True,ok,2026-07-05T18:37:01+00:00
365262,mcavage,False,ok,2026-07-05T18:36:51+00:00
368057,jamesls,False,ok,2026-07-05T18:36:58+00:00
373936,diullei,False,ok,2026-07-05T18:36:57+00:00
375744,mattrobenolt,False,ok,2026-07-05T18:37:01+00:00
376661,mafintosh,True,ok,2026-07-05T18:36:59+00:00
383875,ptmcg,False,ok,2026-07-05T18:37:02+00:00
383994,jonschlinkert,True,ok,2026-07-05T18:36:55+00:00
394360,einaros,False,ok,2026-07-05T18:37:00+00:00
403461,jrfeenst,False,ok,2026-07-05T18:36:57+00:00
404610,tatsuhiro-t,True,ok,2026-07-05T18:37:02+00:00
406394,evanw,False,ok,2026-07-05T18:37:02+00:00
408035,rafeca,False,ok,2026-07-05T18:36:51+00:00
413772,graingert,True,ok,2026-07-05T18:36:59+00:00
416575,frewsxcv,False,ok,2026-07-05T18:36:57+00:00
417016,sadasant,False,ok,2026-07-05T18:36:53+00:00
418097,othiym23,False,ok,2026-07-05T18:36:57+00:00
424045,nlf,False,ok,2026-07-05T18:36:55+00:00
425260,eric-wieser,False,ok,2026-07-05T18:37:01+00:00
431873,tlyu,True,ok,2026-07-05T18:36:53+00:00
433028,jdisanti,False,ok,2026-07-05T18:37:00+00:00
433725,iansu,True,ok,2026-07-05T18:36:55+00:00
439929,jasnell,False,ok,2026-07-05T18:36:59+00:00
449558,amueller,False,ok,2026-07-05T18:36:55+00:00
453071,inikulin,False,ok,2026-07-05T18:36:57+00:00
456674,burntsushi,True,ok,2026-07-05T18:36:51+00:00
460469,ivmai,False,ok,2026-07-05T18:36:57+00:00
464322,bartdag,False,ok,2026-07-05T18:36:59+00:00
468153,jordanbtucker,False,ok,2026-07-05T18:36:55+00:00
469155,richardpl,False,ok,2026-07-05T18:36:52+00:00
472350,mark-adams,False,ok,2026-07-05T18:37:00+00:00
476013,matthiaskrgr,False,ok,2026-07-05T18:37:01+00:00
477771,glouppe,False,ok,2026-07-05T18:36:58+00:00
479213,pde,False,ok,2026-07-05T18:36:58+00:00
487433,mistercrunch,False,ok,2026-07-05T18:36:52+00:00
488689,shilman,False,ok,2026-07-05T18:36:56+00:00
490673,alamb,False,ok,2026-07-05T18:36:54+00:00
491659,scoder,True,ok,2026-07-05T18:36:54+00:00
492903,rcoh,False,ok,2026-07-05T18:36:51+00:00
495647,rvagg,False,ok,2026-07-05T18:36:53+00:00
499550,yyx990803,True,ok,2026-07-05T18:36:56+00:00
507637,grahamdumpleton,True,ok,2026-07-05T18:36:59+00:00
508118,ctavan,True,ok,2026-07-05T18:36:53+00:00
512616,jbowler,False,ok,2026-07-05T18:37:00+00:00
520669,dhermes,False,ok,2026-07-05T18:36:56+00:00
522231,kevinbeaty,False,ok,2026-07-05T18:37:00+00:00
542108,lukekarrys,True,ok,2026-07-05T18:36:59+00:00
554369,willmcgugan,True,ok,2026-07-05T18:36:54+00:00
554612,legrandin,False,ok,2026-07-05T18:36:56+00:00
555648,sdispater,True,ok,2026-07-05T18:36:54+00:00
557590,rreverser,True,ok,2026-07-05T18:36:53+00:00
558190,aearly,False,ok,2026-07-05T18:36:54+00:00
564903,gyscos,False,ok,2026-07-05T18:37:00+00:00
571330,xitology,False,ok,2026-07-05T18:36:55+00:00
572024,eggert,False,ok,2026-07-05T18:36:59+00:00
574696,paulmillr,True,ok,2026-07-05T18:36:58+00:00
575695,marshallpierce,False,ok,2026-07-05T18:37:00+00:00
578543,webknjaz,True,ok,2026-07-05T18:36:54+00:00
580948,tjguk,False,ok,2026-07-05T18:36:52+00:00
588473,hzoo,True,ok,2026-07-05T18:36:55+00:00
595491,potiuk,True,ok,2026-07-05T18:37:01+00:00
605277,uranusjr,False,ok,2026-07-05T18:36:53+00:00
609896,njsmith,False,ok,2026-07-05T18:36:55+00:00
616428,timer,False,ok,2026-07-05T18:36:51+00:00
617000,eemeli,True,ok,2026-07-05T18:36:59+00:00
617481,domenic,False,ok,2026-07-05T18:36:57+00:00
618076,fatso83,False,ok,2026-07-05T18:36:55+00:00
625469,armano2,False,ok,2026-07-05T18:36:57+00:00
627997,ashtuchkin,False,ok,2026-07-05T18:36:58+00:00
628431,davidtheclark,False,ok,2026-07-05T18:36:55+00:00
639755,raulcd,True,ok,2026-07-05T18:36:51+00:00
641386,fenhl,False,ok,2026-07-05T18:36:56+00:00
643885,timrwood,False,ok,2026-07-05T18:36:51+00:00
647359,lovelydinosaur,False,ok,2026-07-05T18:36:58+00:00
651941,dcommander,False,ok,2026-07-05T18:36:55+00:00
663432,bdraco,False,ok,2026-07-05T18:36:59+00:00
666308,retep998,False,ok,2026-07-05T18:36:52+00:00
675313,rubenverborgh,True,ok,2026-07-05T18:36:53+00:00
681260,giampaolo,True,ok,2026-07-05T18:36:58+00:00
688850,perlpunk,True,ok,2026-07-05T18:36:59+00:00
690238,gaborbernat,True,ok,2026-07-05T18:36:57+00:00
692075,sbidoul,False,ok,2026-07-05T18:36:54+00:00
698229,snowystinger,False,ok,2026-07-05T18:36:58+00:00
698918,levitte,False,ok,2026-07-05T18:36:56+00:00
702934,andyfaff,False,ok,2026-07-05T18:36:56+00:00
709159,kevva,False,ok,2026-07-05T18:37:00+00:00
709807,aturon,False,ok,2026-07-05T18:36:58+00:00
713966,ronaldoussoren,False,ok,2026-07-05T18:36:53+00:00
718899,trott,False,ok,2026-07-05T18:36:52+00:00
718941,davidpdrsn,False,ok,2026-07-05T18:36:55+00:00
729390,michaelni,False,ok,2026-07-05T18:36:51+00:00
748594,davidhalter,True,ok,2026-07-05T18:36:54+00:00
750081,cyan4973,False,ok,2026-07-05T18:36:54+00:00
753512,kanongil,False,ok,2026-07-05T18:36:59+00:00
755743,kuhe,False,ok,2026-07-05T18:36:55+00:00
757060,ichernev,False,ok,2026-07-05T18:36:56+00:00
789564,kapetan,False,ok,2026-07-05T18:36:59+00:00
795070,stefwalter,False,ok,2026-07-05T18:36:59+00:00
810438,gaearon,False,ok,2026-07-05T18:36:57+00:00
820496,jonathanhuot,True,ok,2026-07-05T18:37:02+00:00
821550,rayluo,False,ok,2026-07-05T18:36:51+00:00
823911,mattip,True,ok,2026-07-05T18:37:01+00:00
829734,petkaantonov,False,ok,2026-07-05T18:36:59+00:00
