package,license,fetched_at
gemini-cli,apache-2.0,2026-07-21T21:08:14Z
geos,lgpl-2.1-or-later,2026-07-21T21:08:14Z
gettext,gpl-3.0-or-later and lgpl-2.1-or-later,2026-07-21T21:08:14Z
gflags,bsd-3-clause,2026-07-21T21:08:14Z
ggml,mit,2026-07-21T21:08:14Z
gh,mit,2026-07-21T21:08:14Z
ghc,bsd-3-clause,2026-07-21T21:08:14Z
ghostscript,agpl-3.0-or-later,2026-07-21T21:08:14Z
giflib,mit,2026-07-21T21:08:14Z
gimme-aws-creds,apache-2.0,2026-07-21T21:08:14Z
git,gpl-2.0-only and gpl-2.0-or-later and lgpl-2.1-or-later and bsd-3-clause and mit,2026-07-21T21:08:14Z
git-crypt,gpl-3.0-or-later,2026-07-21T21:08:14Z
git-delta,mit,2026-07-21T21:08:14Z
git-filter-repo,mit,2026-07-21T21:08:14Z
git-flow,bsd-2-clause,2026-07-21T21:08:14Z
git-gui,gpl-2.0-only,2026-07-21T21:08:14Z
git-lfs,mit,2026-07-21T21:08:14Z
gitlab-runner,mit,2026-07-21T21:08:14Z
gitleaks,mit,2026-07-21T21:08:14Z
gitui,mit,2026-07-21T21:08:14Z
gl2ps,gl2ps,2026-07-21T21:08:14Z
glab,mit,2026-07-21T21:08:14Z
glances,lgpl-3.0-or-later,2026-07-21T21:08:14Z
glew,bsd-3-clause,2026-07-21T21:08:14Z
glfw,zlib,2026-07-21T21:08:14Z
glib,lgpl-2.1-or-later,2026-07-21T21:08:14Z
glib-networking,lgpl-2.1-or-later,2026-07-21T21:08:14Z
glibc,gpl-2.0-or-later and lgpl-2.1-or-later,2026-07-21T21:08:14Z
glog,bsd-3-clause,2026-07-21T21:08:14Z
glow,mit,2026-07-21T21:08:14Z
glpk,gpl-3.0-or-later,2026-07-21T21:08:14Z
glslang,bsd-3-clause and gpl-3.0-or-later and mit and apache-2.0,2026-07-21T21:08:14Z
gmp,lgpl-3.0-or-later or gpl-2.0-or-later,2026-07-21T21:08:14Z
gnu-getopt,gpl-2.0-or-later,2026-07-21T21:08:14Z
gnu-sed,gpl-3.0-or-later,2026-07-21T21:08:14Z
gnu-tar,gpl-3.0-or-later,2026-07-21T21:08:14Z
gnupg,gpl-3.0-or-later,2026-07-21T21:08:14Z
gnuplot,gnuplot,2026-07-21T21:08:14Z
gnuradio,gpl-3.0-or-later,2026-07-21T21:08:14Z
gnutls,lgpl-2.1-or-later and gpl-3.0-only,2026-07-21T21:08:14Z
go,bsd-3-clause,2026-07-21T21:08:14Z
go-md2man,mit,2026-07-21T21:08:14Z
go-task,mit,2026-07-21T21:08:14Z
go@1.21,bsd-3-clause,2026-07-21T21:08:14Z
go@1.22,bsd-3-clause,2026-07-21T21:08:14Z
go@1.24,bsd-3-clause,2026-07-21T21:08:14Z
gobject-introspection,gpl-2.0-or-later and lgpl-2.0-or-later and mit,2026-07-21T21:08:14Z
golang-migrate,mit,2026-07-21T21:08:14Z
golangci-lint,gpl-3.0-only,2026-07-21T21:08:14Z
gomplate,mit,2026-07-21T21:08:14Z
googletest,bsd-3-clause,2026-07-21T21:08:14Z
gopls,bsd-3-clause,2026-07-21T21:08:14Z
goreleaser,mit,2026-07-21T21:08:14Z
gpatch,gpl-3.0-or-later,2026-07-21T21:08:14Z
gperf,gpl-3.0-or-later,2026-07-21T21:08:14Z
gpgme,lgpl-2.1-or-later,2026-07-21T21:08:14Z
gpgmepp,lgpl-2.1-or-later,2026-07-21T21:08:14Z
gping,mit,2026-07-21T21:08:14Z
gradle,apache-2.0,2026-07-21T21:08:14Z
gradle-completion,mit,2026-07-21T21:08:14Z
grafana,agpl-3.0-only,2026-07-21T21:08:14Z
graphene,mit,2026-07-21T21:08:14Z
graphicsmagick,mit,2026-07-21T21:08:14Z
graphite2,mit or mpl-2.0 or lgpl-2.1-or-later or gpl-2.0-or-later,2026-07-21T21:08:14Z
graphviz,epl-1.0,2026-07-21T21:08:14Z
grep,gpl-3.0-or-later,2026-07-21T21:08:14Z
groff,gpl-3.0-or-later,2026-07-21T21:08:14Z
groonga,lgpl-2.1-or-later,2026-07-21T21:08:14Z
groovy,apache-2.0,2026-07-21T21:08:14Z
grpc,apache-2.0,2026-07-21T21:08:14Z
grpcurl,mit,2026-07-21T21:08:14Z
grype,apache-2.0,2026-07-21T21:08:14Z
gsettings-desktop-schemas,lgpl-2.1-or-later,2026-07-21T21:08:14Z
gsl,gpl-3.0-or-later,2026-07-21T21:08:14Z
gspell,lgpl-2.1-or-later,2026-07-21T21:08:14Z
gstreamer,lgpl-2.0-or-later and lgpl-2.1-or-later and mit,2026-07-21T21:08:14Z
gtk+,lgpl-2.0-or-later,2026-07-21T21:08:14Z
gtk+3,lgpl-2.0-or-later,2026-07-21T21:08:14Z
gtk-mac-integration,lgpl-2.1-only,2026-07-21T21:08:14Z
gtk-vnc,lgpl-2.1-or-later,2026-07-21T21:08:14Z
gtk4,lgpl-2.1-or-later,2026-07-21T21:08:14Z
gtksourceview4,lgpl-2.1-or-later,2026-07-21T21:08:14Z
gts,lgpl-2.0-or-later,2026-07-21T21:08:14Z
guile,lgpl-3.0-or-later,2026-07-21T21:08:14Z
gum,mit,2026-07-21T21:08:14Z
gumbo-parser,apache-2.0,2026-07-21T21:08:14Z
gzip,gpl-3.0-or-later,2026-07-21T21:08:14Z
hadolint,gpl-3.0-only,2026-07-21T21:08:14Z
hadoop,apache-2.0,2026-07-21T21:08:14Z
handbrake,gpl-2.0-only,2026-07-21T21:08:14Z
harfbuzz,mit,2026-07-21T21:08:14Z
hashcat,mit and lzma-sdk-9.22 and licenseref-homebrew-public-domain,2026-07-21T21:08:14Z
haskell-stack,bsd-3-clause,2026-07-21T21:08:14Z
hdf5,bsd-3-clause,2026-07-21T21:08:14Z
hdrhistogram_c,cc0-1.0 or bsd-2-clause,2026-07-21T21:08:14Z
helix,mpl-2.0,2026-07-21T21:08:14Z
hello,gpl-3.0-or-later,2026-07-21T21:08:14Z
helm,apache-2.0,2026-07-21T21:08:14Z
helmfile,mit,2026-07-21T21:08:14Z
hicolor-icon-theme,gpl-2.0-only,2026-07-21T21:08:14Z
hidapi,gpl-3.0-only or bsd-3-clause or hidapi,2026-07-21T21:08:14Z
highlight,gpl-3.0-or-later,2026-07-21T21:08:14Z
highway,apache-2.0 or bsd-3-clause,2026-07-21T21:08:14Z
hiredis,bsd-3-clause,2026-07-21T21:08:14Z
htop,gpl-2.0-or-later,2026-07-21T21:08:14Z
httpd,apache-2.0,2026-07-21T21:08:14Z
httpie,bsd-3-clause,2026-07-21T21:08:14Z
httrack,gpl-3.0-or-later with openvpn-openssl-exception,2026-07-21T21:08:14Z
hub,mit,2026-07-21T21:08:14Z
hugo,apache-2.0,2026-07-21T21:08:14Z
hunspell,mpl-1.1 or gpl-2.0-or-later or lgpl-2.1-or-later,2026-07-21T21:08:14Z
hwloc,bsd-3-clause,2026-07-21T21:08:14Z
icu4c@75,unicode-3.0,2026-07-21T21:08:14Z
icu4c@76,unicode-3.0,2026-07-21T21:08:14Z
icu4c@77,unicode-3.0,2026-07-21T21:08:14Z
icu4c@78,unicode-3.0,2026-07-21T21:08:14Z
ideviceinstaller,gpl-2.0-or-later,2026-07-21T21:08:14Z
imagemagick,imagemagick,2026-07-21T21:08:14Z
imagemagick@6,imagemagick,2026-07-21T21:08:14Z
imath,bsd-3-clause,2026-07-21T21:08:14Z
img2pdf,lgpl-3.0-or-later,2026-07-21T21:08:14Z
imlib2,imlib2,2026-07-21T21:08:14Z
inetutils,gpl-3.0-or-later,2026-07-21T21:08:14Z
