repo,repo_id,criticality_score,language,license,star_count,created_at,updated_at,created_since,updated_since,contributor_count,org_count,commit_frequency,recent_release_count,updated_issues_count,closed_issues_count,issue_comment_frequency,github_mention_count,depsdev_enabled,checked_at,status,error_reason
sindresorhus/open,gh/18469325,0.49849,JavaScript,MIT License,3475,2014-04-05T15:13:50Z,2025-11-15T08:22:01Z,148,7,57,6,0.38,2,0,0,0,4111,False,2026-06-29T14:59:51+00:00,ok,
astanin/python-tabulate,gh/205875548,0.49719,Python,MIT License,2565,2012-12-11T16:53:51Z,2026-03-11T08:42:59Z,164,3,108,4,2.48,1,0,0,0,2119,False,2026-06-29T11:48:10+00:00,ok,
jshttp/mime-db,gh/22970419,0.49682,JavaScript,MIT License,1246,2014-08-14T22:18:36Z,2026-06-21T06:08:25Z,144,0,98,8,0.62,5,0,0,0,320,False,2026-06-29T13:31:59+00:00,ok,
isaacs/node-graceful-fs,gh/2077020,0.49681,JavaScript,Blue Oak Model License 1.0.0,1302,2011-07-20T08:47:00Z,2025-10-25T19:00:06Z,181,8,31,10,0.02,4,0,0,0,2156,False,2026-06-29T13:02:20+00:00,ok,
dtolnay/trybuild,gh/184941159,0.49659,Rust,Apache License 2.0,970,2019-05-04T00:04:33Z,2026-06-24T03:02:37Z,87,0,27,6,0.98,12,0,0,0,2603,False,2026-06-29T12:04:07+00:00,ok,
httplib2/httplib2,gh/53002916,0.49625,Python,Other,509,2006-02-07T05:29:51Z,2026-06-26T10:07:36Z,248,0,80,3,0.38,2,0,0,0,8979,False,2026-06-29T12:54:39+00:00,ok,
jquast/wcwidth,gh/18464187,0.49547,Python,Other,460,2014-04-05T09:57:11Z,2026-06-08T05:56:10Z,148,0,23,4,2.23,16,0,0,0,2386,False,2026-06-29T13:25:23+00:00,ok,
mozilla/source-map,gh/2014930,0.49532,JavaScript,Other,3729,2011-07-07T21:16:37Z,2026-06-02T15:46:50Z,182,0,94,5,0.25,2,0,0,0,2385,False,2026-06-29T14:07:19+00:00,ok,
la10736/rstest,gh/124802455,0.49530,Rust,Apache License 2.0,1571,2018-03-11T21:46:36Z,2026-03-24T14:58:49Z,101,3,43,8,0.67,2,0,0,0,2552,False,2026-07-06T12:53:21+00:00,ok,
pallets/markupsafe,gh/734244,0.49516,Python,"BSD 3-Clause ""New"" or ""Revised"" License",690,2010-06-22T17:21:32Z,2025-09-27T18:45:34Z,195,9,49,7,0.21,1,0,0,0,4953,False,2026-06-29T14:21:23+00:00,ok,
rust-lang-nursery/lazy-static.rs,gh/21157492,0.49490,Rust,Apache License 2.0,2029,2014-06-24T08:25:15Z,2025-01-29T15:31:06Z,146,17,61,9,0,2,0,0,0,1680,False,2026-06-29T14:41:15+00:00,ok,
burntsushi/memchr,gh/37290652,0.49486,Rust,The Unlicense,1486,2015-06-11T23:00:02Z,2026-06-12T02:17:11Z,134,0,52,6,0.38,4,0,0,0,2039,False,2026-06-29T11:53:32+00:00,ok,
sybrenstuvel/python-rsa,gh/50107469,0.49472,Python,Other,489,2008-04-23T11:22:44Z,2025-04-16T08:38:55Z,221,14,43,8,0,1,0,0,0,5411,False,2026-07-05T15:57:41+00:00,ok,
7rulnik/source-map-js,gh/330043541,0.49399,JavaScript,Other,103,2011-07-07T21:16:37Z,2026-05-10T23:50:15Z,182,1,73,8,1.35,3,0,0,0,439,False,2026-06-29T11:29:08+00:00,ok,
requests/requests-oauthlib,gh/6825724,0.49272,Python,ISC License,1773,2012-11-23T10:19:44Z,2025-06-18T06:42:02Z,165,12,121,8,0,1,0,0,0,954,False,2026-06-29T14:38:16+00:00,ok,
marshallpierce/rust-base64,gh/47371310,0.49210,Rust,Apache License 2.0,723,2015-12-02T21:40:20Z,2025-12-04T15:35:53Z,128,6,56,4,0.08,3,0,0,0,6397,False,2026-06-29T13:47:15+00:00,ok,
burntsushi/quickcheck,gh/17559913,0.49209,Rust,The Unlicense,2772,2014-03-08T07:34:05Z,2026-04-03T00:52:53Z,149,2,93,5,0.33,9,0,0,0,564,False,2026-06-29T11:53:37+00:00,ok,
