repo,repo_id,score,Binary-Artifacts,Branch-Protection,CI-Tests,CII-Best-Practices,Code-Review,Contributors,Dangerous-Workflow,Dependency-Update-Tool,Fuzzing,License,Maintained,Packaging,Pinned-Dependencies,SAST,Security-Policy,Signed-Releases,Token-Permissions,Vulnerabilities,Webhooks,date
altramayor/f3,2984156,4.3,10,0,10,0,0,10,10,0,0,10,10,-1,0,0,0,-1,0,10,,2026-04-06T18:36:31+01:00
altramayor/gatekeeper,62745741,3.2,10,3,0,0,0,10,10,0,0,10,0,-1,0,0,0,0,0,10,,2026-04-07T11:57:41+01:00
am0nsec/hellsgate,268861709,2.4,10,0,0,0,1,3,-1,0,0,0,0,-1,-1,0,0,-1,-1,10,,2026-04-07T16:00:25+01:00
amadvance/snapraid,17883395,4.8,10,0,-1,0,0,0,10,0,0,9,10,-1,0,10,0,0,9,10,,2026-04-06T19:49:11+01:00
amanieu/parking_lot,58731560,4.1,10,0,9,0,5,10,10,0,0,10,3,-1,0,0,0,-1,0,10,,2026-04-27T21:28:45+01:00
analogdevicesinc/no-os,7014478,6.5,10,8,10,0,10,10,10,0,0,9,10,-1,0,9,0,0,9,10,,2026-04-07T14:55:57+01:00
andialbrecht/sqlparse,4067434,4.8,10,0,2,0,1,10,10,0,10,10,0,-1,0,7,10,-1,0,10,,2026-04-27T21:28:47+01:00
andlabs/libui,34088285,2.7,10,0,0,0,2,10,-1,0,0,9,0,-1,-1,0,0,0,-1,10,,2026-04-06T13:37:05+01:00
andmarti1424/sc-im,25980738,3.7,10,0,0,0,1,10,10,0,0,9,5,-1,0,0,0,-1,0,10,,2026-04-06T15:35:56+01:00
andreas-mausch/whatsapp-viewer,18067526,2.3,10,0,0,0,0,0,-1,0,0,10,0,-1,-1,0,0,0,-1,10,,2026-04-07T13:57:55+01:00
andrei-markeev/ts2c,64089592,3.0,10,0,0,0,0,0,-1,10,0,10,0,-1,-1,0,0,-1,-1,5,,2026-04-07T13:59:22+01:00
andrewrk/libsoundio,38333501,3.8,10,0,0,0,9,10,-1,0,0,10,0,-1,-1,0,0,-1,-1,10,,2026-04-07T10:48:49+01:00
andrewrk/node-pend,11836813,3.0,10,0,-1,0,0,10,-1,0,0,10,0,-1,-1,0,0,-1,-1,10,,2026-04-27T21:28:50+01:00
ands/lightmapper,58688426,2.5,10,0,0,0,0,10,-1,0,0,0,0,-1,-1,0,0,-1,-1,10,,2026-04-07T12:57:49+01:00
andyperlitch/jsbn,9710533,2.4,10,0,0,0,4,3,-1,0,0,9,0,-1,-1,0,0,-1,-1,4,,2026-04-27T21:28:54+01:00
anestisb/vdexextractor,106165247,2.8,10,0,0,0,1,6,-1,0,0,10,0,-1,-1,0,0,-1,-1,10,,2026-04-07T16:56:45+01:00
annotated-types/annotated-types,487934134,3.9,10,0,1,0,7,10,10,0,0,10,1,-1,0,0,0,-1,0,10,,2026-04-27T16:09:58+01:00
ansem-sod/picofly,616848567,2.1,10,0,0,0,0,0,-1,0,0,0,0,-1,-1,0,0,-1,-1,10,,2026-04-07T15:59:35+01:00
answer-huang/dsymtools,21232952,1.6,0,0,0,0,2,3,-1,0,0,10,0,-1,-1,0,0,0,-1,10,,2026-04-06T17:36:45+01:00
antimof/uxplay,255923578,4.6,10,0,0,0,10,0,-1,0,0,10,10,-1,-1,0,0,-1,-1,10,,2026-04-07T10:55:49+01:00
antirez/disque,34676773,2.1,10,0,0,0,5,3,-1,0,0,10,0,-1,-1,0,0,-1,-1,0,,2026-04-06T13:41:27+01:00
antirez/dump1090,7455329,3.8,10,0,0,0,1,3,-1,0,0,10,10,-1,-1,0,0,-1,-1,10,,2026-04-06T18:51:59+01:00
antirez/hping,4653998,2.7,10,0,0,0,1,3,-1,0,0,9,0,-1,-1,0,0,-1,-1,10,,2026-04-07T11:55:46+01:00
antirez/iris.c,1136984342,2.7,10,0,0,0,1,3,-1,0,0,10,0,-1,-1,0,0,-1,-1,10,,2026-04-07T10:57:01+01:00
antirez/kilo,62994219,2.8,10,0,0,0,2,3,-1,0,0,10,0,-1,-1,0,0,-1,-1,10,,2026-04-06T13:40:24+01:00
antirez/linenoise,571929,3.6,10,0,0,0,2,3,-1,0,0,10,7,-1,-1,0,0,-1,-1,10,,2026-04-06T16:36:24+01:00
antirez/neural-redis,69393843,2.7,10,0,0,0,1,3,-1,0,0,10,0,-1,-1,0,0,-1,-1,10,,2026-04-06T20:36:37+01:00
antirez/rax,83552012,2.6,10,0,0,0,0,3,-1,0,0,10,0,-1,-1,0,0,-1,-1,10,,2026-04-07T15:55:52+01:00
antirez/sds,16582463,2.7,10,0,0,0,1,3,-1,0,0,10,0,-1,-1,0,0,-1,-1,10,,2026-04-06T15:36:06+01:00
antirez/smallchat,711090094,2.6,10,0,0,0,3,3,-1,0,0,0,0,-1,-1,0,0,-1,-1,10,,2026-04-06T13:42:27+01:00
antirez/smaz,164020,2.7,10,0,-1,0,0,3,-1,0,0,10,0,-1,-1,0,0,-1,-1,10,,2026-04-07T15:56:05+01:00
antirez/voxtral.c,1150763716,2.6,10,0,0,0,0,3,-1,0,0,10,0,-1,-1,0,0,-1,-1,10,,2026-04-07T12:58:02+01:00
antoniococo/remotepotato0,337221642,2.3,10,0,0,0,0,0,-1,0,0,10,0,-1,-1,0,0,0,-1,10,,2026-04-07T13:55:53+01:00
antoniococo/roguepotato,262841542,2.3,10,0,-1,0,0,0,-1,0,0,10,0,-1,-1,0,0,0,-1,10,,2026-04-07T16:01:01+01:00
antonk52/lilconfig,238967485,3.5,10,0,0,0,0,6,10,10,0,10,0,-1,6,0,0,-1,0,0,,2026-04-27T21:28:58+01:00
any1/wayvnc,213255828,3.9,10,0,0,0,0,10,-1,0,0,10,10,-1,-1,0,0,-1,-1,10,,2026-04-07T11:56:50+01:00
aomediacodec/libavif,191218735,6.8,9,1,9,0,10,10,10,10,10,9,10,-1,8,0,10,0,0,10,,2026-04-07T10:50:04+01:00
aorimn/dislocker,7098048,4.5,10,0,0,0,10,3,-1,0,0,10,1,-1,-1,0,10,-1,-1,10,,2026-04-07T10:57:27+01:00
apache/age,276293034,6.0,10,0,9,0,10,10,10,10,0,10,10,-1,0,0,10,0,0,10,,2026-04-06T16:35:53+01:00
apache/airflow,33884891,7.8,10,,10,0,10,10,-1,10,10,10,10,-1,0,10,10,8,-1,0,,2026-05-03T23:26:18+01:00
apache/arrow,51905353,6.9,10,3,10,0,8,10,10,10,10,10,10,10,0,0,10,8,0,4,,2026-04-27T16:08:30+01:00
apache/arrow-rs,358917250,7.0,10,,10,0,10,10,10,10,0,10,10,-1,0,0,10,-1,0,9,,2026-05-03T23:21:24+01:00
apache/cloudberry,644742603,5.9,8,8,10,0,10,10,10,10,0,10,10,10,0,0,10,0,0,0,,2026-04-07T15:57:46+01:00
apache/guacamole-server,54452627,5.4,10,3,10,0,3,10,10,0,0,10,10,-1,0,0,10,-1,0,10,,2026-04-06T17:34:54+01:00
apache/httpd,205423,5.3,10,0,-1,0,0,10,10,0,10,10,10,-1,0,0,10,-1,0,10,,2026-04-06T16:37:41+01:00
apple-oss-distributions/xnu,413590840,2.7,10,0,-1,0,0,3,-1,0,0,9,0,-1,-1,0,0,-1,-1,10,,2026-04-06T18:50:50+01:00
apple/darwin-xnu,93205465,3.3,10,0,-1,0,0,0,-1,0,0,9,0,-1,-1,0,10,-1,-1,10,,2026-04-06T13:36:28+01:00
apple/homekitadk,227424495,4.8,10,6,0,0,9,3,10,0,0,10,0,-1,0,0,10,-1,0,10,,2026-04-06T19:45:07+01:00
appneta/tcpreplay,14542959,4.5,10,0,10,0,0,10,10,0,0,0,0,-1,0,7,10,8,0,10,,2026-04-07T14:59:27+01:00
appspa/app-space,280132722,2.5,5,0,0,0,0,0,10,0,0,10,0,-1,0,0,0,-1,9,0,,2026-04-07T15:02:37+01:00
appunite/androidffmpeg,3730414,2.4,7,0,0,0,1,3,-1,0,0,10,0,-1,-1,0,0,-1,-1,10,,2026-04-07T17:01:37+01:00
apress/ray-tracing-gems,175272971,2.1,5,0,0,0,0,3,-1,0,0,10,0,-1,-1,0,0,-1,-1,10,,2026-04-07T18:01:13+01:00
aprilrobotics/apriltag,149340903,5.4,10,3,10,0,10,10,10,0,0,9,10,-1,0,0,0,-1,0,10,,2026-04-06T20:37:31+01:00
apsaradb/polardb-for-postgresql,370529505,2.2,10,0,-1,0,0,0,-1,0,0,0,0,-1,-1,0,0,-1,-1,10,,2026-04-06T18:37:42+01:00
aravisproject/aravis,64920647,4.2,10,3,10,0,3,10,10,0,0,10,7,-1,0,0,0,0,0,10,,2026-04-07T15:59:35+01:00
archagon/sensible-side-buttons,93575522,2.4,10,0,0,0,0,3,-1,0,0,10,0,-1,-1,0,0,0,-1,10,,2026-04-07T10:49:14+01:00
ardatan/graphql-tools,54432168,5.5,10,0,8,0,0,10,10,10,0,10,10,-1,3,9,10,-1,0,0,,2026-04-27T15:07:35+01:00
ardatan/whatwg-node,429511342,5.7,10,0,10,0,0,10,10,10,0,10,10,-1,2,10,0,-1,0,9,,2026-04-27T21:29:14+01:00
ardera/flutter-pi,190380053,4.4,10,3,10,0,1,6,10,0,0,10,7,-1,1,8,0,0,0,10,,2026-04-07T10:55:35+01:00
