repo_id,repository_url,class,valid,ecosystem,package,registry_hit,ok,error,critical,critical_via,rank_average,dependent_repos_count,dependent_packages_count,fetched_at
gh/44840244,https://github.com/docutils/docutils,A,True,pypi,docutils,pypi.org,True,,True,pypi.org,0.012747451885247256,102533,2030,2026-07-06T17:14:41Z
gh/4885140,https://github.com/dominictarr/through,A,True,npm,through,npmjs.org,True,,True,npmjs.org,1.0591840519442781,829588,4094,2026-07-06T17:14:41Z
gh/47135420,https://github.com/doowb/ansi-colors,A,True,npm,ansi-colors,npmjs.org,True,,True,npmjs.org,1.2703102472955796,3150703,3032,2026-07-06T17:14:41Z
gh/668034655,https://github.com/douglasdwyer/wasm_sync,A,True,crates,wasm_sync,crates.io,True,,,,32.87178293209773,1,7,2026-07-06T17:14:41Z
gh/20848667,https://github.com/dougwilson/nodejs-depd,A,True,npm,depd,npmjs.org,True,,True,npmjs.org,1.1072222619229823,2556983,2323,2026-07-06T17:14:41Z
gh/212936374,https://github.com/dtolnay/anyhow,A,True,crates,anyhow,crates.io,True,,True,crates.io,1.146944810774088,46716,15807,2026-07-06T17:14:41Z
gh/173074854,https://github.com/dtolnay/automod,A,True,crates,automod,crates.io,True,,,,6.780279153159169,73,28,2026-07-06T17:14:41Z
gh/229514821,https://github.com/dtolnay/dissimilar,A,True,crates,dissimilar,crates.io,True,,,,4.708446320739062,1891,32,2026-07-06T17:14:41Z
gh/54252316,https://github.com/dtolnay/indoc,A,True,crates,indoc,crates.io,True,,True,crates.io,3.3949942523466645,4988,733,2026-07-06T17:14:41Z
gh/61962375,https://github.com/dtolnay/itoa,A,True,crates,itoa,crates.io,True,,True,crates.io,3.302843736703409,76076,291,2026-07-06T17:14:41Z
gh/143469762,https://github.com/dtolnay/no-panic,A,True,crates,no-panic,crates.io,True,,,,5.426043351740282,59,31,2026-07-06T17:14:41Z
gh/155652490,https://github.com/dtolnay/paste,A,True,crates,paste,crates.io,True,,True,crates.io,2.409792715525946,23840,1829,2026-07-06T17:14:41Z
gh/91860126,https://github.com/dtolnay/proc-macro2,A,True,crates,proc-macro2,crates.io,True,,True,crates.io,2.1408539437834837,104726,7224,2026-07-06T17:14:41Z
gh/67273122,https://github.com/dtolnay/quote,A,True,crates,quote,crates.io,True,,True,crates.io,1.9316346608179298,106671,8644,2026-07-06T17:14:41Z
gh/106295902,https://github.com/dtolnay/ref-cast,A,True,crates,ref-cast,crates.io,True,,,,4.594166522946757,4630,80,2026-07-06T17:14:41Z
