name,project_slug,domain,website,github_repo,ecosystem,package,description,fetched_at
Electric,electric,gnu.org,https://www.gnu.org/software/electric/,,,,"GNU Electric is a CAD program for designing electrical circuits, handling custom IC layout, schematic drawing and hardware description language specifications. Several CAD operations are supported, su",2026-07-05T16:57:24+00:00
Emacs,emacs,gnu.org,https://www.gnu.org/software/emacs/,,,,GNU Emacs is an extensible and highly customizable text editor. It is based on an Emacs Lisp interpreter with extensions for text editing. Emacs has been extended in essentially all areas of computing,2026-07-05T16:57:24+00:00
Emacs-muse,emacs-muse,gnu.org,https://www.gnu.org/software/emacs-muse/,,,,"Muse is an authoring and publishing environment for GNU Emacs. It supports entering text in a convenient and easy-to-learn format. Later, your documents may be published in a variety of different form",2026-07-05T16:57:24+00:00
EMMS,emms,gnu.org,https://www.gnu.org/software/emms/,,,,"EMMS is the Emacs Multimedia System. It is a small front-end which can control one of the supported external players. Thus, it supports whatever formats are supported by your music player. It also sup",2026-07-05T16:57:24+00:00
Enscript,enscript,gnu.org,https://www.gnu.org/software/enscript/,,,,"GNU Enscript is a program to convert ASCII text files to PostScript, HTML or RTF formats, to be stored in files or sent immediately to a printer. It also includes the capability to perform syntax high",2026-07-05T16:57:24+00:00
Fdisk,fdisk,gnu.org,https://www.gnu.org/software/fdisk/,,,,"GNU fdisk provides a GNU version of the common disk partitioning tool fdisk. fdisk is used for the creation and manipulation of disk partition tables, and it understands a variety of different formats",2026-07-05T16:57:24+00:00
Ferret,ferret,gnu.org,https://www.gnu.org/software/ferret/,,,,GNU Ferret is a graphical data modeler for the Entity/Relationship paradigm. It can automatically create relational schemas from the data models and it can be used to generate SQL statements in a vari,2026-07-05T16:57:24+00:00
Findutils,findutils,gnu.org,https://www.gnu.org/software/findutils/,,,,Findutils supplies the basic file directory searching utilities of the GNU system. It consists of two primary searching utilities: find recursively searches for files in a directory according to given,2026-07-05T16:57:24+00:00
FisicaLab,fisicalab,gnu.org,https://www.gnu.org/software/fisicalab/,,,,"GNU FisicaLab is an educational application for solving physics problems. Its main objective is allow the user to focus on physics concepts, leaving aside the mathematical details.",2026-07-05T16:57:24+00:00
Foliot,foliot,gnu.org,https://www.gnu.org/software/foliot/,,,,GNU Foliot is an application for keeping track of time spent working on projects.,2026-07-05T16:57:24+00:00
Fontopia,fontopia,gnu.org,https://www.gnu.org/software/fontopia/,,,,"Fontopia is an easy-to-use, text-based, console font editor. It's used to edit the fonts that GNU/Linux uses to display text on text-based terminals. Fontopia works on both PSF 1 &amp; 2, BDF, Code Pa",2026-07-05T16:57:24+00:00
Fontutils,fontutils,gnu.org,https://www.gnu.org/software/fontutils/,,,,"GNU Fontutils is a collection of programs for handling fonts. Bitmaps can be extracted from scanned images of characters, edited, and converted into outline fonts. In general, Fontutils supports the f",2026-07-05T16:57:24+00:00
