repo,repo_id,depsdev_scorecard_overall,depsdev_scorecard_date,depsdev_license,depsdev_open_issues,bestpractices_badge_id,bestpractices_tiered_percentage,fetched_at
chalk/supports-color,gh/11855007,3.9,2026-04-20,MIT,3,,,2026-05-03T19:10:12+00:00
chalk/wrap-ansi,gh/41053676,4.2,2026-04-20,MIT,1,,,2026-05-03T19:10:12+00:00
chalker/safer-buffer,gh/125825141,2.1,2026-04-20,MIT,7,,,2026-05-03T19:10:12+00:00
chardet/chardet,gh/5196969,6.3,2026-04-20,non-standard,1,,,2026-05-03T19:10:13+00:00
cheeriojs/dom-serializer,gh/18991884,6.4,2026-04-20,MIT,0,,,2026-05-03T19:10:13+00:00
chicoxyzzy/node-releases,gh/73765596,3.9,2026-04-20,MIT,5,,,2026-05-03T19:10:13+00:00
chronotope/chrono,gh/18210201,5.3,2026-04-20,non-standard,188,,,2026-05-03T19:10:13+00:00
chronotope/humantime,gh/59320323,,,Apache-2.0,18,,,2026-05-03T19:10:14+00:00
clap-rs/clap,gh/31315121,5.5,2026-04-20,Apache-2.0,425,,,2026-05-03T19:10:16+00:00
cloudflare/cloudflare-python,gh/753271547,,,Apache-2.0,23,,,2026-05-03T19:10:14+00:00
colinhacks/zod,gh/245704608,4.9,2026-04-20,MIT,98,,,2026-05-03T19:10:16+00:00
colorjs/color-name,gh/27038309,2.5,2026-04-20,MIT,0,,,2026-05-03T19:10:16+00:00
comex/rust-shlex,gh/37886228,3.6,2026-04-20,non-standard,5,,,2026-05-03T19:10:16+00:00
component/escape-html,gh/5444800,2,2026-04-20,MIT,2,,,2026-05-03T19:10:17+00:00
component/toidentifier,gh/114743189,2.8,2026-04-20,MIT,1,,,2026-05-03T19:10:17+00:00
composefs/tar-rs,gh/21946092,,,Apache-2.0,135,,,2026-07-05T23:23:02+00:00
conventional-changelog/commitlint,gh/51575745,5.9,2026-04-20,MIT,166,,,2026-05-03T19:10:18+00:00
conventional-changelog/conventional-changelog,gh/15639771,4.7,2026-04-20,non-standard,249,,,2026-05-03T19:10:18+00:00
cosmiconfig/cosmiconfig,gh/45750507,5.4,2026-04-20,MIT,16,,,2026-05-03T19:10:17+00:00
coveragepy/coveragepy,gh/138421996,,,Apache-2.0,273,,,2026-05-03T19:10:17+00:00
cpburnz/python-pathspec,gh/14648551,,,non-standard,2,,,2026-05-03T19:10:18+00:00
cpython-team/python3-defaults,gl/debian-27547,,,,,,,2026-07-06T11:07:54+00:00
crate-py/rpds,gh/608018848,,,MIT,5,,,2026-05-17T23:42:53+00:00
criterion-rs/criterion.rs,gh/1081104682,,,Apache-2.0,26,,,2026-05-03T19:10:18+00:00
crossbeam-rs/crossbeam,gh/35566048,5.5,2026-04-20,Apache-2.0,155,,,2026-05-03T19:10:18+00:00
crypto-browserify/randombytes,gh/29300004,3.5,2026-04-20,MIT,8,,,2026-05-03T19:10:19+00:00
css-modules/icss-utils,gh/42766912,2.1,2026-04-20,non-standard,18,,,2026-05-03T19:10:19+00:00
cssnano/cssnano,gh/33943153,7.2,2026-04-20,MIT,105,,,2026-05-03T19:10:20+00:00
csstools/postcss-plugins,gh/219192307,7,2026-04-20,non-standard,11,,,2026-05-03T19:10:30+00:00
csstree/csstree,gh/67236461,4.6,2026-04-20,MIT,64,,,2026-05-03T19:10:19+00:00
curl/curl,gh/569041,8.7,2026-05-04,non-standard,38,gold,300,2026-05-17T23:42:51+00:00
cuviper/autocfg,gh/135481335,3.1,2026-04-20,Apache-2.0,16,,,2026-05-03T19:10:20+00:00
cyan4973/xxhash,gh/19330466,6.8,2026-04-20,non-standard,31,,,2026-05-03T19:10:20+00:00
daaku/nodejs-makeerror,gh/2097803,1.9,2026-04-20,non-standard,0,,,2026-05-03T19:10:20+00:00
daaku/nodejs-tmpl,gh/2171213,2.2,2026-04-20,non-standard,0,,,2026-05-03T19:10:21+00:00
