repo,repo_id,packages_queried,fetched_at
blakeembrey/change-case,9440238,"npm:no-case,npm:lower-case,npm:camel-case,npm:param-case,npm:dot-case,npm:pascal-case,npm:upper-case,npm:snake-case,npm:change-case,npm:upper-case-first,npm:constant-case,npm:title-case,npm:sentence-case,npm:path-case,npm:header-case,npm:swap-case,npm:capital-case,npm:is-lower-case,npm:is-upper-case,npm:lower-case-first,npm:sponge-case",2026-05-18T01:12:12+00:00
bluss/bencher,65987276,crates.io:bencher,2026-05-18T01:11:52+00:00
bminor/glibc,13868694,Debian:glibc,2026-06-28T17:39:45+00:00
boto/boto3,24774658,PyPI:boto3,2026-05-18T01:11:53+00:00
boto/botocore,6670942,PyPI:botocore,2026-05-18T01:11:54+00:00
boto/s3transfer,49535299,PyPI:s3transfer,2026-05-18T01:11:54+00:00
braveg1rl/performance-now,336187529,npm:performance-now,2026-05-18T01:11:55+00:00
brianc/node-postgres,991475,"npm:pg-protocol,npm:pg-connection-string,npm:pg-pool,npm:pg,npm:pg-cloudflare",2026-05-18T01:11:59+00:00
brianloveswords/node-jwa,8116861,npm:jwa,2026-05-03T18:56:00+00:00
broofa/mime,534940,npm:mime,2026-05-18T01:11:56+00:00
broofa/node-int64,1208666,npm:node-int64,2026-05-03T18:56:01+00:00
browserify/events,1649251,npm:events,2026-05-18T01:11:57+00:00
browserify/node-util,14568009,npm:util,2026-05-18T01:11:57+00:00
browserify/randombytes,29300004,npm:randombytes,2026-05-18T01:11:58+00:00
browserify/resolve,1915099,npm:resolve,2026-05-18T01:11:58+00:00
browserslist/browserslist,27971466,npm:browserslist,2026-05-18T01:11:59+00:00
browserslist/caniuse-lite,80221890,npm:caniuse-lite,2026-05-18T01:12:00+00:00
browserslist/update-db,505548145,npm:update-browserslist-db,2026-05-18T01:11:59+00:00
burntsushi/aho-corasick,37290678,crates.io:aho-corasick,2026-05-18T01:12:00+00:00
burntsushi/jiff,759017108,"crates.io:jiff,crates.io:jiff-tzdb,crates.io:jiff-static,crates.io:jiff-tzdb-platform,crates.io:jiff-icu",2026-05-18T01:12:04+00:00
burntsushi/memchr,37290652,crates.io:memchr,2026-05-18T01:12:00+00:00
burntsushi/quickcheck,17559913,"crates.io:quickcheck,crates.io:quickcheck_macros",2026-05-18T01:12:02+00:00
burntsushi/same-file,78375612,crates.io:same-file,2026-05-18T01:12:01+00:00
burntsushi/termcolor,141345580,crates.io:termcolor,2026-05-18T01:12:01+00:00
burntsushi/ucd-generate,123997498,"crates.io:ucd-trie,crates.io:ucd-parse,crates.io:ucd-util",2026-05-18T01:12:04+00:00
burntsushi/walkdir,42685794,crates.io:walkdir,2026-05-18T01:12:02+00:00
burntsushi/winapi-util,146040682,crates.io:winapi-util,2026-05-18T01:12:02+00:00
businho/pytest-ruff,599731435,PyPI:pytest-ruff,2026-05-18T01:12:03+00:00
bytecodealliance/rustix,295544240,crates.io:rustix,2026-05-18T01:12:03+00:00
