spdx_id,spdx_id_canonical,name,source,is_deprecated,reference,osi_url,fetched_at
bsd-3-clause-lbnl,BSD-3-Clause-LBNL,Lawrence Berkeley National Labs BSD variant license,osi,False,https://spdx.org/licenses/BSD-3-Clause-LBNL.html,,2026-07-06T15:43:02Z
bsd-3-clause-open-mpi,BSD-3-Clause-Open-MPI,BSD 3-Clause Open MPI variant,osi,False,https://spdx.org/licenses/BSD-3-Clause-Open-MPI.html,,2026-07-06T15:43:02Z
bsd-4-clause,BSD-4-Clause,"BSD 4-Clause ""Original"" or ""Old"" License",fsf,False,https://spdx.org/licenses/BSD-4-Clause.html,,2026-07-06T15:43:02Z
bsl-1.0,BSL-1.0,Boost Software License 1.0,osi,False,https://spdx.org/licenses/BSL-1.0.html,https://opensource.org/license/BSL-1.0,2026-07-06T15:43:02Z
cal-1.0,CAL-1.0,Cryptographic Autonomy License 1.0,osi,False,https://spdx.org/licenses/CAL-1.0.html,https://opensource.org/license/CAL-1.0,2026-07-06T15:43:02Z
cal-1.0-combined-work-exception,CAL-1.0-Combined-Work-Exception,Cryptographic Autonomy License 1.0 (Combined Work Exception),osi,False,https://spdx.org/licenses/CAL-1.0-Combined-Work-Exception.html,https://opensource.org/license/CAL-1.0,2026-07-06T15:43:02Z
catosl-1.1,CATOSL-1.1,Computer Associates Trusted Open Source License 1.1,osi,False,https://spdx.org/licenses/CATOSL-1.1.html,https://opensource.org/license/CATOSL-1.1,2026-07-06T15:43:02Z
cddl-1.0,CDDL-1.0,Common Development and Distribution License 1.0,osi,False,https://spdx.org/licenses/CDDL-1.0.html,https://opensource.org/license/CDDL-1.0,2026-07-06T15:43:02Z
cddl-1.1,CDDL-1.1,Common Development and Distribution License 1.1,osi,False,https://spdx.org/licenses/CDDL-1.1.html,,2026-07-06T15:43:02Z
cecill-2.0,CECILL-2.0,CeCILL Free Software License Agreement v2.0,fsf,False,https://spdx.org/licenses/CECILL-2.0.html,,2026-07-06T15:43:02Z
cecill-2.1,CECILL-2.1,CeCILL Free Software License Agreement v2.1,osi,False,https://spdx.org/licenses/CECILL-2.1.html,,2026-07-06T15:43:02Z
cecill-b,CECILL-B,CeCILL-B Free Software License Agreement,fsf,False,https://spdx.org/licenses/CECILL-B.html,,2026-07-06T15:43:02Z
cecill-c,CECILL-C,CeCILL-C Free Software License Agreement,fsf,False,https://spdx.org/licenses/CECILL-C.html,,2026-07-06T15:43:02Z
cern-ohl-p-2.0,CERN-OHL-P-2.0,CERN Open Hardware Licence Version 2 - Permissive,osi,False,https://spdx.org/licenses/CERN-OHL-P-2.0.html,,2026-07-06T15:43:02Z
cern-ohl-s-2.0,CERN-OHL-S-2.0,CERN Open Hardware Licence Version 2 - Strongly Reciprocal,osi,False,https://spdx.org/licenses/CERN-OHL-S-2.0.html,,2026-07-06T15:43:02Z
