repo,files,loc,uloc,complexity,complexity_density,cocomo_months,cocomo_people,cocomo_cost,fetched_at
gjtool/pdfh5,33,5085,4424,797,15.7,13.2,2.0,62092,2026-03-12T17:30:11Z
requests/toolbelt,65,5075,3972,323,6.4,13.2,2.0,61964,2026-04-27T14:02:28Z
yargs/yargs-parser,15,5063,3118,464,9.2,13.2,2.0,61810,2026-04-27T14:02:28Z
contextlab/hypertools,111,5060,4598,539,10.7,13.2,2.0,61772,2026-03-12T21:53:44Z
glotlabs/gdrive,48,5055,2700,368,7.3,13.2,2.0,61707,2026-03-12T21:05:25Z
siduck/chadwm,21,5042,3951,1403,27.8,13.1,2.0,61541,2026-03-12T23:06:08Z
iliane5/meridian,69,5034,4144,448,8.9,13.1,2.0,61438,2026-03-12T21:05:25Z
reorg/pg_repack,9,5034,3827,964,19.1,13.1,2.0,61438,2026-03-12T21:05:25Z
lrsjng/h5ai,75,5026,3430,580,11.5,13.1,2.0,61336,2026-03-12T17:29:19Z
bitflags/bitflags,98,5016,2944,172,3.4,13.0,2.0,61208,2026-04-27T14:02:28Z
kilian/electron-to-chromium,8,5006,4478,15,0.3,13.0,2.0,61080,2026-04-27T14:02:28Z
