repo,analyzed_through_year,commits_5y_examined,churn_5y_added,churn_5y_deleted,churn_5y_total,churn_files_count,top_file_path,top_file_churn,elapsed_s,fetched_at
conventional-changelog/conventional-changelog,2025,393,45333,37783,83116,371,packages/conventional-changelog-core/test/index.spec.js,5254,3.2,2026-05-03T17:22:01Z
rustcrypto/traits,2025,1252,43975,36703,80678,174,elliptic-curve/src/jwk.rs,1976,3.5,2026-05-03T17:22:01Z
tokio-rs/tracing,2025,739,54847,25617,80464,262,tracing-subscriber/src/filter/layer_filters.rs,3226,3.1,2026-05-03T17:22:01Z
eemeli/yaml,2025,583,38973,40947,79920,304,tests/cst/YAML-1.2.spec.js,3608,5.3,2026-05-03T17:22:01Z
python-cffi/cffi,2025,182,37621,35945,73566,170,src/c/_cffi_backend.c,9232,45.0,2026-05-03T17:22:01Z
krb5/krb5,2025,406,31070,41269,72339,747,src/plugins/preauth/pkinit/pkinit_crypto_openssl.c,4985,39.3,2026-05-03T17:22:01Z
mitsuhiko/insta,2025,624,44900,27189,72089,112,cargo-insta/tests/main.rs,5644,4.4,2026-05-03T17:22:01Z
sinclairzx81/sinclair-typebox,2025,8,71977,17,71994,989,src/syntax/parser.ts,1686,1.0,2026-05-03T17:22:01Z
gnome/pango,2025,1297,46519,25090,71609,182,pango/pango-layout.c,8051,22.3,2026-05-03T17:22:01Z
rust-random/rand,2025,574,33353,38207,71560,165,src/distributions/uniform.rs,3272,2.4,2026-05-03T17:22:01Z
jaredwray/cacheable,2025,1425,44220,27098,71318,199,packages/cacheable/test/index.test.ts,3445,4.6,2026-05-03T17:22:01Z
nodejs/readable-stream,2025,38,40990,29438,70428,405,lib/internal/streams/readable.js,1956,2.0,2026-05-03T17:22:01Z
pallets/werkzeug,2025,781,34512,34049,68561,143,src/werkzeug/datastructures.py,4268,7.8,2026-05-03T17:22:01Z
sval-rs/sval,2025,171,43377,24004,67381,153,buffer/src/value.rs,6002,1.7,2026-05-03T17:22:01Z
babel/babel-polyfills,2025,229,54381,12400,66781,724,.yarn/releases/yarn-3.6.1.cjs,3496,5.3,2026-05-03T17:22:01Z
jamesmunns/postcard,2025,234,41634,24974,66608,122,src/ser/mod.rs,3157,1.2,2026-05-03T17:22:01Z
googleapis/google-auth-library-python,2025,617,50389,15592,65981,175,tests/test_aws.py,5964,2.9,2026-05-03T17:22:01Z
knurling-rs/defmt,2025,1310,37157,28778,65935,244,decoder/src/lib.rs,6977,1.9,2026-05-03T17:22:01Z
fsspec/filesystem_spec,2025,1109,42227,23605,65832,116,versioneer.py,4107,3.9,2026-05-03T17:22:01Z
pyparsing/pyparsing,2025,933,35438,29267,64705,166,tests/test_unit.py,11466,16.8,2026-05-03T17:22:01Z
cyan4973/xxhash,2025,555,56319,5977,62296,40,tests/sanity_test_vectors.h,45832,6.6,2026-05-03T17:22:01Z
assert-rs/snapbox,2025,1045,35817,23456,59273,107,src/runner.rs,5434,1.5,2026-05-03T17:22:01Z
gnutls/nettle,2025,579,40063,19084,59147,584,testsuite/shake128-test.c,1348,16.4,2026-05-03T17:22:01Z
jaredwray/keyv,2025,1654,37140,21875,59015,202,packages/website/site/_includes/assets/css/highlight/highlight.min.js,2866,2.2,2026-05-03T17:22:01Z
dateutil/dateutil,2025,66,29538,29459,58997,86,src/dateutil/test/test_rrule.py,9828,3.7,2026-05-03T17:22:01Z
nicolo-ribaudo/babel-preset-current-node-syntax,2025,15,11980,46805,58785,8,.yarn/plugins/@yarnpkg/plugin-version.js,34800,2.1,2026-05-03T17:22:01Z
python-jsonschema/jsonschema,2025,930,10718,47296,58014,47,jsonschema/tests/test_validators.py,11898,2.9,2026-05-03T17:22:01Z
cssnano/cssnano,2025,541,30652,26335,56987,525,packages/postcss-merge-longhand/test/borders.js,1338,26.7,2026-05-03T17:22:01Z
python-greenlet/greenlet,2025,536,32050,23073,55123,88,src/greenlet/greenlet.cpp,21707,2.5,2026-05-03T17:22:01Z
agronholm/anyio,2025,814,36331,18107,54438,87,src/anyio/_backends/_asyncio.py,8019,4.0,2026-05-03T17:22:01Z
libuv/libuv,2025,852,31466,22940,54406,329,src/unix/linux.c,4955,8.3,2026-05-03T17:22:01Z
python/typing,2025,452,26344,27016,53360,174,typing_extensions/src/typing_extensions.py,6664,2.2,2026-05-03T17:22:01Z
sindresorhus/type-fest,2025,747,40742,11188,51930,461,source/internal.d.ts,1882,3.4,2026-05-03T17:22:01Z
rust-lang/cc-rs,2025,651,28981,21067,50048,123,src/target/generated.rs,12578,2.9,2026-05-03T17:22:01Z
cpburnz/python-pathspec,2025,159,30954,18179,49133,130,tests/test_03_pathspec.py,3396,2.1,2026-05-03T17:22:01Z
aio-libs/aiobotocore,2025,340,30641,18396,49037,127,tests/test_patches.py,4046,7.8,2026-05-03T17:22:01Z
isaacs/minimatch,2025,176,34331,13578,47909,40,tap-snapshots/test/optimization-level-2.ts.test.cjs,13653,1.4,2026-05-03T17:22:01Z
isaacs/node-tar,2025,182,20453,27098,47551,231,test/unpack.js,4434,8.1,2026-05-03T17:22:01Z
p11-glue/p11-kit,2025,368,31013,16296,47309,183,p11-kit/virtual.c,4944,2.8,2026-05-03T17:22:01Z
pest-parser/pest,2025,225,32130,14855,46985,75,pest/src/unicode/script.rs,21510,2.9,2026-05-03T17:22:01Z
eslint/rewrite,2025,335,36999,9725,46724,142,packages/config-array/tests/config-array.test.js,10763,18.6,2026-05-03T17:22:01Z
textualize/rich,2025,1993,29744,15882,45626,198,rich/console.py,3480,39.1,2026-05-03T17:22:01Z
remusao/tldts,2025,1492,22502,21744,44246,61,packages/tldts-tests/src/tldts-tests.ts,40780,9.4,2026-05-03T17:22:01Z
exodusoss/bytes,2025,714,30530,13039,43569,273,fallback/multi-byte.js,1864,20.8,2026-05-03T17:22:01Z
linux-audit/audit-userspace,2025,1114,28846,14681,43527,247,auparse/test/auparse_test.ref.py,2782,3.1,2026-05-03T17:22:01Z
tukaani-project/xz,2025,1706,30748,12402,43150,262,src/liblzma/common/stream_decoder_mt.c,2464,8.7,2026-05-03T17:22:01Z
yargs/yargs,2025,191,23614,19526,43140,137,test/usage.cjs,5837,2.1,2026-05-03T17:22:01Z
aws/aws-cli,2025,3073,27360,15482,42842,351,doc/source/conf.py,2537,236.6,2026-05-03T17:22:01Z
inikulin/parse5,2025,1101,22323,20128,42451,122,packages/parse5/lib/parser/index.ts,6165,7.5,2026-05-03T17:22:01Z
salesforce/tough-cookie,2025,221,23103,18914,42017,86,lib/cookie.ts,7595,4.0,2026-05-03T17:22:01Z
rust-cli/anstyle,2025,842,25584,16051,41635,113,crates/anstyle-parse/tests/testsuite.rs,2525,1.2,2026-05-03T17:22:01Z
