github_repo,metric,2021,2022,2023,2024,2025,2021-2025
lvgl/lvgl,commits,1577,888,938,1108,1287,5798
lvgl/lvgl,first_date,2021-01-03,2022-01-02,2023-01-01,2024-01-07,2025-01-05,2021-01-03
lvgl/lvgl,last_date,2022-01-01,2022-12-24,2024-01-06,2025-01-04,2026-01-03,2026-01-03
glfw/glfw,bus_factor,1,1,1,1,1,1
glfw/glfw,hhi,7839,9715,6128,8165,6198,8173
glfw/glfw,contributors,17,3,10,9,3,34
glfw/glfw,bots,0,0,0,0,0,0
glfw/glfw,commits,191,208,67,133,33,632
glfw/glfw,first_date,2021-01-03,2022-01-02,2023-01-08,2024-01-07,2025-01-12,2021-01-03
glfw/glfw,last_date,2022-01-01,2022-12-31,2024-01-06,2024-07-27,2025-12-06,2025-12-06
lizongying/my-tv,bus_factor,,,1,1,,1
lizongying/my-tv,hhi,,,10000,4906,,6205
lizongying/my-tv,contributors,0,0,1,9,0,9
lizongying/my-tv,bots,0,0,0,0,0,0
lizongying/my-tv,commits,0,0,49,100,0,149
lizongying/my-tv,first_date,,,2023-12-03,2024-01-07,,2023-12-03
lizongying/my-tv,last_date,,,2024-01-06,2024-06-01,,2024-06-01
espressif/esp-idf,bus_factor,8,10,14,16,15,16
espressif/esp-idf,hhi,442,371,266,229,242,234
espressif/esp-idf,contributors,62,71,83,85,81,96
espressif/esp-idf,bots,0,0,0,0,0,0
espressif/esp-idf,commits,3983,5340,5837,6472,5827,27459
espressif/esp-idf,first_date,2021-01-03,2022-01-02,2023-01-01,2024-01-07,2025-01-05,2021-01-03
espressif/esp-idf,last_date,2022-01-01,2022-12-31,2024-01-06,2025-01-04,2026-01-03,2026-01-03
rofl0r/proxychains-ng,bus_factor,1,1,1,1,1,1
rofl0r/proxychains-ng,hhi,7963,4044,5510,6800,5556,5712
rofl0r/proxychains-ng,contributors,3,5,3,2,2,10
rofl0r/proxychains-ng,bots,0,0,0,0,0,0
rofl0r/proxychains-ng,commits,18,15,7,5,3,48
rofl0r/proxychains-ng,first_date,2021-01-03,2022-01-09,2023-03-05,2024-01-21,2025-10-12,2021-01-03
rofl0r/proxychains-ng,last_date,2021-12-18,2022-12-10,2024-01-06,2025-01-04,2025-12-27,2025-12-27
xiaojieonly/ehviewer_cn_sxj,bus_factor,1,1,1,1,1,1
xiaojieonly/ehviewer_cn_sxj,hhi,10000,9263,9086,8751,7719,8899
xiaojieonly/ehviewer_cn_sxj,contributors,1,5,4,5,7,16
xiaojieonly/ehviewer_cn_sxj,bots,0,0,0,0,0,0
xiaojieonly/ehviewer_cn_sxj,commits,122,106,127,244,121,720
xiaojieonly/ehviewer_cn_sxj,first_date,2021-01-03,2022-01-02,2023-01-01,2024-01-07,2025-01-05,2021-01-03
xiaojieonly/ehviewer_cn_sxj,last_date,2022-01-01,2022-12-31,2024-01-06,2025-01-04,2026-01-03,2026-01-03
spacehuhntech/esp8266_deauther,bus_factor,2,1,,,,3
spacehuhntech/esp8266_deauther,hhi,3333,5000,,,,2000
spacehuhntech/esp8266_deauther,contributors,3,2,0,0,0,5
spacehuhntech/esp8266_deauther,bots,0,0,0,0,0,0
spacehuhntech/esp8266_deauther,commits,3,2,0,0,0,5
