repo,repo_id,year,metric,value
alexhuszagh/rust-lexical,155286170,2023,opened_issues,12
alexhuszagh/rust-lexical,155286170,2024,closed_issues,37
alexhuszagh/rust-lexical,155286170,2024,opened_issues,27
alexhuszagh/rust-lexical,155286170,2025,closed_issues,7
alexhuszagh/rust-lexical,155286170,2025,opened_issues,10
alexindigo/asynckit,59087459,2021,closed_issues,0
alexindigo/asynckit,59087459,2021,opened_issues,0
alexindigo/asynckit,59087459,2022,closed_issues,0
alexindigo/asynckit,59087459,2022,opened_issues,0
alexindigo/asynckit,59087459,2023,closed_issues,0
alexindigo/asynckit,59087459,2023,opened_issues,0
alexindigo/asynckit,59087459,2024,closed_issues,0
alexindigo/asynckit,59087459,2024,opened_issues,0
alexindigo/asynckit,59087459,2025,closed_issues,1
alexindigo/asynckit,59087459,2025,opened_issues,2
amanieu/parking_lot,58731560,2021,closed_issues,13
amanieu/parking_lot,58731560,2021,opened_issues,22
amanieu/parking_lot,58731560,2022,closed_issues,18
amanieu/parking_lot,58731560,2022,opened_issues,23
amanieu/parking_lot,58731560,2023,closed_issues,14
amanieu/parking_lot,58731560,2023,opened_issues,20
amanieu/parking_lot,58731560,2024,closed_issues,9
amanieu/parking_lot,58731560,2024,opened_issues,20
amanieu/parking_lot,58731560,2025,closed_issues,12
amanieu/parking_lot,58731560,2025,opened_issues,19
ampproject/remapping,,2021,closed_issues,5
ampproject/remapping,,2021,opened_issues,5
ampproject/remapping,,2022,closed_issues,8
ampproject/remapping,,2022,opened_issues,8
ampproject/remapping,,2023,closed_issues,1
ampproject/remapping,,2023,opened_issues,2
ampproject/remapping,,2024,closed_issues,4
ampproject/remapping,,2024,opened_issues,4
ampproject/remapping,,2025,closed_issues,4
ampproject/remapping,,2025,opened_issues,2
andialbrecht/sqlparse,4067434,2021,closed_issues,4
andialbrecht/sqlparse,4067434,2021,opened_issues,34
andialbrecht/sqlparse,4067434,2022,closed_issues,14
andialbrecht/sqlparse,4067434,2022,opened_issues,30
andialbrecht/sqlparse,4067434,2023,closed_issues,11
andialbrecht/sqlparse,4067434,2023,opened_issues,38
andialbrecht/sqlparse,4067434,2024,closed_issues,20
andialbrecht/sqlparse,4067434,2024,opened_issues,24
andialbrecht/sqlparse,4067434,2025,closed_issues,10
andialbrecht/sqlparse,4067434,2025,opened_issues,14
andrewrk/node-pend,11836813,2021,closed_issues,0
andrewrk/node-pend,11836813,2021,opened_issues,0
andrewrk/node-pend,11836813,2022,closed_issues,0
andrewrk/node-pend,11836813,2022,opened_issues,0
andrewrk/node-pend,11836813,2023,closed_issues,0
andrewrk/node-pend,11836813,2023,opened_issues,0
andrewrk/node-pend,11836813,2024,closed_issues,0
andrewrk/node-pend,11836813,2024,opened_issues,0
andrewrk/node-pend,11836813,2025,closed_issues,0
andrewrk/node-pend,11836813,2025,opened_issues,0
andyperlitch/jsbn,9710533,2021,closed_issues,0
andyperlitch/jsbn,9710533,2021,opened_issues,2
andyperlitch/jsbn,9710533,2022,closed_issues,1
andyperlitch/jsbn,9710533,2022,opened_issues,1
andyperlitch/jsbn,9710533,2023,closed_issues,0
andyperlitch/jsbn,9710533,2023,opened_issues,0
andyperlitch/jsbn,9710533,2024,closed_issues,0
andyperlitch/jsbn,9710533,2024,opened_issues,0
andyperlitch/jsbn,9710533,2025,closed_issues,0
andyperlitch/jsbn,9710533,2025,opened_issues,1
angular/angular-cli,,2021,closed_issues,1136
angular/angular-cli,,2021,opened_issues,1038
angular/angular-cli,,2022,closed_issues,677
angular/angular-cli,,2022,opened_issues,612
angular/angular-cli,,2023,closed_issues,782
angular/angular-cli,,2023,opened_issues,814
angular/angular-cli,,2024,closed_issues,782
angular/angular-cli,,2024,opened_issues,826
angular/angular-cli,,2025,closed_issues,707
angular/angular-cli,,2025,opened_issues,676
annotated-types/annotated-types,487934134,2021,closed_issues,0
annotated-types/annotated-types,487934134,2021,opened_issues,0
annotated-types/annotated-types,487934134,2022,closed_issues,9
annotated-types/annotated-types,487934134,2022,opened_issues,9
annotated-types/annotated-types,487934134,2023,closed_issues,6
annotated-types/annotated-types,487934134,2023,opened_issues,12
annotated-types/annotated-types,487934134,2024,closed_issues,14
annotated-types/annotated-types,487934134,2024,opened_issues,13
annotated-types/annotated-types,487934134,2025,closed_issues,3
annotated-types/annotated-types,487934134,2025,opened_issues,6
antonk52/lilconfig,238967485,2021,closed_issues,1
antonk52/lilconfig,238967485,2021,opened_issues,1
antonk52/lilconfig,238967485,2022,closed_issues,5
antonk52/lilconfig,238967485,2022,opened_issues,6
antonk52/lilconfig,238967485,2023,closed_issues,2
antonk52/lilconfig,238967485,2023,opened_issues,3
antonk52/lilconfig,238967485,2024,closed_issues,3
antonk52/lilconfig,238967485,2024,opened_issues,3
antonk52/lilconfig,238967485,2025,closed_issues,1
antonk52/lilconfig,238967485,2025,opened_issues,2
apache/airflow,33884891,2021,closed_issues,2103
apache/airflow,33884891,2021,opened_issues,2154
apache/airflow,33884891,2022,closed_issues,2008
apache/airflow,33884891,2022,opened_issues,1931
apache/airflow,33884891,2023,closed_issues,1767
apache/airflow,33884891,2023,opened_issues,1796
apache/airflow,33884891,2024,closed_issues,1628
apache/airflow,33884891,2024,opened_issues,1935
apache/airflow,33884891,2025,closed_issues,2717
apache/airflow,33884891,2025,opened_issues,3074
apache/arrow,51905353,2021,closed_issues,3697
apache/arrow,51905353,2021,opened_issues,4231
apache/arrow,51905353,2022,closed_issues,2927
apache/arrow,51905353,2022,opened_issues,3576
apache/arrow,51905353,2023,closed_issues,2541
apache/arrow,51905353,2023,opened_issues,3207
apache/arrow,51905353,2024,closed_issues,1963
apache/arrow,51905353,2024,opened_issues,2434
apache/arrow,51905353,2025,closed_issues,1951
apache/arrow,51905353,2025,opened_issues,1832
apache/arrow-rs,358917250,2021,closed_issues,265
apache/arrow-rs,358917250,2021,opened_issues,537
apache/arrow-rs,358917250,2022,closed_issues,919
apache/arrow-rs,358917250,2022,opened_issues,901
apache/arrow-rs,358917250,2023,closed_issues,579
apache/arrow-rs,358917250,2023,opened_issues,563
apache/arrow-rs,358917250,2024,closed_issues,484
apache/arrow-rs,358917250,2024,opened_issues,563
apache/arrow-rs,358917250,2025,closed_issues,602
apache/arrow-rs,358917250,2025,opened_issues,768
arcanis/jest-pnp-resolver,,2021,closed_issues,0
arcanis/jest-pnp-resolver,,2021,opened_issues,0
arcanis/jest-pnp-resolver,,2022,closed_issues,0
arcanis/jest-pnp-resolver,,2022,opened_issues,0
arcanis/jest-pnp-resolver,,2023,closed_issues,0
arcanis/jest-pnp-resolver,,2023,opened_issues,0
arcanis/jest-pnp-resolver,,2024,closed_issues,0
arcanis/jest-pnp-resolver,,2024,opened_issues,1
arcanis/jest-pnp-resolver,,2025,closed_issues,0
arcanis/jest-pnp-resolver,,2025,opened_issues,0
archlinux/linux,142707813,2021,closed_issues,0
archlinux/linux,142707813,2021,opened_issues,0
archlinux/linux,142707813,2022,closed_issues,0
archlinux/linux,142707813,2022,opened_issues,0
archlinux/linux,142707813,2023,closed_issues,0
archlinux/linux,142707813,2023,opened_issues,0
archlinux/linux,142707813,2024,closed_issues,0
archlinux/linux,142707813,2024,opened_issues,0
archlinux/linux,142707813,2025,closed_issues,0
archlinux/linux,142707813,2025,opened_issues,0
ardatan/graphql-tools,54432168,2021,closed_issues,194
ardatan/graphql-tools,54432168,2021,opened_issues,197
ardatan/graphql-tools,54432168,2022,closed_issues,65
ardatan/graphql-tools,54432168,2022,opened_issues,126
ardatan/graphql-tools,54432168,2023,closed_issues,57
ardatan/graphql-tools,54432168,2023,opened_issues,67
ardatan/graphql-tools,54432168,2024,closed_issues,41
ardatan/graphql-tools,54432168,2024,opened_issues,64
ardatan/graphql-tools,54432168,2025,closed_issues,28
ardatan/graphql-tools,54432168,2025,opened_issues,30
ardatan/whatwg-node,429511342,2021,closed_issues,0
ardatan/whatwg-node,429511342,2021,opened_issues,1
ardatan/whatwg-node,429511342,2022,closed_issues,10
ardatan/whatwg-node,429511342,2022,opened_issues,12
ardatan/whatwg-node,429511342,2023,closed_issues,26
ardatan/whatwg-node,429511342,2023,opened_issues,32
ardatan/whatwg-node,429511342,2024,closed_issues,16
ardatan/whatwg-node,429511342,2024,opened_issues,15
ardatan/whatwg-node,429511342,2025,closed_issues,14
ardatan/whatwg-node,429511342,2025,opened_issues,15
arekinath/node-getpass,,2021,closed_issues,0
arekinath/node-getpass,,2021,opened_issues,0
arekinath/node-getpass,,2022,closed_issues,0
arekinath/node-getpass,,2022,opened_issues,0
arekinath/node-getpass,,2023,closed_issues,0
arekinath/node-getpass,,2023,opened_issues,0
arekinath/node-getpass,,2024,closed_issues,0
arekinath/node-getpass,,2024,opened_issues,1
arekinath/node-getpass,,2025,closed_issues,0
arekinath/node-getpass,,2025,opened_issues,0
ariaminaei/utila,,2021,closed_issues,0
ariaminaei/utila,,2021,opened_issues,0
ariaminaei/utila,,2022,closed_issues,0
ariaminaei/utila,,2022,opened_issues,0
ariaminaei/utila,,2023,closed_issues,0
ariaminaei/utila,,2023,opened_issues,0
ariaminaei/utila,,2024,closed_issues,0
ariaminaei/utila,,2024,opened_issues,0
ariaminaei/utila,,2025,closed_issues,0
ariaminaei/utila,,2025,opened_issues,0
assert-rs/snapbox,424722460,2021,closed_issues,14
assert-rs/snapbox,424722460,2021,opened_issues,21
assert-rs/snapbox,424722460,2022,closed_issues,19
assert-rs/snapbox,424722460,2022,opened_issues,39
assert-rs/snapbox,424722460,2023,closed_issues,15
assert-rs/snapbox,424722460,2023,opened_issues,24
assert-rs/snapbox,424722460,2024,closed_issues,22
