repo,files,loc,uloc,complexity,complexity_density,cocomo_months,cocomo_people,cocomo_cost,fetched_at
maryrosecook/gitlet,20,4183,2662,242,5.8,10.8,1.7,50582,2026-03-12T21:05:25Z
gencay/vscode-chatgpt,13,4157,3274,407,9.8,10.7,1.7,50252,2026-03-12T17:40:22Z
huangserva/skill-prompt-generator,10,4153,2946,150,3.6,10.7,1.7,50201,2026-03-12T21:05:25Z
google/google-authenticator-libpam,14,4135,2943,735,17.8,10.7,1.7,49972,2026-03-12T21:05:25Z
hacksider/deep-live-cam,30,4079,3652,897,22.0,10.5,1.7,49262,2026-03-12T21:05:25Z
anishathalye/dotbot,41,4056,2255,381,9.4,10.4,1.7,48970,2026-03-12T21:05:25Z
wang-rui/phishguard-scaffold,21,4050,3674,607,15.0,10.4,1.7,48894,2026-03-12T17:28:05Z
midudev/jscamp,126,3967,1734,184,4.6,10.2,1.7,47843,2026-03-12T21:05:25Z
alfiopuglisi/guietta,75,3966,2635,183,4.6,10.2,1.7,47830,2026-03-12T17:40:22Z
django-waffle/django-waffle,51,3941,2600,274,7.0,10.1,1.7,47514,2026-03-12T17:40:22Z
clemcer/loggifly,18,3928,3387,700,17.8,10.1,1.7,47349,2026-03-12T21:05:25Z
prat011/free-cluely,33,3921,2666,275,7.0,10.1,1.7,47260,2026-03-12T21:05:25Z
bombela/backward-cpp,12,3839,3145,763,19.9,9.9,1.7,46223,2026-03-12T17:30:11Z
mapbox/node-pre-gyp,62,3838,2565,483,12.6,9.9,1.7,46210,2026-03-12T21:05:25Z
lemmingdev/esp32-ble-gamepad,32,3834,2442,429,11.2,9.8,1.7,46160,2026-03-12T17:28:05Z
uber/h3-py,32,3780,2466,177,4.7,9.7,1.6,45478,2026-03-12T17:40:22Z
artsy/fresnel,44,3757,2453,459,12.2,9.6,1.6,45187,2026-03-12T21:53:44Z
cryptozombieshq/cryptozombie-lessons,17,3662,942,0,0.0,9.4,1.6,43988,2026-03-12T17:29:19Z
wojtekmaj/react-date-picker,38,3650,2328,230,6.3,9.3,1.6,43837,2026-03-12T21:05:25Z
stripe-archive/react-stripe-elements,26,3645,1801,165,4.5,9.3,1.6,43774,2026-03-12T21:05:25Z
nlpxucan/wizardlm,31,3642,2160,535,14.7,9.3,1.6,43736,2026-03-12T21:05:25Z
pallets-eco/flask-sqlalchemy,40,3618,2430,262,7.2,9.3,1.6,43433,2026-03-12T21:05:25Z
tbranyen/backbone.layoutmanager,19,3601,2480,155,4.3,9.2,1.6,43219,2026-03-12T21:05:25Z
wix/import-cost,88,3571,1260,141,3.9,9.1,1.6,42841,2026-03-12T22:31:48Z
sauljabin/kaskade,34,3566,2219,338,9.5,9.1,1.6,42778,2026-03-12T17:28:05Z
asabeneh/30-days-of-python,21,3477,2082,21,0.6,8.9,1.5,41658,2026-03-12T21:05:25Z
apple/ml-aim,33,3460,1763,191,5.5,8.8,1.5,41444,2026-03-12T21:05:25Z
mifi/editly,39,3445,2992,454,13.2,8.8,1.5,41255,2026-03-12T22:27:36Z
github/brubeck,42,3413,2430,465,13.6,8.7,1.5,40853,2026-03-12T21:05:25Z
wongkinyiu/scaledyolov4,14,3336,3504,885,26.5,8.5,1.5,39886,2026-03-12T21:05:25Z
electron/rebuild,40,3291,2429,810,24.6,8.4,1.5,39321,2026-03-12T23:06:08Z
