"package","github","gitlab","bitbucket","sourcehut","codeberg","custom","eco_guess"
"gir1.2-javascriptcoregtk-4.1","","","","","","",""
"gir1.2-javascriptcoregtk-6.0","","","","","","",""
"gir1.2-jcat-1.0","","","","","","",""
"gir1.2-json-1.0","","","","","","",""
"gir1.2-json-1.0-dev","","","","","","",""
"gir1.2-keybinder-3.0","","","","","","",""
"gir1.2-langtag-0.6","","","","","","",""
"gir1.2-libosinfo-1.0","","","","","","",""
"gir1.2-libvirt-glib-1.0","","","","","","",""
"gir1.2-libxfce4ui-2.0","","","","","","",""
"gir1.2-libxfce4util-1.0","","","","","","",""
"gir1.2-libxfce4util-1.0-dev","","","","","","",""
"gir1.2-libxfce4windowing-0.0","","","","","","",""
"gir1.2-libxfce4windowingui-0.0","","","","","","",""
"gir1.2-libxml2-2.0-dev","","","","","","",""
"gir1.2-lokdocview-0.1","","","","","","",""
"gir1.2-malcontent-0","","","","","","",""
"gir1.2-malcontentui-1","","","","","","",""
"gir1.2-manette-0.2","","","","","","",""
"gir1.2-matedesktop-2.0","","","","","","",""
"gir1.2-matekbd-1.0","","","","","","",""
"gir1.2-matemenu-2.0","","","","","","",""
"gir1.2-matepanelapplet-4.0","","","","","","",""
"gir1.2-mbim-1.0","","","","","","",""
"gir1.2-mediaart-2.0","","","","","","",""
"gir1.2-meta-muffin-0.0","","","","","","",""
"gir1.2-modemmanager-1.0","","","","","","",""
"gir1.2-msg-1","","","","","","",""
"gir1.2-mutter-11","","","","","","",""
"gir1.2-mutter-7","","","","","","",""
"gir1.2-mypaint-1.5","","","","","","",""
"gir1.2-nemo-3.0","","","","","","",""
"gir1.2-nice-0.1","","","","","","",""
"gir1.2-nm-1.0-dev","","","","","","",""
"gir1.2-nma-1.0","","","","","","",""
"gir1.2-nma4-1.0","","","","","","",""
"gir1.2-notify-0.7","","","","","","",""
"gir1.2-ostree-1.0","","","","","","",""
"gir1.2-panel-1","","","","","","",""
"gir1.2-pango-1.0","","","","","","",""
"gir1.2-pango-1.0-dev","","","","","","",""
"gir1.2-pangocairo-1.0","","","","","","",""
"gir1.2-pangocairo-1.0-dev","","","","","","",""
"gir1.2-peas-1.0","","","","","","",""
"gir1.2-poppler-0.18","","","","","","",""
"gir1.2-qmi-1.0","","","","","","",""
"gir1.2-qrtr-1.0","","","","","","",""
"gir1.2-rb-3.0","","","","","","",""
"gir1.2-rda-1.0","","","","","","",""
"gir1.2-rest-1.0","","","","","","",""
"gir1.2-restextras-1.0","","","","","","",""
"gir1.2-rsvg-2.0","","","","","","",""
"gir1.2-secret-1","","","","","","",""
"gir1.2-shumate-1.0","","","","","","",""
"gir1.2-snapd-2","","","","","","",""
"gir1.2-soup-2.4","","","","","","",""
"gir1.2-soup-3.0","","","","","","",""
"gir1.2-soup-3.0-dev","","","","","","",""
"gir1.2-spelling-1","","","","","","",""
"gir1.2-spiceclientglib-2.0","","","","","","",""
"gir1.2-spiceclientgtk-3.0","","","","","","",""
"gir1.2-telepathyglib-0.12-dev","","","","","","",""
"gir1.2-tepl-6","","","","","","",""
"gir1.2-totemplparser-1.0","","","","","","",""
"gir1.2-totemplparser-1.0-dev","","","","","","",""
"gir1.2-tracker-2.0","","","","","","",""
"gir1.2-tsparql-3.0","","","","","","",""
"gir1.2-udisks-2.0","","","","","","",""
"gir1.2-unity-7.0","","","","","","",""
"gir1.2-vte-2.91","","","","","","",""
"gir1.2-vte-3.91","","","","","","",""
"gir1.2-webkit-6.0","","","","","","",""
"gir1.2-webkit2-4.1","","","","","","",""
"gir1.2-webkit2-4.1-dev","","","","","","",""
"gir1.2-wnck-3.0","","","","","","",""
"gir1.2-wp-0.5","","","","","","",""
"gir1.2-xapp-1.0","","","","","","",""
"gir1.2-xdp-1.0","","","","","","",""
"gir1.2-xdpgtk3-1.0","","","","","","",""
"gir1.2-xdpgtk4-1.0","","","","","","",""
"gir1.2-xfixes-4.0","","","","","","",""
"gir1.2-xkl-1.0","","","","","","",""
"gir1.2-xlib-2.0","","","","","","",""
"gir1.2-xlib-2.0-dev","","","","","","",""
"gir1.2-xmlb-2.0","","","","","","",""
"gir1.2-zbar-1.0","","","","","","",""
"gir1.2-zeitgeist-2.0","","","","","","",""
"git","","","","","","",""
"gjs","","https://gitlab.gnome.org/gnome/gjs.git","","","","",""
"gl2ps","","","","","","",""
"glade","","","","","","",""
"glew","","","","","","",""
"glib-networking","","","","","","",""
"glib2.0","","https://gitlab.gnome.org/gnome/glib.git","","","","",""
"glibc","","","","","","",""
"glibmm2.4","","","","","","",""
"glibmm2.68","","","","","","",""
"glusterfs","","","","","","",""
"gmp","","","","","","",""
"gnome-2048","","","","","","",""
"gnome-autoar","","","","","","",""
"gnome-bluetooth-3-common","","","","","","",""
"gnome-bluetooth3","","","","","","",""
"gnome-chess","","","","","","",""
"gnome-contacts","","","","","","",""
"gnome-control-center","","","","","","",""
"gnome-desktop","","","","","","",""
"gnome-desktop-testing","","","","","","",""
"gnome-desktop3-data","","","","","","",""
"gnome-disk-utility","","","","","","",""
"gnome-flashback","","","","","","",""
"gnome-keyring","","","","","","",""
"gnome-klotski","","","","","","",""
"gnome-mahjongg","","","","","","",""
"gnome-menus","","","","","","",""
"gnome-mines","","","","","","",""
"gnome-nibbles","","","","","","",""
"gnome-online-accounts","","","","","","",""
"gnome-panel","","","","","","",""
"gnome-robots","","","","","","",""
"gnome-session","","https://gitlab.gnome.org/gnome/gnome-session.git","","","","",""
"gnome-settings-daemon","","https://gitlab.gnome.org/gnome/gnome-settings-daemon.git","","","","",""
"gnome-shell","","https://gitlab.gnome.org/gnome/gnome-shell.git","","","","",""
"gnome-sudoku","","","","","","",""
"gnome-taquin","","","","","","",""
"gnome-terminal","","","","","","",""
"gnome-tetravex","","","","","","",""
"gnome-themes-extra-data","","","","","","",""
"gnome-user-share","","","","","","",""
"gnote","","","","","","",""
"gnupg-l10n","","","","","","",""
"gnupg2","","","","","","",""
"gnuplot","","","","","","",""
"gnutls-dev","","","","","","",""
"gnutls28","","","","","","",""
"gobjc-14","","","","","","",""
"gobjc-x86-64-linux-gnu","","","","","","",""
"gobject-introspection","","","","","","",""
"googletest","https://github.com/google/googletest.git","","","","","",""
"gpg","","","","","","",""
"gpg-agent","","","","","","",""
"gpgme1.0","","","","","","",""
"gpgsm","","","","","","",""
"gpicview","https://github.com/lxde/gpicview.git","","","","","",""
"gpm","","","","","","",""
"grantlee5","https://github.com/steveire/grantlee.git","","","","","",""
"grantleetheme","","","","","","https://invent.kde.org/pim/grantleetheme",""
"graphene","","","","","","",""
"graphicsmagick","","","","","","",""
"graphite2","","","","","","",""
"graphviz","","","","","","",""
"grep","","","","","","",""
"grilo","","","","","","",""
"grilo-plugins","","","","","","",""
"groff","","","","","","",""
"grub-pc-bin","","","","","","",""
"grub2","","","","","","",""
"gsasl","","","","","","",""
"gsettings-desktop-schemas","","","","","","",""
"gsettings-desktop-schemas-dev","","","","","","",""
"gsettings-qt","","https://gitlab.com/ubports/development/core/gsettings-qt.git","","","","",""
"gsl","","","","","","",""
"gsound","","","","","","",""
"gspell","","https://gitlab.gnome.org/gnome/gspell.git","","","","",""
"gssdp","","","","","","",""
"gst-libav1.0","","","","","","",""
"gst-plugins-bad1.0","","","","","","",""
"gst-plugins-base1.0","","","","","","",""
"gst-plugins-good1.0","","","","","","",""
"gst-plugins-ugly1.0","","","","","","",""
