"package","dependency","type"
"modemmanager-qt","glib2.0","declared"
"modemmanager-qt","glibc","declared"
"modemmanager-qt","modemmanager","declared"
"modemmanager-qt","qtbase-opensource-src","declared"
"libaccounts-qt","gcc-14","declared"
"libaccounts-qt","glib2.0","declared"
"libaccounts-qt","glibc","declared"
"libaccounts-qt","libaccounts-glib","declared"
"libaccounts-qt","qt6-base","declared"
"libaccounts-qt","qtbase-opensource-src","declared"
"kdav","gcc-14","declared"
"kdav","glibc","declared"
"kdav","kcoreaddons","declared"
"kdav","ki18n","declared"
"kdav","kio","declared"
"kdav","qtbase-opensource-src","declared"
"kdav","qtxmlpatterns-opensource-src","declared"
"kfind","gcc-14","declared"
"kfind","glibc","declared"
"kfind","kf6-karchive","declared"
"kfind","kf6-kcompletion","declared"
"kfind","kf6-kconfig","declared"
"kfind","kf6-kconfigwidgets","declared"
"kfind","kf6-kcoreaddons","declared"
"kfind","kf6-kcrash","declared"
"kfind","kf6-kfilemetadata","declared"
"kfind","kf6-ki18n","declared"
"kfind","kf6-kio","declared"
"kfind","kf6-kwidgetsaddons","declared"
"kfind","kf6-kxmlgui","declared"
"kfind","qt6-5compat","declared"
"kfind","qt6-base","declared"
"libmath-random-isaac-xs-perl","glibc","declared"
"libmath-random-isaac-xs-perl","perl","declared"
"libmath-random-isaac-xs-perl","perlapi-5.40.0","declared"
"libosinfo","gcc-14","declared"
"libosinfo","gir1.2-libosinfo-1.0","declared"
"libosinfo","glib2.0","declared"
"libosinfo","glibc","declared"
"libosinfo","libosinfo-l10n","declared"
"libosinfo","libsoup3","declared"
"libosinfo","libxml2","declared"
"libosinfo","libxslt","declared"
"libosinfo","osinfo-db","declared"
"libosinfo","pci.ids","declared"
"libosinfo","usb.ids","declared"
"kf6-kitemviews","gcc-14","declared"
"kf6-kitemviews","glibc","declared"
"kf6-kitemviews","qt6-base","declared"
"libvoikko","gcc-14","declared"
"libvoikko","glibc","declared"
"libvoikko","hfst-ospell","declared"
"flex","debconf","declared"
"flex","glibc","declared"
"flex","m4","declared"
"gtk+2.0","adwaita-icon-theme","declared"
"gtk+2.0","at-spi2-core","declared"
"gtk+2.0","cairo","declared"
"gtk+2.0","cups","declared"
"gtk+2.0","fontconfig","declared"
"gtk+2.0","gdk-pixbuf","declared"
"gtk+2.0","gir1.2-atk-1.0-dev","declared"
"gtk+2.0","gir1.2-cairo-1.0-dev","declared"
"gtk+2.0","gir1.2-gdkpixbuf-2.0-dev","declared"
"gtk+2.0","gir1.2-gio-2.0-dev","declared"
"gtk+2.0","gir1.2-gtk-2.0","declared"
"gtk+2.0","gir1.2-pango-1.0-dev","declared"
"gtk+2.0","gir1.2-xlib-2.0-dev","declared"
"gtk+2.0","glib2.0","declared"
"gtk+2.0","glibc","declared"
"gtk+2.0","gtk-update-icon-cache","declared"
"gtk+2.0","hicolor-icon-theme","declared"
"gtk+2.0","libx11","declared"
"gtk+2.0","libxcomposite","declared"
"gtk+2.0","libxcursor","declared"
"gtk+2.0","libxdamage","declared"
"gtk+2.0","libxext","declared"
"gtk+2.0","libxfixes","declared"
"gtk+2.0","libxi","declared"
"gtk+2.0","libxinerama","declared"
"gtk+2.0","libxml2","declared"
"gtk+2.0","libxrandr","declared"
"gtk+2.0","libxrender","declared"
"gtk+2.0","pango1.0","declared"
"gtk+2.0","pkgconf","declared"
"gtk+2.0","python3-defaults","declared"
"gtk+2.0","shared-mime-info","declared"
"cpuinfo","glibc","declared"
"libmtp","glibc","declared"
"libmtp","libgcrypt20","declared"
"libmtp","libusb-1.0","declared"
"ktextwidgets","gcc-14","declared"
"ktextwidgets","glibc","declared"
"ktextwidgets","kcompletion","declared"
"ktextwidgets","kconfig","declared"
"ktextwidgets","kconfigwidgets","declared"
"ktextwidgets","ki18n","declared"
"ktextwidgets","kwidgetsaddons","declared"
"ktextwidgets","qtbase-opensource-src","declared"
"ktextwidgets","qtspeech-opensource-src","declared"
"ktextwidgets","sonnet","declared"
"libmypaint","gcc-14","declared"
"libmypaint","gir1.2-mypaint-1.5","declared"
"libmypaint","glib2.0","declared"
"libmypaint","glibc","declared"
"libmypaint","json-c","declared"
"gtk+3.0","adwaita-icon-theme","declared"
"gtk+3.0","at-spi2-core","declared"
"gtk+3.0","cairo","declared"
"gtk+3.0","colord","declared"
"gtk+3.0","cups","declared"
"gtk+3.0","fontconfig","declared"
"gtk+3.0","fribidi","declared"
"gtk+3.0","gdk-pixbuf","declared"
"gtk+3.0","gir1.2-atk-1.0-dev","declared"
"gtk+3.0","gir1.2-cairo-1.0-dev","declared"
"gtk+3.0","gir1.2-gdkpixbuf-2.0-dev","declared"
"gtk+3.0","gir1.2-gio-2.0-dev","declared"
"gtk+3.0","gir1.2-gtk-3.0","declared"
"gtk+3.0","gir1.2-pango-1.0-dev","declared"
"gtk+3.0","gir1.2-xlib-2.0-dev","declared"
"gtk+3.0","glib2.0","declared"
"gtk+3.0","glibc","declared"
"gtk+3.0","harfbuzz","declared"
"gtk+3.0","hicolor-icon-theme","declared"
"gtk+3.0","libcloudproviders","declared"
"gtk+3.0","libepoxy","declared"
"gtk+3.0","libgtk-3-common","declared"
"gtk+3.0","libx11","declared"
"gtk+3.0","libxcomposite","declared"
"gtk+3.0","libxcursor","declared"
"gtk+3.0","libxdamage","declared"
"gtk+3.0","libxext","declared"
"gtk+3.0","libxfixes","declared"
"gtk+3.0","libxi","declared"
"gtk+3.0","libxinerama","declared"
"gtk+3.0","libxkbcommon","declared"
"gtk+3.0","libxrandr","declared"
"gtk+3.0","mesa","declared"
