"package","github_repo","git","eco_guess","avg_downloads","2021","2022","2023","2024","2025","top","is_cpp","is_oss_fuzz","pagerank","value_class"
"fftw3","","","","134404","122555","117567","132097","139552","160252","True","True","False","0.00048819","C"
"libksba","","","","200721","181189","178562","195944","212224","235687","True","True","False","0.00048762","C"
"usbutils","gregkh/usbutils","https://github.com/gregkh/usbutils.git","","199870","178872","174829","192058","212368","241226","True","True","False","0.00048641","C"
"sudo","","","","193216","168826","168842","186029","207258","235127","True","True","False","0.00048530","C"
"libxcomposite","","","","154755","147585","137420","150266","159002","179505","True","True","False","0.00048517","C"
"libwebp","","","","131256","104806","109063","127010","146088","169313","True","True","False","0.00048416","C"
"libxdamage","","","","158483","152314","142972","155562","161327","180241","True","True","False","0.00048283","C"
"opus","","","","135467","122266","116563","131104","143143","164259","True","True","False","0.00048058","C"
"libgudev","","","","133326","121854","114978","129135","140096","160569","True","True","False","0.00047924","C"
"serd","","","","116286","97685","96293","112067","126673","148712","True","True","False","0.00047659","C"
"efivar","rhinstaller/efivar","https://github.com/rhinstaller/efivar.git","","175495","147833","163074","187019","210514","169036","True","True","False","0.00046899","C"
"fstrm","farsightsec/fstrm","https://github.com/farsightsec/fstrm.git","","184720","139799","155218","177979","209298","241310","True","True","False","0.00046823","C"
"graphite2","","","","165249","150052","144613","159785","175202","196594","True","True","False","0.00046792","C"
"gcc-defaults","","","","168988","156835","149323","163730","176243","198809","True","True","False","0.00046584","C"
"lapack","","","","140426","124059","120500","135765","149814","171992","True","True","False","0.00046486","C"
"libarchive","","","","117632","119230","114109","129046","131302","94476","True","True","False","0.00046314","C"
"libsigc++-2.0","","","","123259","113852","109011","120151","128192","145093","True","True","False","0.00045989","C"
"gobject-introspection","","","","152520","138497","133273","147990","161230","181610","True","True","False","0.00045437","C"
"libpcre3","","","","186771","207256","204531","206236","173646","142188","True","True","False","0.00045373","C"
"lm-sensors","hramrach/lm-sensors","https://github.com/hramrach/lm-sensors.git","","151289","117597","126849","146629","169714","195656","True","True","False","0.00045084","C"
"libxxf86vm","","","","146991","135488","128439","142524","153584","174922","True","True","False","0.00044833","C"
"libonig","kkos/oniguruma","https://github.com/kkos/oniguruma.git","","79218","27575","45349","70397","112468","140305","True","True","False","0.00044828","C"
"mariadb","","","","104704","99450","96702","103297","109227","114844","True","True","False","0.00044277","C"
"libgd2","","","","166459","145179","145774","162653","178965","199724","True","True","False","0.00044154","C"
"x11-common","","","","0","0","0","0","0","0","False","False","False","0.00043871","C"
"libunwind","libunwind/libunwind","https://github.com/libunwind/libunwind.git","","132051","101135","109137","128335","150455","171193","True","True","True","0.00043642","C"
