repo,repo_id,loc_eoy,sloc_eoy,scc_complexity_eoy,scc_density_eoy,cognitive_total,cognitive_avg,cognitive_max,cyclomatic_total,cyclomatic_avg,cyclomatic_max,loc_year,loc_eoy_p,scc_complexity_eoy_p,cognitive_max_p,cyclomatic_max_p,score
sindresorhus/p-map,gh/71526722,1075,843,62,7.35,90,0.64,19,207,1.47,14,2025,38.79,38.16,43.76,43.66,41.15
sindresorhus/p-try,gh/71534796,39,33,0,0.00,0,0,0,12,1,1,2025,4.23,3.81,3.07,3.17,3.66
sindresorhus/package-directory,gh/41724281,44,35,2,5.71,2,0.25,1,10,1.25,2,2025,4.86,6.87,6.24,6.34,5.55
sindresorhus/parent-module,gh/50187748,101,76,11,14.47,15,1.5,13,19,1.9,8,2025,10.25,18.6,35.94,29.7,17.45
sindresorhus/parse-json,gh/41367145,339,282,14,4.96,32,1.33,15,42,1.75,4,2025,23.57,21.14,38.9,14.9,18.74
sindresorhus/path-exists,gh/34965664,36,31,0,0,2,0.33,1,8,1.33,2,2021,3.91,3.81,6.24,6.34,4.98
sindresorhus/path-is-absolute,gh/30900285,46,36,3,8.33,6,3,6,8,4,7,2019,5.07,7.93,22.41,26.11,11.51
sindresorhus/path-key,gh/48706449,72,57,4,7.02,4,0.5,2,12,1.5,3,2025,7.08,9.94,8.99,10.15,8.48
sindresorhus/path-type,gh/41905436,156,132,6,4.55,6,0.3,3,26,1.3,4,2024,15.43,12.79,13.0,14.9,15.16
sindresorhus/pify,gh/41585934,704,551,25,4.54,32,0.3,13,134,1.24,9,2022,33.3,26.85,35.94,32.98,33.14
sindresorhus/quick-lru,gh/86679721,2082,1617,81,5.01,45,0.3,9,190,1.27,6,2025,47.78,41.44,28.54,22.52,32.80
sindresorhus/read-package-up,gh/41842429,57,48,2,4.17,2,0.25,1,10,1.25,2,2025,6.03,6.87,6.24,6.34,6.18
sindresorhus/read-pkg,gh/41790094,148,122,6,4.92,8,0.32,4,34,1.36,6,2025,14.59,12.79,16.7,22.52,18.13
sindresorhus/resolve-cwd,gh/47504070,26,21,0,0,0,0,0,5,1,1,2021,1.48,3.81,3.07,3.17,2.17
sindresorhus/resolve-from,gh/22022707,82,65,7,10.77,9,1,9,16,1.78,8,2021,8.77,13.95,28.54,29.7,16.14
