repo,repo_id,loc_eoy,sloc_eoy,scc_complexity_eoy,scc_density_eoy,cognitive_total,cognitive_avg,cognitive_max,cyclomatic_total,cyclomatic_avg,cyclomatic_max,loc_year,loc_eoy_p,scc_complexity_eoy_p,cognitive_max_p,cyclomatic_max_p,score
evanw/node-source-map-support,gh/7682781,1693,1428,123,8.61,1365,5.91,582,1242,5.38,343,2022,44.19,46.62,95.67,96.51,65.31
eventualbuddha/lines-and-columns,gh/47284288,180,150,14,9.33,0,0,0,14,1,1,2023,17.02,21.14,3.07,3.17,7.35
executablebooks/markdown-it-py,gh/249956697,8419,5847,1010,17.27,1583,4.54,134,1331,3.9,52,2025,63.32,72.73,81.08,76.53,69.61
executablebooks/mdurl,gh/387293763,1412,1090,124,11.38,181,6.96,95,135,5.19,48,2025,41.54,46.72,74.95,74.84,55.76
exodusoss/bytes,gh/885154008,17268,13806,2036,14.75,2509,1.64,122,3398,2.22,46,2025,72.09,79.28,79.81,73.89,72.98
expressjs/body-parser,gh/15669006,3796,2992,103,3.44,154,0.33,13,598,1.27,14,2025,53.91,44.08,35.94,43.66,48.52
expressjs/serve-static,gh/17464338,1138,892,31,3.48,32,0.18,8,209,1.17,9,2025,39.01,29.49,26.85,32.98,35.87
facebook/prop-types,gh/87597642,5413,4648,161,3.46,247,0.43,37,741,1.29,16,2023,57.93,50.32,56.98,46.3,51.79
facebook/regenerator,gh/13346571,111319,100040,10325,10.32,1744,1.76,136,1981,2.11,41,2023,88.48,90.59,81.29,71.14,79.34
facebook/watchman,gh/6930489,96546,69742,7887,11.31,10351,2.56,338,11254,2.78,133,2025,87.0,88.79,92.18,89.22,88.10
facebook/zstd,gh/29759715,146489,100337,17958,17.9,22489,6.05,1100,16942,4.64,330,2025,90.17,93.55,97.46,96.3,93.18
facelessuser/soupsieve,gh/160789418,11906,9306,671,7.21,1395,2.17,117,1563,2.43,51,2025,67.23,67.23,79.39,76.11,71.53
fastify/fast-uri,gh/419317518,3058,2490,130,5.22,81,0.67,27,189,1.56,22,2025,51.37,47.36,49.79,56.45,53.85
faye/websocket-driver-node,gh/9733816,3374,2675,273,10.21,330,0.68,22,772,1.59,21,2023,52.54,55.6,46.19,54.02,53.27
fb55/boolbase,gh/16864585,13,12,0,0,0,0,0,2,1,1,2024,0.63,3.81,3.07,3.17,1.41
fb55/css-select,gh/3411063,6080,4541,352,7.75,193,0.49,14,572,1.46,14,2025,59.41,58.88,37.42,43.66,50.93
fb55/css-what,gh/4460687,2240,2004,160,7.98,173,3.53,117,162,3.31,50,2025,48.31,50.0,79.39,75.79,60.51
fb55/domelementtype,gh/6627835,54,27,3,11.11,1,1,1,3,3,3,2024,5.71,7.93,6.24,10.15,7.61
fb55/domhandler,gh/5414232,911,553,66,11.93,43,0.59,9,111,1.52,9,2025,37.1,38.69,28.54,32.98,34.98
fb55/domutils,gh/6627949,2058,1399,165,11.79,115,0.58,12,300,1.52,12,2025,47.25,50.63,33.72,39.85,43.39
fb55/entities,gh/3172629,2872,2103,330,15.69,309,1.92,59,367,2.28,37,2025,50.85,57.72,66.81,69.24,59.34
fb55/htmlparser2,gh/2279062,2663,2038,333,16.34,174,0.87,17,375,1.88,28,2025,49.68,58.03,41.01,63.32,56.09
fb55/nth-check,gh/16864923,445,248,51,20.56,42,1.24,11,74,2.18,10,2025,27.06,35.52,31.61,35.41,30.95
felixge/node-combined-stream,gh/1787452,551,434,33,7.6,32,0.59,6,82,1.52,5,2019,30.13,30.66,22.41,18.6,23.67
felixge/node-delayed-stream,gh/1783893,300,235,8,3.4,8,0.29,3,36,1.29,4,2015,22.62,15.64,13.0,14.9,18.36
feross/buffer,gh/14494363,9452,7295,672,9.21,657,1.28,52,1051,2.04,27,2025,64.9,67.34,64.06,62.47,63.67
feross/ieee754,gh/15489525,151,126,21,16.67,12,1.5,12,17,2.12,10,2020,15.12,24.31,33.72,35.41,23.14
feross/is-buffer,gh/25997846,35,26,4,15.38,1,0.25,1,7,1.75,4,2020,3.59,9.94,6.24,14.9,7.31
feross/queue-microtask,gh/207021895,45,33,1,3.03,2,0.15,2,15,1.15,3,2021,4.97,4.97,8.99,10.15,7.10
feross/run-parallel,gh/18700638,310,260,11,4.23,9,0.14,4,70,1.11,4,2021,23.04,18.6,16.7,14.9,18.53
feross/safe-buffer,gh/49538897,166,140,15,10.71,11,0.38,6,37,1.28,4,2020,16.07,21.78,22.41,14.9,15.47
ffmpeg/ffmpeg,gh/1614410,1958319,1529746,222538,14.55,294547,9.66,626,222907,7.31,436,2025,98.63,99.26,95.98,96.93,97.78
firebase/firebase-js-sdk,gh/89290483,498432,350055,36805,10.51,13469,0.57,318,51781,1.8,1438,2025,96.19,95.88,91.44,99.26,97.71
fitzgen/glob-to-regexp,gh/11461122,365,254,19,7.48,36,9,36,41,10.25,38,2019,24.95,23.57,56.03,69.77,41.72
floatdrop/require-from-string,gh/39301848,104,81,8,9.88,9,0.9,7,20,2,9,2018,10.47,15.64,25.16,32.98,18.58
floating-ui/floating-ui,gh/54994103,47265,39597,2808,7.09,3977,1.6,126,4974,2,42,2025,82.24,81.71,80.02,71.56,76.71
follow-redirects/follow-redirects,gh/6697086,3190,2701,108,4.00,150,0.3,23,637,1.26,23,2025,51.69,44.61,47.36,58.25,54.87
fontconfig/fontconfig,gl/freedesktop-890,41476,32800,6294,19.19,8041,6.79,532,6738,5.69,297,2025,80.55,87.1,94.61,95.45,87.68
form-data/form-data,gh/1755793,2515,1735,166,9.57,175,0.86,16,341,1.68,18,2025,49.37,50.85,39.64,50.0,49.68
formatjs/formatjs,gh/19117456,403734,393944,5799,1.47,5158,1.49,129,7618,2.2,61,2025,95.24,86.79,80.34,78.96,86.72
freedesktop-unofficial-mirror/cairo,gh/34372735,353301,246127,34112,13.86,35714,4.11,223,36178,4.17,152,2015,94.61,95.77,87.74,90.27,92.41
freetype/freetype,gh/187000659,254498,147307,17965,12.20,29384,11.02,1056,19387,7.29,323,2025,93.23,93.66,97.15,96.09,94.65
frenic/csstype,gh/104001328,4425,3737,498,13.33,688,2.7,90,651,2.55,46,2025,55.29,62.58,74.1,73.89,63.92
frommi/miniz_oxide,gh/96124162,31727,21437,4251,19.83,5334,7.57,340,3963,5.62,105,2025,78.44,84.25,92.28,87.53,82.86
fsevents/fsevents,gh/1402936,817,668,68,10.18,42,0.88,7,88,1.83,8,2023,34.88,39.43,25.16,29.7,32.19
fsspec/filesystem_spec,gh/130727736,35988,28357,3130,11.04,4128,2.09,80,5123,2.6,39,2025,79.18,82.45,72.3,70.3,74.61
fsspec/s3fs,gh/53987953,9688,7837,686,8.75,1078,2.86,51,1176,3.12,33,2025,65.12,67.65,63.85,67.12,66.11
garycourt/uri-js,gh/989080,5428,4179,962,23.02,631,3.03,29,682,3.28,17,2021,58.03,71.99,51.27,48.84,53.24
gcc-mirror/gcc,gh/22711503,13441044,9273103,1469572,15.85,1365468,2.96,3543,1476524,3.2,2270,2025,99.79,99.89,99.15,99.58,99.68
getsentry/sentry-javascript,gh/3328572,408713,313085,18264,5.83,18681,0.71,241,41217,1.56,69,2025,95.45,93.76,88.48,81.18,88.03
giampaolo/psutil,gh/20101515,50667,38017,6943,18.26,8413,4.21,160,7226,3.62,72,2025,82.77,88.16,83.72,81.92,82.34
git/git,gh/36502,444250,326558,64539,19.76,85277,6.17,772,71597,5.71,287,2025,95.77,97.57,96.19,95.35,95.56
gitlab-freedesktop-mirrors/libxcb,gh/444023705,3269,2135,395,18.5,398,4.52,46,409,4.65,33,2007,52.01,60.15,61.31,67.12,59.08
gitoxidelabs/gitoxide,gh/136510559,233265,190350,12374,6.5,27122,3.01,783,26173,2.9,163,2025,93.02,91.54,96.41,91.01,92.01
gitpython-developers/gitdb,gh/1126093,6148,4329,354,8.18,635,1.94,42,744,2.28,17,2025,59.51,58.99,59.83,48.84,53.91
gitpython-developers/smmap,gh/1865144,1812,1277,121,9.48,204,2.29,41,213,2.45,17,2025,45.03,46.09,59.3,48.84,46.90
gkz/levn,gh/13287279,462,459,89,19.39,90,2.31,14,126,3.23,13,2022,27.8,42.6,37.42,42.18,34.24
gkz/optionator,gh/13435927,779,776,264,34.02,397,9.45,113,251,5.98,44,2024,34.25,55.5,78.86,72.52,49.84
gkz/prelude-ls,gh/4457759,2709,2680,315,11.75,632,1.41,11,935,2.09,7,2022,50.0,57.08,31.61,26.11,36.13
gkz/type-check,gh/13182168,2042,2021,284,14.05,372,1.77,18,501,2.39,12,2022,47.04,56.03,42.39,39.85,43.30
gmp-mirror/gmp,gh/681340775,364132,285008,21496,7.54,17265,4.89,228,15237,4.32,139,2025,94.71,94.29,87.84,89.85,92.25
gnome/gdk-pixbuf,gl/gnome-1548,45976,32030,4480,13.99,4662,4.67,94,4236,4.24,69,2025,82.14,84.57,74.84,81.18,81.66
gnome/glib,gl/gnome-658,838709,565369,59680,10.56,61261,3.39,3606,63012,3.49,813,2025,97.15,97.25,99.26,97.99,97.57
gnome/libxml2,gl/gnome-1665,213568,153986,42791,27.79,49133,12.67,1026,35966,9.27,514,2025,92.92,96.41,96.83,97.15,95.01
gnome/pango,gh/4537144,94994,62545,10205,16.32,12255,5.64,1690,10975,5.05,827,2025,86.79,90.38,98.31,98.1,92.27
gnutls/gnutls,gl/179611,574016,441109,49471,11.22,48904,6.44,285,42192,5.56,120,2025,96.51,96.72,89.64,88.27,92.30
gnutls/libtasn1,gl/919981,19272,13744,3026,22.02,3486,17.26,351,2212,10.95,132,2025,73.47,82.35,92.49,89.11,80.91
gnutools/binutils-gdb,gh/1178912368,7405226,6144983,494365,8.05,518577,6.25,6882,484367,5.84,4747,2025,99.58,99.47,99.79,99.79,99.68
gnutools/glibc,gh/1178881118,1891317,1335590,129453,9.69,114637,5.82,2183,98241,4.99,694,2025,98.52,98.52,98.52,97.67,98.09
google/brotli,gh/24993138,83681,67511,8797,13.03,5871,7.5,686,4025,5.23,231,2025,85.84,89.32,96.09,93.97,89.81
google/zerocopy,gh/534354967,173852,156111,1205,0.77,1174,0.87,76,2452,1.82,54,2025,91.65,74.52,71.14,76.85,83.92
googleapis/google-cloud-python,gh/16316451,106537,77570,4478,5.77,516883,0.95,34,6213,1.59,27,2025,87.84,84.46,55.29,62.47,74.08
googleapis/python-crc32c,gh/159736041,1190,641,73,11.39,62,1.27,14,108,1.93,11,2025,39.75,40.27,37.42,37.84,38.78
googlechrome/workbox,gh/55424670,54850,38496,1842,4.78,2128,0.65,29,4924,1.51,22,2025,83.3,78.44,51.27,56.45,68.57
gpg/libgpg-error,gh/42075984,49215,38906,6311,16.22,8898,7.42,566,7709,6.42,270,2025,82.56,87.32,95.24,95.14,88.63
grahamdumpleton/wrapt,gh/10357291,18868,11881,1049,8.83,1237,0.76,61,2377,1.5,34,2025,73.04,73.36,67.44,67.65,70.29
grantjenks/python-sortedcontainers,gh/17144859,11408,8411,901,10.71,917,1.34,31,1547,2.26,17,2024,67.02,70.93,52.75,48.84,57.21
graydon/exhaustigen-rs,gh/432630522,217,156,13,8.33,12,0.71,4,27,1.59,4,2021,19.13,20.08,16.7,14.9,16.88
gregberge/svgr,gh/102155012,6950,6218,309,4.97,338,0.75,47,747,1.65,27,2025,61.42,56.98,61.95,62.47,61.94
grncdr/merge-stream,gh/10579821,146,112,6,5.36,9,0.33,4,34,1.26,3,2019,14.16,12.79,16.7,10.15,11.99
grpc/grpc,gh/27729880,1249392,953685,78931,8.28,78732,1.22,362,123443,1.92,246,2025,98.31,98.2,92.92,94.61,96.44
gsnedders/python-webencodings,gh/7043404,1410,1046,16,1.53,36,1.16,10,62,2,7,2017,41.44,22.41,30.13,26.11,32.89
guillaumegomez/doc-comment,gh/127254922,491,292,41,14.04,67,9.57,17,48,6.86,12,2020,28.44,33.72,41.01,39.85,33.67
gulpjs/glob-parent,gh/29154915,336,266,14,5.26,13,0.48,5,40,1.48,6,2023,23.47,21.14,19.03,22.52,22.99
gweis/isodate,gh/6449370,2308,1717,104,6.06,252,3.04,34,229,2.76,18,2024,48.52,44.29,55.29,50.0,49.25
gyscos/zstd-rs,gh/52115335,12324,9286,229,2.47,300,0.59,53,776,1.53,15,2025,67.44,54.44,64.27,45.03,55.11
hapijs/hoek,gh/5831189,5684,4026,283,7.03,474,1.03,109,790,1.71,49,2025,58.56,55.81,78.22,75.37,66.44
harfbuzz/harfbuzz,gh/5050525,206211,147328,17457,11.85,21066,2.72,510,24335,3.14,298,2025,92.81,93.13,94.29,95.56,94.17
hiddentao/fast-levenshtein,gh/9490451,496,380,30,7.89,62,4.77,24,62,4.77,14,2020,28.54,28.86,47.78,43.66,35.30
holmgren/nettle,gl/debian-50952,136991,96411,4721,4.9,4699,2.54,286,5259,2.84,136,2025,89.85,84.99,89.85,89.64,89.74
httplib2/httplib2,gh/53002916,11344,9374,853,9.10,1463,3.14,241,1381,2.96,156,2025,66.91,70.72,88.48,90.38,77.76
huggingface/huggingface_hub,gh/323591830,79341,62036,5315,8.57,5516,1.89,112,7009,2.44,43,2025,85.52,85.73,78.75,71.78,78.35
hukkin/tomli,gh/370616797,1580,1182,253,21.40,264,3.72,23,260,3.66,19,2025,43.34,55.29,47.36,50.95,46.99
hyperium/http,gh/84983058,17759,10664,784,7.35,567,0.79,33,1203,1.68,28,2025,72.62,69.34,54.33,63.32,67.81
hyperium/http-body,gh/183281612,3473,2597,161,6.20,73,0.32,9,324,1.41,7,2025,52.85,50.32,28.54,26.11,37.15
iarna/aproba,gh/31432421,249,231,35,15.15,56,1,18,90,1.61,9,2025,20.93,31.61,42.39,32.98,26.27
import-js/eslint-plugin-import,gh/32238354,37677,32880,1819,5.53,1977,1.37,89,3077,2.13,51,2025,79.39,78.33,74.0,76.11,77.73
indexmap-rs/indexmap,gh/68294628,15725,10747,845,7.86,649,0.62,15,1850,1.76,10,2025,70.93,70.51,38.9,35.41,50.12
indutny/bn.js,gh/19176350,6195,5120,517,10.1,570,1.05,32,976,1.8,21,2025,59.62,63.32,53.59,54.02,56.75
indygreg/python-zstandard,gh/67307930,88689,59399,9727,16.38,3928,2.99,107,8860,3.81,85,2025,86.15,89.85,77.7,84.67,85.41
inikulin/parse5,gh/8862593,14402,11431,2060,18.02,541,1.17,46,1139,2.45,206,2025,69.13,79.6,61.31,93.02,80.19
inspect-js/array-buffer-byte-length,gh/607836784,43,31,1,3.23,2,0.5,2,6,1.5,3,2024,4.65,4.97,8.99,10.15,6.87
inspect-js/available-typed-arrays,gh/235965505,35,24,2,8.33,3,1,3,5,1.67,3,2025,3.59,6.87,13.0,10.15,6.04
inspect-js/functions-have-names,gh/198357138,96,77,20,25.97,21,1.62,13,26,2,6,2025,9.94,24.0,35.94,22.52,14.96
inspect-js/has-bigints,gh/201714166,55,43,5,11.63,3,0.43,2,11,1.57,4,2025,5.92,11.21,8.99,14.9,9.39
inspect-js/has-property-descriptors,gh/481834578,79,59,2,3.39,3,0.6,2,8,1.6,3,2024,8.14,6.87,8.99,10.15,9.09
inspect-js/has-proto,gh/577580747,164,124,29,23.39,31,5.17,9,29,4.83,7,2024,15.96,28.44,28.54,26.11,20.41
inspect-js/has-symbols,gh/68573418,197,118,28,23.73,24,2.4,18,33,3.3,18,2025,18.29,28.01,42.39,50.0,30.24
inspect-js/has-tostringtag,gh/392913710,113,75,8,10.67,5,0.5,2,15,1.5,3,2024,11.1,15.64,8.99,10.15,10.61
inspect-js/hasown,gh/703350811,77,59,0,0.00,0,0,0,5,1,1,2025,8.03,3.81,3.07,3.17,5.05
inspect-js/is-accessor-descriptor,gh/41658954,196,163,22,13.50,29,1.61,28,40,2.22,21,2025,18.08,24.84,50.32,54.02,31.25
inspect-js/is-arguments,gh/15725461,91,70,13,18.57,6,0.6,3,23,2.3,9,2025,9.51,20.08,13.0,32.98,17.71
inspect-js/is-array-buffer,gh/45977026,92,68,8,11.76,7,1.17,6,11,1.83,5,2025,9.62,15.64,22.41,18.6,13.38
inspect-js/is-bigint,gh/149682261,106,85,12,14.12,6,0.4,3,26,1.73,9,2025,10.78,19.45,13.0,32.98,18.86
inspect-js/is-boolean-object,gh/34700259,106,85,4,4.71,5,0.42,4,17,1.42,5,2025,10.78,9.94,16.7,18.6,14.16
inspect-js/is-callable,gh/30012910,345,292,53,18.15,36,0.9,8,71,1.77,10,2025,24.21,35.84,26.85,35.41,29.28
inspect-js/is-core-module,gh/24578130,226,192,38,19.79,73,4.29,29,56,3.29,11,2025,19.77,32.88,51.27,37.84,27.35
inspect-js/is-data-descriptor,gh/41659073,127,103,19,18.45,20,1.54,19,33,2.54,19,2025,12.47,23.57,43.76,50.95,25.21
inspect-js/is-data-view,gh/751048078,99,74,8,10.81,7,0.88,7,17,2.12,10,2024,10.04,15.64,25.16,35.41,18.86
inspect-js/is-date-object,gh/29991041,70,55,2,3.64,4,0.5,3,12,1.5,4,2025,6.98,6.87,13.0,14.9,10.20
inspect-js/is-descriptor,gh/41658845,182,141,13,9.22,18,0.82,16,36,1.64,13,2025,17.34,20.08,39.64,42.18,27.04
inspect-js/is-number-object,gh/29991666,74,60,3,5.00,5,0.62,4,13,1.62,5,2025,7.61,7.93,16.7,18.6,11.90
inspect-js/is-regex,gh/15930063,195,146,10,6.85,10,0.56,5,28,1.56,6,2025,17.97,17.86,19.03,22.52,20.12
inspect-js/is-string,gh/30010185,77,61,3,4.92,5,0.62,4,13,1.62,5,2025,8.03,7.93,16.7,18.6,12.22
inspect-js/is-symbol,gh/29791606,128,102,10,9.80,7,0.37,4,28,1.47,6,2025,12.58,17.86,16.7,22.52,16.83
inspect-js/is-typed-array,gh/43528820,119,95,4,4.21,4,0.27,2,17,1.13,2,2025,11.42,9.94,8.99,6.34,8.51
inspect-js/node-supports-preserve-symlinks-flag,gh/443970899,41,31,2,6.45,0,0,0,1,1,1,2022,4.44,6.87,3.07,3.17,3.75
inspect-js/object-inspect,gh/11683441,1844,1575,112,7.11,126,0.85,27,262,1.77,18,2025,45.35,45.03,49.79,50.0,47.62
inspect-js/typed-array-buffer,gh/649850465,42,28,2,7.14,1,0.2,1,6,1.2,2,2024,4.55,6.87,6.24,6.34,5.37
inspect-js/which-boxed-primitive,gh/201685155,77,65,11,16.92,9,1,8,18,2,9,2025,8.03,18.6,26.85,32.98,16.27
inspect-js/which-typed-array,gh/43708371,222,180,26,14.44,31,1.41,8,43,1.95,7,2025,19.56,27.17,26.85,26.11,22.60
ipython/traitlets,gh/14993021,16674,12488,1004,8.04,1613,1.64,55,2114,2.15,34,2025,71.56,72.52,65.22,67.65,69.58
isaacs/chownr,gh/3858354,688,624,50,8.01,45,0.55,7,122,1.49,8,2025,32.98,35.2,25.16,29.7,31.30
isaacs/cliui,gh/634056857,1087,816,68,8.33,56,0.65,17,137,1.59,12,2025,38.9,39.43,41.01,39.85,39.37
isaacs/core-util-is,gh/12391440,195,139,5,3.6,4,0.24,1,25,1.47,6,2021,17.97,11.21,6.24,22.52,20.12
isaacs/fs-minipass,gh/102982143,30,23,0,0.00,125,0.56,19,317,1.42,9,2025,1.8,3.81,43.76,32.98,7.70
isaacs/fs.realpath,gh/61231712,444,312,68,21.79,88,3.26,32,89,3.3,17,2025,26.96,39.43,53.59,48.84,36.29
isaacs/inflight-deprecated-do-not-use,gh/19442260,0,0,0,0,0,0,0,0,0,0,2024,0.21,3.81,3.07,0.53,1.00
isaacs/inherits,gh/1580001,135,108,8,7.41,2,0.14,1,16,1.14,2,2025,13.53,15.64,6.24,6.34,9.26
isaacs/isexe,gh/49804297,502,374,48,12.83,29,0.83,6,58,1.66,6,2025,28.75,34.46,22.41,22.52,25.45
isaacs/minimatch,gh/2056549,22417,18603,655,3.52,636,3.83,296,590,3.55,161,2025,75.69,66.6,90.59,90.7,82.86
isaacs/minipass,gh/84886212,4295,3407,398,11.68,215,0.48,47,616,1.37,22,2025,54.97,60.36,61.95,56.45,55.71
isaacs/minizlib,gh/86429676,2010,1582,88,5.56,120,0.7,65,245,1.42,22,2025,46.62,42.49,68.92,56.45,51.30
isaacs/node-glob,gh/357681,5399,4410,439,9.95,302,0.9,43,577,1.74,29,2025,57.82,61.1,60.25,64.27,60.96
isaacs/node-graceful-fs,gh/2077020,1725,1387,239,17.23,301,1.6,80,402,2.14,32,2025,44.5,55.07,72.3,66.7,54.48
isaacs/node-lru-cache,gh/679662,9548,7569,615,8.13,297,0.74,47,616,1.54,20,2025,65.01,65.64,61.95,52.11,58.20
isaacs/node-mkdirp,gh/2718248,1357,1191,148,12.43,89,0.74,20,198,1.64,16,2023,40.8,49.15,44.61,46.3,43.46
isaacs/node-tar,gh/1534331,19345,16576,1262,7.61,1111,0.66,104,2597,1.54,68,2025,73.78,75.05,77.06,80.66,77.14
isaacs/once,gh/5409660,194,174,8,4.60,13,0.68,3,30,1.58,3,2025,17.76,15.64,13.0,10.15,13.43
isaacs/package-json-from-dist,gh/800543709,340,231,10,4.33,12,1.09,12,18,1.64,8,2024,23.78,17.86,33.72,29.7,26.58
isaacs/path-scurry,gh/591569499,6590,4991,609,12.2,766,2.48,243,788,2.55,94,2025,60.47,65.33,88.69,86.05,72.13
isaacs/rimraf,gh/1341324,6284,5611,600,10.69,494,0.7,32,1071,1.52,18,2025,60.15,64.9,53.59,50.0,54.84
isaacs/sax-js,gh/508894,4816,4487,334,7.44,373,4.19,209,391,4.39,158,2025,56.45,58.25,86.89,90.49,71.47
isaacs/wrappy,gh/24208073,80,61,6,9.84,6,0.55,3,17,1.55,4,2021,8.35,12.79,13.0,14.9,11.15
isaacs/yallist,gh/48222381,774,666,100,15.02,25,0.57,5,66,1.5,6,2024,34.14,43.55,19.03,22.52,27.73
istanbuljs/istanbuljs,gh/81482340,12217,10140,659,6.5,1004,1,38,1829,1.81,23,2025,67.34,66.81,57.51,58.25,62.63
istanbuljs/schema,gh/211950686,796,728,12,1.65,11,0.61,5,28,1.56,5,2021,34.67,19.45,19.03,18.6,25.39
istanbuljs/test-exclude,gh/60489570,679,571,28,4.9,28,0.53,11,80,1.51,11,2024,32.56,28.01,31.61,37.84,35.10
jamesmunns/postcard,gh/179385478,19459,14331,934,6.52,1843,2.24,250,1873,2.29,71,2025,74.0,71.46,89.11,81.61,77.71
jaraco/jaraco.develop,gh/48289082,1589,1249,50,4,47,0.37,7,184,1.45,6,2025,43.45,35.2,25.16,22.52,31.28
jaraco/pytest-perf,gh/372026120,426,326,20,6.13,14,0.34,3,61,1.49,4,2025,26.53,24.0,13.0,14.9,19.88
jaraco/zipp,gh/157774633,1661,1381,52,3.77,51,0.35,7,193,1.32,7,2025,43.97,35.62,25.16,26.11,33.88
jaredhanson/utils-merge,gh/11349896,89,58,3,5.17,4,0.31,4,16,1.23,4,2020,9.41,7.93,16.7,14.9,11.84
jaredwray/cacheable,gh/9267870,23399,17622,953,5.41,735,0.38,42,2527,1.32,22,2025,76.53,71.88,59.83,56.45,65.73
jaredwray/keyv,gh/96540810,15591,12242,826,6.75,635,0.48,24,1879,1.41,22,2025,70.51,69.98,47.78,56.45,63.09
jawah/charset_normalizer,gh/200259335,6759,5578,457,8.19,751,3.66,155,758,3.7,97,2025,60.89,61.52,83.3,86.47,72.56
jbgutierrez/path-parse,gh/34113780,172,140,12,8.57,10,1.11,5,18,2,5,2021,16.38,19.45,19.03,18.6,17.45
jd/tenacity,gh/65468547,4775,3437,339,9.86,352,0.8,14,674,1.54,7,2025,56.34,58.56,37.42,26.11,38.35
jensyt/imurmurhash-js,gh/11802843,150,89,12,13.48,34,3.78,17,40,4.44,13,2013,14.9,19.45,41.01,42.18,25.07
jestjs/jest,gh/15062869,161588,123604,7738,6.26,6204,0.5,82,17374,1.4,58,2025,91.23,88.48,72.73,77.91,84.31
jimmywarting/node-domexception,gh/371470141,5,3,1,33.33,1,1,1,2,2,2,2025,0.42,4.97,6.24,6.34,1.63
jimp-dev/jimp,gh/24008065,10769,7720,659,8.54,738,1.59,56,957,2.06,31,2024,65.96,66.81,65.43,66.07,66.01
jmespath/jmespath.py,gh/8300763,2911,2249,326,14.5,363,1.26,36,540,1.87,23,2025,50.95,57.61,56.03,58.25,54.48
joblib/joblib,gh/654608,27646,18686,2481,13.28,2499,1.92,61,3285,2.52,32,2025,77.48,80.97,67.44,66.7,71.89
jonathanong/ee-first,gh/20707897,222,158,7,4.43,10,0.42,7,32,1.33,6,2018,19.56,13.95,25.16,22.52,20.99
jonschlinkert/assign-symbols,gh/45661176,121,94,11,11.7,9,0.82,7,20,1.82,8,2018,11.73,18.6,25.16,29.7,18.66
jonschlinkert/define-property,gh/40633359,163,136,7,5.15,7,0.29,4,30,1.25,6,2018,15.86,13.95,16.7,22.52,18.90
jonschlinkert/extend-shallow,gh/25867410,624,488,119,24.39,168,3.57,13,150,3.19,8,2017,31.4,45.77,35.94,29.7,30.54
jonschlinkert/fill-range,gh/27113310,959,782,75,9.59,96,0.61,23,245,1.55,20,2024,37.74,40.49,47.36,52.11,44.35
jonschlinkert/get-value,gh/24911025,1989,1602,287,17.92,311,2.49,41,353,2.82,26,2025,46.41,56.45,59.3,60.89,53.16
jonschlinkert/global-prefix,gh/31455984,111,67,13,19.4,16,2.67,12,20,3.33,11,2024,10.99,20.08,33.72,37.84,20.39
jonschlinkert/has-value,gh/24310408,123,100,7,7,5,0.28,3,24,1.33,4,2018,11.95,13.95,13.0,14.9,13.34
jonschlinkert/has-values,gh/33009186,151,118,4,3.39,7,0.33,7,40,1.9,20,2018,15.12,9.94,25.16,52.11,28.07
jonschlinkert/is-extendable,gh/38225016,48,29,2,6.9,1,0.2,1,7,1.4,3,2018,5.29,6.87,6.24,10.15,7.33
jonschlinkert/is-number,gh/24313173,426,371,14,3.77,19,0.53,6,52,1.44,6,2018,26.53,21.14,22.41,22.52,24.44
jonschlinkert/is-plain-object,gh/24306940,81,54,4,7.41,4,0.5,4,12,1.5,5,2020,8.67,9.94,16.7,18.6,12.70
jonschlinkert/isobject,gh/21342886,35,25,3,12,1,0.2,1,7,1.4,3,2024,3.59,7.93,6.24,10.15,6.04
jonschlinkert/kind-of,gh/24491562,790,625,121,19.36,223,2.69,110,289,3.48,56,2023,34.57,46.09,78.54,77.48,51.75
jonschlinkert/map-cache,gh/32450614,140,48,4,8.33,5,0.5,1,15,1.5,2,2016,13.74,9.94,6.24,6.34,9.33
jonschlinkert/normalize-path,gh/21224182,289,217,35,16.13,44,2.2,23,50,2.5,12,2018,21.99,31.61,47.36,39.85,29.60
jonschlinkert/object-visit,gh/38545952,133,103,10,9.71,11,0.69,6,25,1.56,7,2017,13.32,17.86,22.41,26.11,18.65
jonschlinkert/word-wrap,gh/18260583,130,100,10,10,11,0.52,8,32,1.52,9,2023,12.79,17.86,26.85,32.98,20.54
jorgebucaran/colorette,gh/34648097,450,419,14,3.34,1,0.03,1,34,1.03,2,2025,27.27,21.14,6.24,6.34,13.15
joshuakgoldberg/ts-api-utils,gh/597893818,9690,5939,679,11.43,614,1.21,65,1168,2.3,66,2025,65.22,67.55,68.92,80.34,72.39
jpadilla/pyjwt,gh/1408162,6892,5375,530,9.86,365,0.9,28,694,1.75,19,2025,61.31,63.64,50.32,50.95,55.89
jprichardson/node-fs-extra,gh/2791348,11096,8789,332,3.78,488,0.35,14,1818,1.3,12,2025,66.38,57.93,37.42,39.85,51.43
jprichardson/node-jsonfile,gh/5754307,903,761,21,2.76,45,0.3,9,191,1.26,7,2025,36.79,24.31,28.54,26.11,30.99
jquast/wcwidth,gh/18464187,10644,9788,130,1.33,308,2.17,26,362,2.55,17,2025,65.86,47.36,48.84,48.84,56.72
jquery/esprima,gh/2833537,82948,52436,10760,20.52,9033,2.94,249,9397,3.06,127,2021,85.73,90.91,89.01,88.9,87.30
jridgewell/resolve-uri,gh/196878944,57151,49356,100,0.20,52,0.01,19,8974,1,14,2025,83.51,43.55,43.76,43.66,60.38
