repo,repo_id,openssf_score,openssf_score_source,cve_count_5y,ossfuzz_enrolled,bestpractices_badge_id,openssf_score_p,cve_score,score,fetched_at
nlnetlabs/unbound,gh/94195301,5.9,openssf_local,34,True,,28.52,96.83,97,2026-05-03T23:29:07+01:00
node-fetch/fetch-blob,gh/186960326,4.4,openssf_local,0,False,,52.46,50.0,52,2026-04-27T17:21:24+01:00
node-fetch/node-fetch,gh/29849956,5.3,openssf_local,2,False,,38.48,82.2,82,2026-04-27T15:53:39+01:00
nodeca/argparse,gh/4325614,3.5,openssf_local,0,False,,80.98,50.0,81,2026-04-27T21:41:13+01:00
nodeca/js-yaml,gh/2504175,4.2,openssf_local,1,True,,56.49,72.68,73,2026-04-27T15:07:56+01:00
nodeca/pako,gh/16231859,4.9,openssf_local,0,True,,43.18,50.0,50,2026-04-27T21:41:30+01:00
nodejs/node,gh/27193779,6.1,openssf_local,59,True,passing,26.06,98.54,99,2026-04-27T21:41:30+01:00
nodejs/readable-stream,gh/5187096,5,openssf_local,0,False,,42.06,50.0,50,2026-04-27T14:55:32+01:00
nodejs/string_decoder,gh/95052330,3.9,openssf_local,0,False,,72.04,50.0,72,2026-04-27T15:05:32+01:00
nodejs/undici,gh/133092972,7.8,openssf_local,15,False,,3.91,95.12,95,2026-04-27T14:54:06+01:00
nodelib/nodelib,gh/129310478,3.4,openssf_local,0,False,,82.33,50.0,82,2026-05-03T23:29:18+01:00
npm/abbrev-js,gh/554893,6.7,openssf_local,0,False,,15.32,50.0,50,2026-05-03T23:29:32+01:00
npm/cacache,gh/193812470,7,openssf_local,0,False,,11.41,50.0,50,2026-05-03T23:29:38+01:00
npm/hosted-git-info,gh/25002984,6.5,openssf_local,1,False,,19.57,72.68,73,2026-04-27T16:08:20+01:00
npm/ini,gh/2167680,6.4,openssf_local,0,False,,21.25,50.0,50,2026-05-03T23:29:45+01:00
npm/json-parse-even-better-errors,gh/211384370,6.6,openssf_local,0,False,,17.0,50.0,50,2026-05-03T23:29:52+01:00
npm/mute-stream,gh/5159166,6.5,openssf_local,0,False,,19.57,50.0,50,2026-05-03T23:29:57+01:00
npm/node-semver,gh/1357199,6.7,openssf_local,1,False,,15.32,72.68,73,2026-04-27T14:53:55+01:00
npm/node-which,gh/2169708,6.5,openssf_local,0,False,,19.57,50.0,50,2026-04-27T15:06:12+01:00
npm/nopt,gh/1544436,6.4,openssf_local,0,False,,21.25,50.0,50,2026-05-03T23:30:10+01:00
npm/normalize-package-data,gh/9301720,6.5,openssf_local,0,False,,19.57,50.0,50,2026-05-03T23:30:15+01:00
npm/ssri,gh/193817839,6.4,openssf_local,1,False,,21.25,72.68,73,2026-05-03T23:30:20+01:00
npm/unique-slug,gh/35246620,6.5,openssf_local,0,False,,19.57,50.0,50,2026-05-03T23:30:25+01:00
npm/write-file-atomic,gh/23896209,6.7,openssf_local,0,False,,15.32,50.0,50,2026-05-03T23:30:38+01:00
numpy/numpy,gh/908607,7.9,openssf_local,8,True,,2.91,91.71,92,2026-04-27T14:54:40+01:00
nv/cssom,gh/1025209,3,openssf_local,0,False,,92.84,50.0,93,2026-04-27T21:42:47+01:00
nvzqz/static-assertions,gh/100129252,3.3,openssf_local,0,False,,84.34,50.0,84,2026-04-27T16:05:42+01:00
oauthlib/oauthlib,gh/2811323,6.9,openssf_local,1,True,,12.3,72.68,73,2026-04-27T15:52:39+01:00
octokit/openapi-types.ts,gh/304109193,6.5,openssf_local,0,False,,19.57,50.0,50,2026-05-03T23:30:43+01:00
octokit/types.ts,gh/216109757,6.1,openssf_local,0,False,,26.06,50.0,50,2026-05-03T23:30:48+01:00
oozcitak/xmlbuilder-js,gh/1042809,3,openssf_local,0,False,,92.84,50.0,93,2026-04-27T21:43:07+01:00
open-telemetry/opentelemetry-js,gh/185901023,7.2,openssf_local,1,False,,9.62,72.68,73,2026-04-27T14:55:50+01:00
open-telemetry/opentelemetry-js-contrib,gh/255986659,7.5,openssf_local,0,False,,6.26,50.0,50,2026-04-27T21:43:22+01:00
open-telemetry/opentelemetry-python,gh/185478926,7.3,openssf_local,0,False,passing,8.28,50.0,50,2026-04-27T14:56:32+01:00
open-telemetry/opentelemetry-python-contrib,gh/220524743,7.5,openssf_local,1,False,,6.26,72.68,73,2026-05-03T23:30:53+01:00
openssl/openssl,gh/7634677,7.1,openssf_local,73,True,passing,10.51,98.78,99,2026-04-06T12:36:12+01:00
p11-glue/p11-kit,gh/12060420,6.5,openssf_local,2,True,passing,19.57,82.2,82,2026-05-03T23:30:58+01:00
pallets/click,gh/19103692,7.7,openssf_local,0,True,,4.81,50.0,50,2026-04-27T15:06:00+01:00
pallets/flask,gh/596892,6.9,openssf_local,2,True,,12.3,82.2,82,2026-04-27T16:08:49+01:00
pallets/itsdangerous,gh/1945034,5.6,openssf_local,0,True,,32.55,50.0,50,2026-04-27T21:43:39+01:00
pallets/jinja,gh/994551,5.6,openssf_local,8,True,,32.55,91.71,92,2026-04-27T15:08:06+01:00
pallets/markupsafe,gh/734244,5.8,openssf_local,0,True,,30.31,50.0,50,2026-04-27T14:55:44+01:00
pallets/werkzeug,gh/997338,6.7,openssf_local,11,False,,15.32,93.66,94,2026-04-27T16:06:04+01:00
pandas-dev/pandas,gh/858127,7.4,openssf_local,0,True,,7.72,50.0,50,2026-04-27T15:07:43+01:00
paramiko/paramiko,gh/119609,4.6,openssf_local,3,True,,48.66,84.88,85,2026-05-03T23:31:12+01:00
paulmillr/chokidar,gh/4090287,4.6,openssf_local,0,False,,48.66,50.0,50,2026-04-27T16:07:23+01:00
paulmillr/readdirp,gh/4494405,3.5,openssf_local,0,False,,80.98,50.0,81,2026-04-27T15:08:05+01:00
pcre2project/pcre2,gh/398251321,8.6,openssf_local,5,True,,1.34,87.8,88,2026-04-07T15:55:39+01:00
pest-parser/pest,gh/56964647,5.9,openssf_local,0,True,,28.52,50.0,50,2026-05-03T23:31:19+01:00
peternator7/strum,gh/80964373,5.6,openssf_local,0,False,,32.55,50.0,50,2026-04-27T21:43:57+01:00
