repo,repo_id,repo_age_years,active_contributors_git_5y,dormant,openssf_maintained,has_issues,push_cadence_years,pushed_at,issues_opened_5y,issues_closed_5y,issue_close_ratio,issue_close_ratio_p,net_new_issues_5y,slope_opened,slope_closed,issue_trend_score,issue_trend_score_p,loc_per_ac,loc_per_ac_p,cve_per_ac,cve_per_ac_p,nni_per_ac,nni_per_ac_p,score,fetched_at
browserify/node-util,gh/14568009,12.1,4,0,0,True,2,2024-12-21T10:14:56Z,17,15,0.882,46.94,2,-1.3,-1.6,-0.0882,84.65,800.0,75.84,0.0,78.08,0.5,59.28,71,2026-04-27T13:18:13Z
browserify/randombytes,gh/29300004,11.0,2,0,0,True,1,2024-12-21T10:13:14Z,11,9,0.818,54.04,2,-0.4,-0.1,0.1364,18.9,66.0,15.1,0.0,78.08,1.0,78.17,45,2026-04-27T13:02:59Z
browserify/resolve,gh/1915099,14.5,8,0,10,True,5,2026-04-13T04:29:25Z,63,64,1.016,18.75,-1,-4.8,-4.9,-0.0079,61.71,478.875,65.44,0.0,78.08,-0.125,16.4,44,2026-04-27T13:18:13Z
browserslist/browserslist,gh/27971466,11.0,60,0,10,True,5,2026-04-14T17:08:03Z,177,165,0.932,40.07,12,-7.4,-8.9,-0.0424,71.89,92.0667,22.26,0.0167,82.89,0.2,45.36,44,2026-04-27T13:18:13Z
browserslist/caniuse-lite,gh/80221890,8.9,10,0,10,True,5,2026-04-26T07:11:20Z,55,56,1.018,18.5,-1,-3.1,-4.9,-0.1636,91.6,201.1,39.82,0.0,78.08,-0.1,16.86,37,2026-04-27T13:18:13Z
browserslist/update-db,gh/505548145,3.5,14,0,1,True,4,2026-04-21T15:32:34Z,45,39,0.867,48.04,6,2.8,2.9,0.0111,51.86,58.5,12.86,0.0,78.08,0.4286,54.98,38,2026-04-27T13:18:13Z
burntsushi/aho-corasick,gh/37290678,10.6,13,0,3,True,5,2026-04-21T20:54:23Z,48,45,0.938,39.09,3,-1.1,-0.8,0.0313,44.43,1710.0,87.02,0.0,78.08,0.2308,46.27,68,2026-04-27T13:18:13Z
burntsushi/jiff,gh/759017108,1.9,40,0,10,True,2,2026-04-23T13:00:31Z,199,172,0.864,48.53,27,31.4,29.1,-0.0578,76.9,3099.35,92.51,0.0,78.08,0.675,64.03,77,2026-04-27T13:18:13Z
burntsushi/memchr,gh/37290652,10.6,21,0,6,True,5,2026-04-21T21:48:13Z,46,37,0.804,55.64,9,0.1,-0.7,-0.087,84.49,3299.8571,92.95,0.0,78.08,0.4286,54.98,74,2026-04-27T13:18:14Z
burntsushi/quickcheck,gh/17559913,11.8,13,0,10,True,3,2026-04-03T00:52:54Z,35,17,0.486,83.58,18,-3.3,-0.3,0.4286,3.72,219.6154,41.95,0.0,78.08,1.3846,82.81,65,2026-04-27T13:18:14Z
burntsushi/same-file,gh/78375612,9.0,2,0,0,True,3,2025-10-17T12:41:41Z,10,4,0.4,86.27,6,-0.1,0.2,0.15,16.8,475.0,65.1,0.0,78.08,3.0,94.23,78,2026-04-27T13:18:14Z
burntsushi/termcolor,gh/141345580,7.5,10,0,0,True,4,2024-12-31T13:59:34Z,21,20,0.952,36.64,1,-2.4,-2.3,0.0238,47.33,285.6,48.88,0.0,78.08,0.1,39.25,53,2026-04-27T13:18:14Z
