repo,repo_id,repo_age_years,active_contributors_git_5y,dormant,openssf_maintained,has_issues,push_cadence_years,pushed_at,issues_opened_5y,issues_closed_5y,issue_close_ratio,issue_close_ratio_p,net_new_issues_5y,slope_opened,slope_closed,issue_trend_score,issue_trend_score_p,loc_per_ac,loc_per_ac_p,cve_per_ac,cve_per_ac_p,nni_per_ac,nni_per_ac_p,score,fetched_at
jbgutierrez/path-parse,gh/34113780,10.7,3,0,0,True,1,2022-03-23T02:59:23Z,7,3,0.429,85.66,4,-0.7,-0.3,0.2857,7.27,57.3333,12.42,0.3333,97.99,1.3333,82.24,46,2026-04-27T13:18:22Z
jd/tenacity,gh/65468547,9.4,48,0,10,True,5,2026-03-23T17:21:20Z,137,64,0.467,84.8,73,0.2,-0.6,-0.0292,68.17,99.4792,24.05,0.0,78.08,1.5208,84.28,54,2026-04-27T13:18:22Z
jensyt/imurmurhash-js,gh/11802843,12.4,0,1,0,True,0,2013-08-24T20:52:08Z,3,2,0.667,71.32,1,0.5,-0.1,,,150.0,32.89,0.0,78.08,1.0,78.17,59,2026-04-27T13:18:22Z
jestjs/jest,gh/15062869,12.1,500,0,6,True,5,2026-04-20T04:51:38Z,2268,3216,1.418,4.78,-948,-122.9,-103.2,0.0434,39.74,323.176,53.36,0.0,78.08,-1.896,1.92,20,2026-04-27T13:18:22Z
jimp-dev/jimp,gh/24008065,11.3,36,0,2,True,4,2026-04-07T17:55:29Z,216,262,1.213,8.09,-46,-7.2,5.6,0.2963,6.62,299.1389,50.56,0.0,78.08,-1.2778,3.39,24,2026-04-27T13:18:22Z
jmespath/jmespath.py,gh/8300763,12.9,10,0,0,True,3,2026-04-20T23:12:00Z,39,28,0.718,65.44,11,-1.7,-1.2,0.0641,34.41,291.1,49.66,0.0,78.08,1.1,78.96,67,2026-04-27T18:55:36Z
joblib/joblib,gh/654608,15.7,59,0,4,True,5,2026-04-01T21:53:37Z,262,219,0.836,51.59,43,-5.0,7.1,0.2309,9.69,468.5763,64.54,0.0169,83.22,0.7288,65.84,71,2026-04-27T13:18:22Z
jonathanong/ee-first,gh/20707897,11.6,0,1,0,True,0,2019-04-27T21:54:44Z,1,0,0.0,100.0,1,0.2,0.0,,,222.0,42.39,0.0,78.08,1.0,78.17,64,2026-04-27T13:18:22Z
jonschlinkert/assign-symbols,gh/45661176,10.2,0,1,0,True,0,2018-09-14T11:47:36Z,0,0,,,0,,,,,121.0,28.19,0.0,78.08,0.0,35.97,43,2026-04-27T13:18:22Z
jonschlinkert/define-property,gh/40633359,10.4,0,1,0,True,0,2023-03-14T09:09:01Z,0,0,,,0,,,,,163.0,34.68,0.0,78.08,0.0,35.97,46,2026-04-27T13:18:22Z
jonschlinkert/extend-shallow,gh/25867410,11.2,0,1,0,True,0,2021-08-07T21:20:05Z,4,3,0.75,62.87,1,-0.6,-0.4,,,624.0,71.25,0.0,78.08,1.0,78.17,76,2026-04-27T13:18:22Z
jonschlinkert/fill-range,gh/27113310,11.1,1,0,0,True,1,2024-07-26T14:46:41Z,1,0,0.0,100.0,1,0.1,0.0,,,959.0,79.42,0.0,78.08,1.0,78.17,79,2026-04-27T13:18:22Z
jonschlinkert/get-value,gh/24911025,11.2,3,0,0,True,2,2025-02-05T05:10:34Z,9,8,0.889,45.83,1,0.3,0.8,0.2778,7.43,663.0,71.92,0.0,78.08,0.3333,51.81,66,2026-04-27T13:18:22Z
jonschlinkert/global-prefix,gh/31455984,10.8,1,0,0,True,1,2024-08-17T16:20:24Z,4,2,0.5,83.21,2,-0.4,0.2,,,111.0,26.29,0.0,78.08,2.0,89.03,57,2026-04-27T13:18:22Z
jonschlinkert/has-value,gh/24310408,11.3,0,1,0,True,0,2018-03-03T20:49:13Z,0,0,,,0,,,,,123.0,28.52,0.0,78.08,0.0,35.97,43,2026-04-27T13:18:22Z
jonschlinkert/has-values,gh/33009186,10.8,0,1,0,True,0,2020-12-16T19:19:24Z,1,0,0.0,100.0,1,0.2,0.0,,,151.0,33.22,0.0,78.08,1.0,78.17,59,2026-04-27T13:18:22Z
jonschlinkert/is-extendable,gh/38225016,10.5,0,1,0,True,0,2021-08-20T19:50:29Z,0,0,,,0,,,,,48.0,10.51,0.0,78.08,0.0,35.97,31,2026-04-27T13:18:22Z
jonschlinkert/is-number,gh/24313173,11.3,0,1,0,True,0,2022-09-15T14:46:56Z,7,1,0.143,92.77,6,-0.1,0.0,0.0714,32.15,426.0,61.63,0.0,78.08,6.0,97.74,78,2026-04-27T13:18:22Z
jonschlinkert/is-plain-object,gh/24306940,11.3,0,1,0,True,0,2024-03-29T03:45:01Z,6,0,0.0,100.0,6,-0.2,0.0,0.1667,15.35,81.0,20.13,0.0,78.08,6.0,97.74,54,2026-04-27T13:18:22Z
jonschlinkert/isobject,gh/21342886,11.5,1,0,0,True,1,2024-04-09T18:23:42Z,3,0,0.0,100.0,3,-0.5,0.0,,,35.0,7.61,0.0,78.08,3.0,94.23,38,2026-04-27T13:18:22Z
jonschlinkert/kind-of,gh/24491562,11.3,1,0,0,True,1,2024-06-12T12:59:53Z,5,1,0.2,91.54,4,-0.6,0.0,0.6,1.45,790.0,74.94,0.0,78.08,4.0,95.81,82,2026-04-27T13:18:23Z
jonschlinkert/map-cache,gh/32450614,10.8,0,1,0,True,0,2016-05-10T10:51:10Z,0,0,,,0,,,,,140.0,31.1,0.0,78.08,0.0,35.97,44,2026-04-27T13:18:23Z
jonschlinkert/normalize-path,gh/21224182,11.5,0,1,0,True,0,2022-10-07T14:50:39Z,0,0,,,0,,,,,289.0,49.22,0.0,78.08,0.0,35.97,52,2026-04-27T13:18:22Z
jonschlinkert/object-visit,gh/38545952,10.5,0,1,0,True,0,2023-03-14T06:07:43Z,0,0,,,0,,,,,133.0,29.98,0.0,78.08,0.0,35.97,44,2026-04-27T13:18:23Z
jonschlinkert/word-wrap,gh/18260583,11.8,3,0,0,True,1,2024-04-22T18:34:12Z,12,10,0.833,52.94,2,0.4,0.0,-0.1667,92.25,43.3333,9.28,0.3333,97.99,0.6667,63.8,39,2026-04-27T13:18:23Z
jorgebucaran/colorette,gh/34648097,10.7,9,0,0,True,4,2025-10-03T11:20:56Z,21,23,1.095,11.52,-2,-2.8,-2.9,-0.0238,66.72,50.0,11.3,0.0,78.08,-0.2222,13.69,23,2026-04-27T13:18:23Z
joshuakgoldberg/ts-api-utils,gh/597893818,2.9,9,0,10,True,3,2026-04-23T10:37:57Z,116,92,0.793,57.6,24,6.4,5.0,-0.0603,78.51,1076.6667,81.32,0.0,78.08,2.6667,91.52,83,2026-04-27T13:18:23Z
jpadilla/pyjwt,gh/1408162,14.9,79,0,10,True,5,2026-04-20T21:13:53Z,210,229,1.09,12.01,-19,-5.8,-12.4,-0.1571,91.28,87.2405,21.25,0.038,86.24,-0.2405,13.35,29,2026-04-27T13:18:23Z
jprichardson/node-fs-extra,gh/2791348,14.1,20,0,8,True,5,2026-04-21T15:24:45Z,129,144,1.116,10.29,-15,-9.5,-11.8,-0.0891,84.81,554.8,68.68,0.0,78.08,-0.75,5.54,31,2026-04-27T13:18:23Z
jprichardson/node-jsonfile,gh/5754307,13.3,3,0,4,True,3,2026-04-20T15:30:29Z,9,10,1.111,10.54,-1,-0.3,0.3,0.3333,5.98,301.0,50.89,0.0,78.08,-0.3333,11.43,36,2026-04-27T13:18:23Z
jquast/wcwidth,gh/18464187,11.7,13,0,10,True,5,2026-04-22T02:15:47Z,34,25,0.735,63.97,9,0.7,0.9,0.0294,45.56,818.7692,76.06,0.0,78.08,0.6923,64.71,73,2026-04-27T13:18:23Z
jquery/esprima,gh/2833537,14.1,4,0,0,True,1,2023-04-16T01:17:08Z,41,24,0.585,76.72,17,-4.7,-4.3,0.0488,37.8,20737.0,97.99,0.0,78.08,4.25,96.04,90,2026-04-27T13:18:23Z
jridgewell/resolve-uri,gh/196878944,6.5,3,0,0,True,5,2026-03-05T16:04:19Z,6,2,0.333,88.85,4,-0.3,-0.1,0.1667,15.35,19050.3333,97.76,0.0,78.08,1.3333,82.24,86,2026-04-27T13:18:23Z
jridgewell/sourcemaps,gh/897142826,1.1,14,0,10,True,5,2026-04-21T04:04:14Z,33,31,0.939,38.85,2,4.3,4.0,-0.0455,72.86,799.3571,75.73,0.0,78.08,0.1429,41.52,63,2026-04-27T13:18:23Z
jsdom/tr46,gh/36964214,10.6,4,0,0,True,3,2025-11-21T21:46:33Z,17,17,1.0,30.64,0,1.2,1.2,0.0,60.1,237.25,43.96,0.0,78.08,0.0,35.97,50,2026-04-27T13:18:23Z
jsdom/webidl-conversions,gh/23000311,11.4,2,0,0,True,2,2026-01-02T13:58:25Z,4,4,1.0,30.64,0,-0.8,-0.8,,,1035.0,80.76,0.0,78.08,0.0,35.97,61,2026-04-27T13:18:23Z
jsdom/whatwg-mimetype,gh/71014420,9.2,2,0,0,True,3,2026-01-21T10:27:16Z,5,5,1.0,30.64,0,0.0,0.0,0.0,60.1,380.5,58.61,0.0,78.08,0.0,35.97,55,2026-04-27T13:18:23Z
jsdom/whatwg-url,gh/34761352,10.7,6,0,10,True,5,2026-03-21T10:28:18Z,39,43,1.103,11.15,-4,-0.9,-1.2,-0.0385,70.92,434.5,62.08,0.0,78.08,-0.6667,6.33,31,2026-04-27T13:18:23Z
jsdom/xml-name-validator,gh/28553202,11.0,1,0,0,True,2,2023-11-12T05:37:51Z,0,0,,,0,,,,,75.0,17.9,0.0,78.08,0.0,35.97,37,2026-04-27T13:18:23Z
jshttp/accepts,gh/15482433,12.0,9,0,2,True,4,2026-04-02T16:03:36Z,8,1,0.125,93.01,7,0.9,-0.1,-0.625,98.55,65.1111,14.77,0.0,78.08,0.7778,66.86,43,2026-04-27T13:18:23Z
jshttp/content-disposition,gh/24216676,11.3,9,0,10,True,4,2026-04-26T23:20:54Z,12,10,0.833,52.94,2,-0.8,-0.8,0.0,60.1,158.3333,34.12,0.0,78.08,0.2222,46.04,50,2026-04-27T13:18:23Z
jshttp/content-type,gh/30172150,10.9,5,0,10,True,4,2026-04-24T03:44:59Z,5,3,0.6,76.23,2,0.5,-0.1,-0.6,98.38,102.6,24.61,0.0,78.08,0.4,54.19,47,2026-04-27T13:18:23Z
jshttp/cookie,gh/4475810,13.6,23,0,4,True,5,2026-02-28T18:53:23Z,53,52,0.981,32.97,1,1.3,0.8,-0.0472,73.34,67.6087,15.88,0.0435,87.25,0.0435,36.65,37,2026-04-27T13:18:23Z
jshttp/etag,gh/22894570,11.4,3,0,0,True,2,2026-03-01T11:57:23Z,1,1,1.0,30.64,0,-0.1,-0.1,,,234.3333,43.62,0.0,78.08,0.0,35.97,50,2026-04-27T13:18:23Z
jshttp/forwarded,gh/24300217,11.3,5,0,1,True,4,2026-04-01T03:31:28Z,1,2,2.0,2.08,-1,-0.1,-0.4,,,69.2,16.33,0.0,78.08,-0.2,14.25,26,2026-04-27T13:18:23Z
jshttp/fresh,gh/4617552,13.6,7,0,3,True,4,2026-04-01T01:30:25Z,2,2,1.0,30.64,0,-0.1,0.0,,,63.8571,14.32,0.0,78.08,0.0,35.97,34,2026-04-27T13:18:23Z
jshttp/http-errors,gh/23806086,11.3,7,0,3,True,3,2026-04-01T01:35:43Z,15,10,0.667,71.32,5,0.2,0.8,0.2,12.12,119.1429,27.85,0.0,78.08,0.7143,65.38,52,2026-04-27T13:18:23Z
jshttp/media-typer,gh/20814275,11.6,4,0,3,True,3,2026-04-01T02:56:31Z,2,2,1.0,30.64,0,0.3,0.3,,,66.25,15.21,0.0,78.08,0.0,35.97,35,2026-04-27T13:18:23Z
jshttp/methods,gh/8274071,12.9,2,0,2,True,2,2026-04-02T16:04:39Z,2,3,1.5,4.29,-1,0.2,0.3,,,95.0,23.04,0.0,78.08,-0.5,8.6,25,2026-04-27T13:18:23Z
jshttp/mime-db,gh/22970419,11.4,32,0,10,True,5,2026-04-02T02:36:01Z,42,31,0.738,63.36,11,1.8,-0.7,-0.2976,95.96,27.0938,5.82,0.0,78.08,0.3438,52.15,29,2026-04-27T13:18:23Z
jshttp/mime-types,gh/19380178,11.7,14,0,2,True,5,2026-04-01T16:54:15Z,24,18,0.75,62.87,6,2.7,1.9,-0.1667,92.25,36.7857,7.83,0.0,78.08,0.4286,54.98,32,2026-04-27T13:18:23Z
jshttp/negotiator,gh/3275614,13.9,9,0,1,True,4,2026-04-01T05:46:06Z,9,7,0.778,59.44,2,0.4,0.4,0.0,60.1,318.0,52.8,0.0,78.08,0.2222,46.04,57,2026-04-27T13:18:23Z
jshttp/on-finished,gh/15349765,12.0,6,0,0,True,4,2026-01-03T20:23:13Z,8,6,0.75,62.87,2,0.1,-0.2,-0.1875,93.21,239.6667,44.07,0.0,78.08,0.3333,51.81,56,2026-04-27T13:18:23Z
jshttp/range-parser,gh/4627131,13.6,3,0,0,True,2,2026-02-02T19:39:18Z,4,3,0.75,62.87,1,-0.5,-0.4,,,93.6667,22.71,0.0,78.08,0.3333,51.81,45,2026-04-27T13:18:23Z
jshttp/statuses,gh/17690272,11.8,6,0,0,True,3,2026-01-03T20:13:02Z,2,2,1.0,30.64,0,0.0,0.0,,,88.6667,21.36,0.0,78.08,0.0,35.97,39,2026-04-27T13:18:23Z
jshttp/type-is,gh/15484233,12.0,8,0,2,True,4,2026-04-02T16:05:49Z,4,2,0.5,83.21,2,0.2,0.0,,,81.0,20.13,0.0,78.08,0.25,47.29,42,2026-04-27T13:18:23Z
jshttp/vary,gh/20498698,11.6,4,0,4,True,2,2026-04-02T16:30:02Z,0,0,,,0,,,,,165.5,34.9,0.0,78.08,0.0,35.97,46,2026-04-27T13:18:24Z
jslicense/spdx-correct.js,gh/34817196,10.7,2,0,0,True,2,2024-04-15T23:15:02Z,5,5,1.0,30.64,0,-0.5,-0.5,0.0,60.1,428.0,61.74,0.0,78.08,0.0,35.97,56,2026-04-27T13:18:24Z
jslicense/spdx-exceptions.json,gh/40062896,10.4,1,0,,True,1,2024-04-25T09:43:24Z,5,4,0.8,57.11,1,0.0,-0.2,-0.2,93.86,94.0,22.93,0.0,78.08,1.0,78.17,52,2026-04-27T13:03:08Z
jslicense/spdx-expression-parse.js,gh/40067336,10.4,1,0,0,True,1,2023-11-21T20:19:00Z,5,4,0.8,57.11,1,0.2,0.2,0.0,60.1,388.0,59.4,0.0,78.08,1.0,78.17,71,2026-04-27T13:18:24Z
jslicense/spdx-license-ids,gh/26001547,11.2,3,0,1,True,5,2026-02-20T23:01:24Z,4,5,1.25,7.6,-1,-0.2,-0.4,,,44.0,9.51,0.0,78.08,-0.3333,11.43,20,2026-04-27T13:18:24Z
json5/json5,gh/4463453,13.6,8,0,0,True,4,2024-10-25T14:12:31Z,45,36,0.8,57.11,9,-1.9,-2.8,-0.1,86.59,411.75,60.63,0.125,94.18,1.125,79.41,77,2026-04-27T13:18:24Z
juliangruber/balanced-match,gh/13538817,12.2,5,0,10,True,4,2026-03-26T08:18:58Z,6,5,0.833,52.94,1,-0.1,-0.7,-0.5,97.9,57.8,12.64,0.0,78.08,0.2,45.36,36,2026-04-27T13:18:24Z
juliangruber/brace-expansion,gh/13539234,12.2,8,0,10,True,5,2026-04-11T13:26:33Z,14,13,0.929,40.69,1,1.3,1.7,0.1429,18.09,53.125,11.86,0.125,94.18,0.125,40.84,36,2026-04-27T13:18:24Z
juliangruber/isarray,gh/10227611,12.6,4,0,3,True,5,2026-03-23T11:33:35Z,4,7,1.75,2.7,-3,-0.5,-0.4,,,16.25,3.91,0.0,78.08,-0.75,5.54,12,2026-04-27T13:18:24Z
justmoon/node-extend,gh/3967764,13.7,2,0,0,True,3,2025-03-06T18:47:41Z,5,5,1.0,30.64,0,-0.2,-0.1,0.1,24.72,378.0,58.5,0.0,78.08,0.0,35.97,55,2026-04-27T13:18:24Z
jviereck/regjsparser,gh/14087781,12.2,8,0,5,True,5,2026-04-04T20:51:24Z,9,10,1.111,10.54,-1,-1.1,-1.3,-0.1111,88.05,289.125,49.33,0.0,78.08,-0.125,16.4,40,2026-04-27T13:18:24Z
ka-weihe/fastest-levenshtein,gh/158960628,7.1,5,0,0,True,4,2024-03-17T10:30:39Z,6,6,1.0,30.64,0,-0.4,-0.4,0.0,60.1,61.8,13.65,0.0,78.08,0.0,35.97,34,2026-04-27T13:18:24Z
kaelzhang/node-ignore,gh/12519245,12.3,7,0,0,True,5,2025-05-31T02:19:00Z,33,33,1.0,30.64,0,0.9,0.9,0.0,60.1,402.0,60.07,0.0,78.08,0.0,35.97,55,2026-04-27T13:18:24Z
kemitchell/validate-npm-package-license.js,gh/35000460,10.7,0,1,0,True,0,2021-04-14T14:00:00Z,1,1,1.0,30.64,0,-0.2,-0.2,,,86.0,21.14,0.0,78.08,0.0,35.97,39,2026-04-27T13:18:24Z
kevinbeaty/any-promise,gh/26247715,11.2,0,1,0,True,0,2018-10-01T08:39:19Z,0,0,,,0,,,,,685.0,72.71,0.0,78.08,0.0,35.97,59,2026-04-27T13:18:24Z
kevva/dir-glob,gh/49264969,10.0,0,1,0,True,0,2019-09-30T12:07:12Z,0,0,,,0,,,,,127.0,29.08,0.0,78.08,0.0,35.97,43,2026-04-27T13:18:24Z
kevva/shebang-command,gh/47402913,10.1,0,1,0,True,0,2021-08-14T13:19:23Z,1,0,0.0,100.0,1,0.0,0.0,,,38.0,8.39,0.0,78.08,1.0,78.17,37,2026-04-27T13:18:24Z
kilian/electron-to-chromium,gh/78972540,9.0,3,0,10,True,5,2026-04-23T02:02:25Z,8,8,1.0,30.64,0,-0.3,-0.3,0.0,60.1,1606.6667,85.46,0.0,78.08,0.0,35.97,62,2026-04-27T13:18:24Z
kjd/idna,gh/10323585,12.6,19,0,10,True,5,2026-04-22T16:44:01Z,47,48,1.021,18.26,-1,-0.9,-0.6,0.0319,44.26,2063.2632,89.37,0.0526,88.81,-0.0526,17.99,52,2026-04-27T13:18:24Z
knurling-rs/defmt,gh/282262730,5.4,78,0,10,True,5,2026-04-24T13:54:09Z,263,192,0.73,64.22,71,-10.6,-13.9,-0.0627,79.48,227.1026,42.95,0.0,78.08,0.9103,68.44,61,2026-04-27T13:18:24Z
kpdecker/jsdiff,gh/1542219,14.8,15,0,10,True,4,2026-04-13T12:42:24Z,123,187,1.52,3.68,-64,4.7,15.5,0.439,3.55,581.0,70.36,0.0,78.08,-4.2667,0.45,14,2026-04-27T13:18:24Z
krb5/krb5,gh/4307702,13.6,53,0,10,False,5,2026-04-27T14:48:28Z,0,0,,,0,,,,,8526.6604,95.53,0.3396,98.1,0.0,35.97,70,2026-04-27T18:55:40Z
kriskowal/asap,gh/11295071,12.5,2,0,0,True,2,2022-01-05T15:19:29Z,3,0,0.0,100.0,3,-0.4,0.0,,,9298.5,95.97,0.0,78.08,1.5,84.16,86,2026-04-27T13:18:24Z
kriszyp/json-schema,gh/947175,15.3,2,0,0,True,1,2022-08-23T16:09:40Z,6,7,1.167,8.7,-1,-0.7,-1.2,-0.4167,97.58,244.5,44.85,0.5,98.99,-0.5,8.6,34,2026-04-27T13:18:24Z
langchain-ai/langchain,gh/552661142,3.2,3488,0,10,True,4,2026-04-27T17:59:20Z,8930,8727,0.977,33.46,203,441.8,603.5,0.0905,26.49,90.5132,21.81,0.0072,80.31,0.0582,37.1,40,2026-04-27T18:55:40Z
laurent-laporte-pro/deprecated,gh/111412148,8.1,14,0,0,True,4,2026-04-22T05:41:20Z,26,22,0.846,50.25,4,-0.4,-0.3,0.0192,48.79,215.8571,41.28,0.0,78.08,0.2857,48.76,54,2026-04-27T13:18:24Z
legrandin/pycryptodome,gh/19378935,11.7,62,0,9,True,5,2026-03-29T07:51:10Z,240,235,0.979,33.21,5,-10.8,-10.1,0.0146,50.57,1975.6129,88.59,0.0161,82.44,0.0806,38.35,65,2026-04-27T13:18:24Z
libexpat/libexpat,gh/80314213,8.9,45,0,10,True,5,2026-04-27T12:14:58Z,153,157,1.026,17.89,-4,-2.4,-2.9,-0.0163,64.62,880.5778,77.4,0.8889,99.33,-0.0889,17.19,51,2026-04-27T13:18:24Z
libffi/libffi,gh/321154,16.3,85,0,5,True,5,2026-04-21T09:33:32Z,159,107,0.673,67.77,52,0.1,2.2,0.066,33.76,904.4353,78.41,0.0,78.08,0.6118,61.88,72,2026-04-27T13:18:24Z
libjpeg-turbo/libjpeg-turbo,gh/39760454,10.4,18,0,10,True,5,2026-04-24T16:25:59Z,267,263,0.985,32.23,4,-4.8,-5.2,-0.0075,61.55,9164.0,95.86,0.2222,95.97,0.2222,46.04,75,2026-04-27T13:18:24Z
libjxl/libjxl,gh/340219494,4.9,124,0,10,True,5,2026-04-27T03:53:32Z,1075,717,0.667,71.32,358,-22.7,-11.9,0.0502,37.32,1438.5565,84.34,0.0,78.08,2.8871,91.97,85,2026-04-27T13:18:24Z
libpixman/pixman,gh/81675971,8.9,0,1,0,True,0,2017-02-12T15:58:50Z,0,0,,,0,,,,,75168.0,99.22,4.0,99.89,0.0,35.97,71,2026-04-27T18:55:40Z
libuv/libuv,gh/14812739,12.1,195,0,10,True,5,2026-04-26T22:51:35Z,575,535,0.93,40.2,40,-5.1,-4.0,0.0096,52.34,566.5744,69.69,0.0,78.08,0.2051,45.48,63,2026-04-27T13:18:24Z
linusu/buffer-from,gh/66025821,9.4,1,0,0,True,1,2021-07-29T17:05:31Z,2,3,1.5,4.29,-1,0.0,0.2,,,84.0,20.81,0.0,78.08,-1.0,4.3,19,2026-04-27T13:18:24Z
linux-audit/audit-userspace,gh/52464964,9.9,49,0,10,True,5,2026-04-24T02:00:36Z,151,159,1.053,14.22,-8,1.5,3.9,0.0795,29.73,1709.2857,86.91,0.0,78.08,-0.1633,14.93,47,2026-04-27T18:55:41Z
linux-pam/linux-pam,gh/76264690,9.1,130,0,,True,5,2026-03-23T10:17:33Z,249,164,0.659,71.69,85,2.8,5.8,0.0602,35.54,397.3231,59.73,0.0462,87.7,0.6538,63.01,69,2026-04-27T13:18:24Z
litejs/natural-compare-lite,gh/9146732,12.8,2,0,0,True,3,2024-10-11T10:25:44Z,3,4,1.333,6.37,-1,0.2,0.1,,,77.0,18.9,0.0,78.08,-0.5,8.6,23,2026-04-27T13:18:24Z
ljharb/call-bind,gh/308533760,5.2,1,0,3,True,4,2026-04-09T15:37:36Z,5,4,0.8,57.11,1,-0.1,-0.1,0.0,60.1,167.0,35.46,0.0,78.08,1.0,78.17,60,2026-04-27T13:18:24Z
ljharb/call-bind-apply-helpers,gh/898190951,1.1,1,0,0,True,2,2025-02-12T19:24:52Z,4,1,0.25,91.05,3,0.6,0.1,,,110.0,25.84,0.0,78.08,3.0,94.23,58,2026-04-27T13:18:24Z
ljharb/call-bound,gh/898125972,1.1,1,0,0,True,2,2025-03-03T17:50:00Z,3,1,0.333,88.85,2,0.4,0.1,,,80.0,19.8,0.0,78.08,2.0,89.03,52,2026-04-27T13:18:25Z
ljharb/concat-map,gh/548993448,3.2,1,0,0,True,2,2025-12-30T01:56:52Z,1,0,0.0,100.0,1,0.2,0.0,,,67.0,15.55,0.0,78.08,1.0,78.17,46,2026-04-27T13:18:25Z
ljharb/define-data-property,gh/689109338,2.3,1,0,0,True,2,2026-01-13T19:32:22Z,1,0,0.0,100.0,1,0.0,0.0,,,459.0,63.76,0.0,78.08,1.0,78.17,73,2026-04-27T13:18:25Z
ljharb/define-properties,gh/28768789,11.0,1,0,0,True,5,2025-12-30T01:56:54Z,4,3,0.75,62.87,1,-0.4,-0.2,,,219.0,41.83,0.0,78.08,1.0,78.17,63,2026-04-27T13:18:25Z
ljharb/es-abstract,gh/28995155,11.0,7,0,6,True,4,2026-04-25T06:20:24Z,25,26,1.04,15.93,-1,-2.7,-2.1,0.12,21.0,15762.0,97.32,0.0,78.08,-0.1429,15.72,49,2026-04-27T13:18:25Z
ljharb/es-define-property,gh/756570458,1.9,1,0,0,True,1,2024-12-06T18:15:59Z,1,0,0.0,100.0,1,0.1,0.0,,,70.0,16.55,0.0,78.08,1.0,78.17,47,2026-04-27T13:18:25Z
ljharb/es-errors,gh/752160492,1.9,1,0,0,True,1,2024-03-09T00:38:43Z,3,2,0.667,71.32,1,0.3,0.2,,,47.0,10.4,0.0,78.08,1.0,78.17,40,2026-04-27T13:18:25Z
ljharb/es-shim-unscopables,gh/480458584,3.7,1,0,0,True,3,2026-01-13T19:32:24Z,1,0,0.0,100.0,1,-0.1,0.0,,,135.0,30.31,0.0,78.08,1.0,78.17,57,2026-04-27T13:18:25Z
ljharb/es-to-primitive,gh/32377814,10.8,1,0,0,True,4,2025-12-30T01:56:57Z,1,0,0.0,100.0,1,-0.2,0.0,,,563.0,69.35,0.0,78.08,1.0,78.17,75,2026-04-27T13:18:25Z
ljharb/get-intrinsic,gh/308516559,5.2,1,0,0,True,5,2026-01-13T19:32:28Z,18,18,1.0,30.64,0,-0.2,-0.1,0.0278,46.2,647.0,71.7,0.0,78.08,0.0,35.97,59,2026-04-27T13:18:25Z
ljharb/get-proto,gh/911035271,1.0,1,0,0,True,1,2026-01-13T19:32:29Z,1,0,0.0,100.0,1,0.2,0.0,,,105.0,25.06,0.0,78.08,1.0,78.17,53,2026-04-27T13:18:25Z
ljharb/gopd,gh/560708130,3.2,1,0,1,True,3,2026-04-20T21:00:09Z,2,0,0.0,100.0,2,0.1,0.0,,,55.0,12.19,0.0,78.08,2.0,89.03,44,2026-04-27T13:18:25Z
ljharb/internal-slot,gh/216159146,6.2,1,0,0,True,4,2024-12-13T16:01:56Z,2,1,0.5,83.21,1,-0.4,-0.2,,,198.0,39.71,0.0,78.08,1.0,78.17,62,2026-04-27T13:18:25Z
ljharb/object-keys,gh/9103992,12.8,1,0,3,True,3,2026-03-17T20:35:31Z,1,1,1.0,30.64,0,0.1,0.1,,,456.0,63.65,0.0,78.08,0.0,35.97,56,2026-04-27T13:18:25Z
ljharb/object.assign,gh/17755831,11.8,1,0,0,True,5,2025-12-30T16:22:23Z,6,6,1.0,30.64,0,-0.2,-0.2,0.0,60.1,574.0,69.91,0.0,78.08,0.0,35.97,58,2026-04-27T13:18:25Z
ljharb/possible-typed-array-names,gh/760136716,1.9,1,0,0,True,2,2026-01-13T19:32:47Z,1,0,0.0,100.0,1,0.1,0.0,,,36.0,7.72,0.0,78.08,1.0,78.17,36,2026-04-27T13:18:25Z
ljharb/qs,gh/22266795,11.4,19,0,10,True,5,2026-04-27T05:33:43Z,97,79,0.814,54.53,18,-3.6,-3.8,-0.0103,62.52,265.9474,47.2,0.1053,92.95,0.9474,69.34,67,2026-04-27T13:18:25Z
ljharb/safe-regex-test,gh/540138887,3.3,2,0,0,True,4,2026-01-05T22:15:59Z,1,0,0.0,100.0,1,-0.1,0.0,,,29.0,6.38,0.0,78.08,0.5,59.28,31,2026-04-27T13:18:25Z
ljharb/set-function-length,gh/704249795,2.2,1,0,0,True,3,2025-12-30T01:57:40Z,2,1,0.5,83.21,1,0.0,0.0,,,291.0,49.55,0.0,78.08,1.0,78.17,67,2026-04-27T13:18:25Z
ljharb/side-channel,gh/225239081,6.1,2,0,0,True,3,2026-01-13T19:32:58Z,3,3,1.0,30.64,0,-0.5,-0.5,,,73.5,17.34,0.0,78.08,0.0,35.97,37,2026-04-27T13:18:25Z
ljharb/side-channel-list,gh/901451610,1.1,1,0,5,True,1,2026-04-08T16:54:54Z,2,1,0.5,83.21,1,0.3,0.2,,,217.0,41.61,0.0,78.08,1.0,78.17,63,2026-04-27T13:18:25Z
ljharb/side-channel-map,gh/901191461,1.1,1,0,0,True,2,2025-12-30T01:57:44Z,1,0,0.0,100.0,1,0.1,0.0,,,182.0,37.58,0.0,78.08,1.0,78.17,61,2026-04-27T13:18:25Z
